canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,originallink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,bloggername,bloggerlink
두쫀쿠,preset,두바이초콜릿쿠키,“프리미엄만 고집하면 쉽지 않아”…두쫀쿠·버터떡·컵빙수로 판 바꾼...,https://n.news.naver.com/mnews/article/009/0005674653?sid=103,2026-05-03 06:35:00+00:00,"<b>두바이</b>쫀득<b>쿠키</b>(두쫀쿠), 버터떡에 이어 최근에는 ‘컵빙수’까지 선보이며 트렌드형 메뉴를 잇달아... 지난 1월 ‘두쫀쿠’ 인기에 맞춰 ‘두쫀롤(<b>두바이</b> 쫀득롤)’을 선보였고, 2월에는 ‘아이스 <b>두바이 초콜릿</b> 말차’와... ",https://www.mk.co.kr/article/12034438,naver_news,두바이초콜릿쿠키,alias,1.0,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,"<b>두바이</b>쫀득<b>쿠키</b>(두쫀쿠), 버터떡에 이어 최근에는 ‘컵빙수’까지 선보이며 트렌드형 메뉴를 잇달아... 지난 1월 ‘두쫀쿠’ 인기에 맞춰 ‘두쫀롤(<b>두바이</b> 쫀득롤)’을 선보였고, 2월에는 ‘아이스 <b>두바이 초콜릿</b> 말차’와... ","{""title"": ""“프리미엄만 고집하면 쉽지 않아”…두쫀쿠·버터떡·컵빙수로 판 바꾼..."", ""originallink"": ""https://www.mk.co.kr/article/12034438"", ""link"": ""https://n.news.naver.com/mnews/article/009/0005674653?sid=103"", ""description"": ""<b>두바이</b>쫀득<b>쿠키</b>(두쫀쿠), 버터떡에 이어 최근에는 ‘컵빙수’까지 선보이며 트렌드형 메뉴를 잇달아... 지난 1월 ‘두쫀쿠’ 인기에 맞춰 ‘두쫀롤(<b>두바이</b> 쫀득롤)’을 선보였고, 2월에는 ‘아이스 <b>두바이 초콜릿</b> 말차’와... "", ""pubDate"": ""Sun, 03 May 2026 15:35:00 +0900""}",,
두쫀쿠,preset,두바이 초콜릿,"[이슈in] &quot;보라색이면 다 우베야?&quot;… 빙그레 메로나 먼저였다, 스타벅스...",https://www.newscj.com/news/articleView.html?idxno=3397908,2026-05-03 07:14:00+00:00,"노티드는 우베 밀키크림 도넛, 우베 <b>두바이</b> 퍼플 도넛 2종과 우베 라떼, 우베 카페 라떼, 크림 우베 라떼... 서울 여의도 프리미엄 베이커리 '루아베이커리'는 봄 시즌 신메뉴로 딸기·말차·커피 <b>초콜릿</b> 데니쉬 3종과... ",https://www.newscj.com/news/articleView.html?idxno=3397908,naver_news,두바이 초콜릿,related,0.3,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,"노티드는 우베 밀키크림 도넛, 우베 <b>두바이</b> 퍼플 도넛 2종과 우베 라떼, 우베 카페 라떼, 크림 우베 라떼... 서울 여의도 프리미엄 베이커리 '루아베이커리'는 봄 시즌 신메뉴로 딸기·말차·커피 <b>초콜릿</b> 데니쉬 3종과... ","{""title"": ""[이슈in] &quot;보라색이면 다 우베야?&quot;… 빙그레 메로나 먼저였다, 스타벅스..."", ""originallink"": ""https://www.newscj.com/news/articleView.html?idxno=3397908"", ""link"": ""https://www.newscj.com/news/articleView.html?idxno=3397908"", ""description"": ""노티드는 우베 밀키크림 도넛, 우베 <b>두바이</b> 퍼플 도넛 2종과 우베 라떼, 우베 카페 라떼, 크림 우베 라떼... 서울 여의도 프리미엄 베이커리 '루아베이커리'는 봄 시즌 신메뉴로 딸기·말차·커피 <b>초콜릿</b> 데니쉬 3종과... "", ""pubDate"": ""Sun, 03 May 2026 16:14:00 +0900""}",,
두쫀쿠,preset,두바이초콜릿쿠키,[반짝유행시대]③&quot;딸기크림과 카다이프…트렌드 확장성 주목&quot;,https://n.news.naver.com/mnews/article/277/0005757955?sid=103,2026-05-03 22:10:00+00:00,&quot;'두쫀쿠(<b>두바이</b>쫀득<b>쿠키</b>)'가 한창 유행하다가 지금은 사라지고 있잖아요. 하지만 카다이프를 활용해... 문 교수는 &quot;뚜쫀쿠의 출발 자체는 <b>두바이 초콜릿</b>이었다. 거기에서 카다이프와 피스타치오 페이스트의 활용 가능성을... ,https://view.asiae.co.kr/article/2026043011063239451,naver_news,두바이초콜릿쿠키,alias,1.0,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,&quot;'두쫀쿠(<b>두바이</b>쫀득<b>쿠키</b>)'가 한창 유행하다가 지금은 사라지고 있잖아요. 하지만 카다이프를 활용해... 문 교수는 &quot;뚜쫀쿠의 출발 자체는 <b>두바이 초콜릿</b>이었다. 거기에서 카다이프와 피스타치오 페이스트의 활용 가능성을... ,"{""title"": ""[반짝유행시대]③&quot;딸기크림과 카다이프…트렌드 확장성 주목&quot;"", ""originallink"": ""https://view.asiae.co.kr/article/2026043011063239451"", ""link"": ""https://n.news.naver.com/mnews/article/277/0005757955?sid=103"", ""description"": ""&quot;'두쫀쿠(<b>두바이</b>쫀득<b>쿠키</b>)'가 한창 유행하다가 지금은 사라지고 있잖아요. 하지만 카다이프를 활용해... 문 교수는 &quot;뚜쫀쿠의 출발 자체는 <b>두바이 초콜릿</b>이었다. 거기에서 카다이프와 피스타치오 페이스트의 활용 가능성을... "", ""pubDate"": ""Mon, 04 May 2026 07:10:00 +0900""}",,
두쫀쿠,preset,두바이 초콜릿,[강남視角] 에루샤와 다이소,https://n.news.naver.com/mnews/article/014/0005517054?sid=110,2026-05-04 09:39:00+00:00,"탕후루, <b>두바이초콜릿</b>처럼 '반짝 제품'에 소비재 기업들이 매몰되고 있지 않은가. 지금의 소비 양극화는 일시적 현상이 아니라 기후 자체가 변하는 구조적 전환의 신호다. 비싸거나 싼 것만 남은 시장에서 소비자는... ",http://www.fnnews.com/news/202605041836485007,naver_news,두바이 초콜릿,related,0.3,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,"탕후루, <b>두바이초콜릿</b>처럼 '반짝 제품'에 소비재 기업들이 매몰되고 있지 않은가. 지금의 소비 양극화는 일시적 현상이 아니라 기후 자체가 변하는 구조적 전환의 신호다. 비싸거나 싼 것만 남은 시장에서 소비자는... ","{""title"": ""[강남視角] 에루샤와 다이소"", ""originallink"": ""http://www.fnnews.com/news/202605041836485007"", ""link"": ""https://n.news.naver.com/mnews/article/014/0005517054?sid=110"", ""description"": ""탕후루, <b>두바이초콜릿</b>처럼 '반짝 제품'에 소비재 기업들이 매몰되고 있지 않은가. 지금의 소비 양극화는 일시적 현상이 아니라 기후 자체가 변하는 구조적 전환의 신호다. 비싸거나 싼 것만 남은 시장에서 소비자는... "", ""pubDate"": ""Mon, 04 May 2026 18:39:00 +0900""}",,
두쫀쿠,preset,두바이 초콜릿,대화형 커머스서 제품 개발까지···AI가 식품·유통업계 확 바꾼다,https://www.seoulfn.com/news/articleView.html?idxno=627793,2026-05-05 04:00:00+00:00,GS25가 올해 1월 선보인 '아이스 생<b>초콜릿</b> <b>두바이</b>'는 AI 기반 트렌드 분석을 통해 개발 기간을 기존 12주에서 3주로 단축한 사례로 꼽힌다. 온라인 언급량과 소비자 반응 데이터를 분석해 유행을 빠르게 반영한 결과다. SPC... ,https://www.seoulfn.com/news/articleView.html?idxno=627793,naver_news,두바이 초콜릿,related,0.3,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,GS25가 올해 1월 선보인 '아이스 생<b>초콜릿</b> <b>두바이</b>'는 AI 기반 트렌드 분석을 통해 개발 기간을 기존 12주에서 3주로 단축한 사례로 꼽힌다. 온라인 언급량과 소비자 반응 데이터를 분석해 유행을 빠르게 반영한 결과다. SPC... ,"{""title"": ""대화형 커머스서 제품 개발까지···AI가 식품·유통업계 확 바꾼다"", ""originallink"": ""https://www.seoulfn.com/news/articleView.html?idxno=627793"", ""link"": ""https://www.seoulfn.com/news/articleView.html?idxno=627793"", ""description"": ""GS25가 올해 1월 선보인 '아이스 생<b>초콜릿</b> <b>두바이</b>'는 AI 기반 트렌드 분석을 통해 개발 기간을 기존 12주에서 3주로 단축한 사례로 꼽힌다. 온라인 언급량과 소비자 반응 데이터를 분석해 유행을 빠르게 반영한 결과다. SPC... "", ""pubDate"": ""Tue, 05 May 2026 13:00:00 +0900""}",,
두쫀쿠,preset,두바이초콜릿쿠키,"눈과 귀로 맛보다… 디저트, 콘텐츠 홍수 속 유흥거리로",https://n.news.naver.com/mnews/article/020/0003717380?sid=101,2026-05-05 15:32:00+00:00,"두쫀쿠(<b>두바이</b> 쫀득 <b>쿠키</b>), 버터떡, 프링글스 솔티초코…. 최근 소셜네트워크서비스(SNS)를 중심으로... <b>두바이 초콜릿</b>이 먼저 깔아놓은 ‘이국적인 단맛’ 위에, 카다이프(튀르키예식 얇은 면)와 피스타치오, 코코아 가루를... ",https://www.donga.com/news/Economy/article/all/20260505/133864765/2,naver_news,두바이초콜릿쿠키,alias,1.0,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,"두쫀쿠(<b>두바이</b> 쫀득 <b>쿠키</b>), 버터떡, 프링글스 솔티초코…. 최근 소셜네트워크서비스(SNS)를 중심으로... <b>두바이 초콜릿</b>이 먼저 깔아놓은 ‘이국적인 단맛’ 위에, 카다이프(튀르키예식 얇은 면)와 피스타치오, 코코아 가루를... ","{""title"": ""눈과 귀로 맛보다… 디저트, 콘텐츠 홍수 속 유흥거리로"", ""originallink"": ""https://www.donga.com/news/Economy/article/all/20260505/133864765/2"", ""link"": ""https://n.news.naver.com/mnews/article/020/0003717380?sid=101"", ""description"": ""두쫀쿠(<b>두바이</b> 쫀득 <b>쿠키</b>), 버터떡, 프링글스 솔티초코…. 최근 소셜네트워크서비스(SNS)를 중심으로... <b>두바이 초콜릿</b>이 먼저 깔아놓은 ‘이국적인 단맛’ 위에, 카다이프(튀르키예식 얇은 면)와 피스타치오, 코코아 가루를... "", ""pubDate"": ""Wed, 06 May 2026 00:32:00 +0900""}",,
두쫀쿠,preset,두바이 초콜릿,K-카페가 대세…이제 해외서 따라 한다 [식탐],https://n.news.naver.com/mnews/article/016/0002639727?sid=101,2026-05-06 07:51:00+00:00,"특히 <b>두바이 초콜릿</b> 음료, 우베라테 등 유행 식품을 응용한 신메뉴가 자주 나온다. 계절이 바뀔 때마다 제철 메뉴도 새롭게 선보인다. 업계의 한 관계자는 “K-카페 붐은 단순한 한류 영향으로 볼 수 없다”며 “커피를... ",https://biz.heraldcorp.com/article/10732075?ref=naver,naver_news,두바이 초콜릿,related,0.3,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,"특히 <b>두바이 초콜릿</b> 음료, 우베라테 등 유행 식품을 응용한 신메뉴가 자주 나온다. 계절이 바뀔 때마다 제철 메뉴도 새롭게 선보인다. 업계의 한 관계자는 “K-카페 붐은 단순한 한류 영향으로 볼 수 없다”며 “커피를... ","{""title"": ""K-카페가 대세…이제 해외서 따라 한다 [식탐]"", ""originallink"": ""https://biz.heraldcorp.com/article/10732075?ref=naver"", ""link"": ""https://n.news.naver.com/mnews/article/016/0002639727?sid=101"", ""description"": ""특히 <b>두바이 초콜릿</b> 음료, 우베라테 등 유행 식품을 응용한 신메뉴가 자주 나온다. 계절이 바뀔 때마다 제철 메뉴도 새롭게 선보인다. 업계의 한 관계자는 “K-카페 붐은 단순한 한류 영향으로 볼 수 없다”며 “커피를... "", ""pubDate"": ""Wed, 06 May 2026 16:51:00 +0900""}",,
두쫀쿠,preset,두바이 초콜릿,말차·<b>두바이</b> 가고 ‘우베’ 왔다…식품업계 보랏빛 재료에 주목,https://n.news.naver.com/mnews/article/082/0001379439?sid=101,2026-05-06 08:00:00+00:00,그동안 시장을 지배하던 초록빛 말차와 갈색의 <b>두바이 초콜릿</b> 열풍이 한풀 꺾인 자리를 보랏빛의 ‘우베(Ube)’가 빠르게 대체하고 있다. 6일 유통 업계에 따르면 국내 식음료 프랜차이즈와 편의점 업계는 우베 관련 메뉴를... ,https://www.busan.com/view/busan/view.php?code=2026050615564294835,naver_news,두바이 초콜릿,related,0.3,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,그동안 시장을 지배하던 초록빛 말차와 갈색의 <b>두바이 초콜릿</b> 열풍이 한풀 꺾인 자리를 보랏빛의 ‘우베(Ube)’가 빠르게 대체하고 있다. 6일 유통 업계에 따르면 국내 식음료 프랜차이즈와 편의점 업계는 우베 관련 메뉴를... ,"{""title"": ""말차·<b>두바이</b> 가고 ‘우베’ 왔다…식품업계 보랏빛 재료에 주목"", ""originallink"": ""https://www.busan.com/view/busan/view.php?code=2026050615564294835"", ""link"": ""https://n.news.naver.com/mnews/article/082/0001379439?sid=101"", ""description"": ""그동안 시장을 지배하던 초록빛 말차와 갈색의 <b>두바이 초콜릿</b> 열풍이 한풀 꺾인 자리를 보랏빛의 ‘우베(Ube)’가 빠르게 대체하고 있다. 6일 유통 업계에 따르면 국내 식음료 프랜차이즈와 편의점 업계는 우베 관련 메뉴를... "", ""pubDate"": ""Wed, 06 May 2026 17:00:00 +0900""}",,
두쫀쿠,preset,두바이초콜릿쿠키,"버터떡향 참이슬, 15.7도 저도주…소주가 젊어진다",https://n.news.naver.com/mnews/article/008/0005354105?sid=101,2026-05-07 02:37:00+00:00,"최근 출시해 화제를 모았던 '두쫀쿠(<b>두바이</b> 쫀득 <b>쿠키</b>)'향에이슬'의 후속작 성격으로, 신제품에는 최근 인기를 끈 버터떡의 풍미가 가미될 것으로 보인다. 두쫀쿠향에이슬은 12도에 두쫀쿠처럼 <b>초콜릿</b>과 피스타치오의... ",https://www.mt.co.kr/living/2026/05/08/2026050708445138834,naver_news,두바이초콜릿쿠키,alias,1.0,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,"최근 출시해 화제를 모았던 '두쫀쿠(<b>두바이</b> 쫀득 <b>쿠키</b>)'향에이슬'의 후속작 성격으로, 신제품에는 최근 인기를 끈 버터떡의 풍미가 가미될 것으로 보인다. 두쫀쿠향에이슬은 12도에 두쫀쿠처럼 <b>초콜릿</b>과 피스타치오의... ","{""title"": ""버터떡향 참이슬, 15.7도 저도주…소주가 젊어진다"", ""originallink"": ""https://www.mt.co.kr/living/2026/05/08/2026050708445138834"", ""link"": ""https://n.news.naver.com/mnews/article/008/0005354105?sid=101"", ""description"": ""최근 출시해 화제를 모았던 '두쫀쿠(<b>두바이</b> 쫀득 <b>쿠키</b>)'향에이슬'의 후속작 성격으로, 신제품에는 최근 인기를 끈 버터떡의 풍미가 가미될 것으로 보인다. 두쫀쿠향에이슬은 12도에 두쫀쿠처럼 <b>초콜릿</b>과 피스타치오의... "", ""pubDate"": ""Thu, 07 May 2026 11:37:00 +0900""}",,
두쫀쿠,preset,두바이 초콜릿,MZ픽 '우베'가 뭐길래… 보라색으로 물든 식품업계,http://www.the-biz.co.kr/news/articleView.html?idxno=720087,2026-05-07 05:58:00+00:00,그간 디저트시장을 장악했던 초록빛 말차와 갈색 <b>두바이초콜릿</b> 열풍에 이어 최근에는 보랏빛 식재료 '우베(Ube)'가 새로운 인기 키워드로 떠오르는 분위기다. 우베는 필리핀 등 동남아시아 지역에서 주로 소비되는 자색... ,http://www.the-biz.co.kr/news/articleView.html?idxno=720087,naver_news,두바이 초콜릿,related,0.3,2026-05-26 11:01:07.680391+00:00,0,0,0,0,,그간 디저트시장을 장악했던 초록빛 말차와 갈색 <b>두바이초콜릿</b> 열풍에 이어 최근에는 보랏빛 식재료 '우베(Ube)'가 새로운 인기 키워드로 떠오르는 분위기다. 우베는 필리핀 등 동남아시아 지역에서 주로 소비되는 자색... ,"{""title"": ""MZ픽 '우베'가 뭐길래… 보라색으로 물든 식품업계"", ""originallink"": ""http://www.the-biz.co.kr/news/articleView.html?idxno=720087"", ""link"": ""http://www.the-biz.co.kr/news/articleView.html?idxno=720087"", ""description"": ""그간 디저트시장을 장악했던 초록빛 말차와 갈색 <b>두바이초콜릿</b> 열풍에 이어 최근에는 보랏빛 식재료 '우베(Ube)'가 새로운 인기 키워드로 떠오르는 분위기다. 우베는 필리핀 등 동남아시아 지역에서 주로 소비되는 자색... "", ""pubDate"": ""Thu, 07 May 2026 14:58:00 +0900""}",,
