date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-05-03,naver_news,두바이 초콜릿,related,0.3,1,0.3,0,0,0,0
2026-05-03,naver_news,두바이초콜릿쿠키,alias,1.0,2,2.0,0,0,0,0
2026-05-04,naver_news,두바이 초콜릿,related,0.3,1,0.3,0,0,0,0
2026-05-05,naver_news,두바이 초콜릿,related,0.3,1,0.3,0,0,0,0
2026-05-05,naver_news,두바이초콜릿쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-06,naver_news,두바이 초콜릿,related,0.3,2,0.6,0,0,0,0
2026-05-07,naver_news,두바이 쫀득 쿠키,alias,1.0,6,6.0,0,0,0,0
2026-05-07,naver_news,두바이 초콜릿,related,0.3,2,0.6,0,0,0,0
2026-05-07,naver_news,두바이초콜릿쿠키,alias,1.0,2,2.0,0,0,0,0
2026-05-08,naver_news,두바이 쫀득 쿠키,alias,1.0,9,9.0,0,0,0,0
2026-05-09,naver_news,두바이 쫀득 쿠키,alias,1.0,7,7.0,0,0,0,0
2026-05-09,naver_news,두바이 초콜릿,related,0.3,1,0.3,0,0,0,0
2026-05-09,naver_news,두바이초콜릿쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-10,naver_news,두바이 쫀득 쿠키,alias,1.0,7,7.0,0,0,0,0
2026-05-10,naver_news,두바이 초콜릿,related,0.3,3,0.8999999999999999,0,0,0,0
2026-05-10,naver_news,두바이초콜릿쿠키,alias,1.0,2,2.0,0,0,0,0
2026-05-10,naver_news,카다이프,related,0.3,3,0.8999999999999999,0,0,0,0
2026-05-11,naver_blog,두존쿠,typo,0.8,8,6.4,0,0,0,0
2026-05-11,naver_news,두바이 쫀득 쿠키,alias,1.0,9,9.0,0,0,0,0
2026-05-11,naver_news,두바이 초콜릿,related,0.3,5,1.5,0,0,0,0
2026-05-11,naver_news,두바이초콜릿쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-11,naver_news,카다이프,related,0.3,15,4.5,0,0,0,0
2026-05-12,naver_blog,두존쿠,typo,0.8,11,8.8,0,0,0,0
2026-05-12,naver_news,두바이 쫀득 쿠키,alias,1.0,4,4.0,0,0,0,0
2026-05-12,naver_news,카다이프,related,0.3,23,6.8999999999999995,0,0,0,0
2026-05-13,naver_blog,두존쿠,typo,0.8,6,4.800000000000001,0,0,0,0
2026-05-13,naver_news,두바이 쫀득 쿠키,alias,1.0,5,5.0,0,0,0,0
2026-05-13,naver_news,카다이프,related,0.3,1,0.3,0,0,0,0
2026-05-14,naver_blog,두존쿠,typo,0.8,4,3.2,0,0,0,0
2026-05-14,naver_news,두바이 쫀득 쿠키,alias,1.0,4,4.0,0,0,0,0
2026-05-14,naver_news,카다이프,related,0.3,4,1.2,0,0,0,0
2026-05-15,naver_blog,두존쿠,typo,0.8,6,4.800000000000001,0,0,0,0
2026-05-15,naver_news,두바이 쫀득 쿠키,alias,1.0,3,3.0,0,0,0,0
2026-05-15,naver_news,두바이 초콜릿,related,0.3,3,0.8999999999999999,0,0,0,0
2026-05-16,naver_blog,두존쿠,typo,0.8,5,4.0,0,0,0,0
2026-05-16,naver_news,두바이 쫀득 쿠키,alias,1.0,4,4.0,0,0,0,0
2026-05-16,naver_news,두바이초콜릿쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-17,naver_blog,두존쿠,typo,0.8,6,4.800000000000001,0,0,0,0
2026-05-17,naver_news,두바이 쫀득 쿠키,alias,1.0,4,4.0,0,0,0,0
2026-05-17,naver_news,카다이프,related,0.3,3,0.8999999999999999,0,0,0,0
2026-05-18,naver_blog,두존쿠,typo,0.8,4,3.2,0,0,0,0
2026-05-18,naver_news,두바이 쫀득 쿠키,alias,1.0,3,3.0,0,0,0,0
2026-05-18,naver_news,두바이 초콜릿,related,0.3,3,0.8999999999999999,0,0,0,0
2026-05-18,naver_news,카다이프,related,0.3,9,2.6999999999999997,0,0,0,0
2026-05-19,naver_blog,두존쿠,typo,0.8,8,6.4,0,0,0,0
2026-05-19,naver_news,두바이 쫀득 쿠키,alias,1.0,7,7.0,0,0,0,0
2026-05-19,naver_news,두바이 초콜릿,related,0.3,5,1.5,0,0,0,0
2026-05-19,naver_news,두바이초콜릿쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-19,naver_news,두쫀쿠,canonical,1.0,18,18.0,0,0,0,0
2026-05-19,naver_news,카다이프,related,0.3,11,3.3,0,0,0,0
2026-05-20,naver_blog,두존쿠,typo,0.8,7,5.6000000000000005,0,0,0,0
2026-05-20,naver_news,두바이 쫀득 쿠키,alias,1.0,8,8.0,0,0,0,0
2026-05-20,naver_news,두바이 초콜릿,related,0.3,8,2.4,0,0,0,0
2026-05-20,naver_news,두바이초콜릿쿠키,alias,1.0,2,2.0,0,0,0,0
2026-05-20,naver_news,두쫀쿠,canonical,1.0,44,44.0,0,0,0,0
2026-05-20,naver_news,카다이프,related,0.3,19,5.7,0,0,0,0
2026-05-20,naver_news,피스타치오,related,0.3,2,0.6,0,0,0,0
2026-05-21,naver_blog,두존쿠,typo,0.8,11,8.8,0,0,0,0
2026-05-21,naver_news,두바이 쫀득 쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-21,naver_news,두바이 초콜릿,related,0.3,2,0.6,0,0,0,0
2026-05-21,naver_news,두쫀쿠,canonical,1.0,7,7.0,0,0,0,0
2026-05-21,naver_news,카다이프,related,0.3,1,0.3,0,0,0,0
2026-05-21,naver_news,피스타치오,related,0.3,1,0.3,0,0,0,0
2026-05-22,naver_blog,두존쿠,typo,0.8,5,4.0,0,0,0,0
2026-05-22,naver_news,두바이 쫀득 쿠키,alias,1.0,2,2.0,0,0,0,0
2026-05-22,naver_news,두바이 초콜릿,related,0.3,2,0.6,0,0,0,0
2026-05-22,naver_news,두쫀쿠,canonical,1.0,1,1.0,0,0,0,0
2026-05-22,naver_news,카다이프,related,0.3,1,0.3,0,0,0,0
2026-05-22,naver_news,피스타치오,related,0.3,68,20.4,0,0,0,0
2026-05-23,naver_blog,두존쿠,typo,0.8,6,4.800000000000001,0,0,0,0
2026-05-23,naver_news,두바이 쫀득 쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-23,naver_news,두바이 초콜릿,related,0.3,1,0.3,0,0,0,0
2026-05-23,naver_news,두쫀쿠,canonical,1.0,1,1.0,0,0,0,0
2026-05-23,naver_news,피스타치오,related,0.3,2,0.6,0,0,0,0
2026-05-24,naver_blog,두존쿠,typo,0.8,2,1.6,0,0,0,0
2026-05-24,naver_news,두바이 쫀득 쿠키,alias,1.0,2,2.0,0,0,0,0
2026-05-24,naver_news,두쫀쿠,canonical,1.0,1,1.0,0,0,0,0
2026-05-24,naver_news,피스타치오,related,0.3,3,0.8999999999999999,0,0,0,0
2026-05-25,naver_blog,두바이초콜릿쿠키,alias,1.0,50,50.0,0,0,0,0
2026-05-25,naver_blog,두존쿠,typo,0.8,6,4.800000000000001,0,0,0,0
2026-05-25,naver_news,두바이 쫀득 쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-25,naver_news,두쫀쿠,canonical,1.0,12,12.0,0,0,0,0
2026-05-25,naver_news,카다이프,related,0.3,1,0.3,0,0,0,0
2026-05-25,naver_news,피스타치오,related,0.3,4,1.2,0,0,0,0
2026-05-26,naver_blog,두바이 쫀득 쿠키,alias,1.0,90,90.0,0,0,0,0
2026-05-26,naver_blog,두바이 초콜릿,related,0.3,46,13.799999999999999,0,0,0,0
2026-05-26,naver_blog,두바이초콜릿쿠키,alias,1.0,27,27.0,0,0,0,0
2026-05-26,naver_blog,두존쿠,typo,0.8,4,3.2,0,0,0,0
2026-05-26,naver_blog,두쫀쿠,canonical,1.0,100,100.0,0,0,0,0
2026-05-26,naver_blog,카다이프,related,0.3,78,23.4,0,0,0,0
2026-05-26,naver_blog,피스타치오,related,0.3,85,25.5,0,0,0,0
2026-05-26,naver_news,두바이 쫀득 쿠키,alias,1.0,1,1.0,0,0,0,0
2026-05-26,naver_news,두바이 초콜릿,related,0.3,1,0.3,0,0,0,0
2026-05-26,naver_news,두쫀쿠,canonical,1.0,16,16.0,0,0,0,0
2026-05-26,naver_news,피스타치오,related,0.3,14,4.2,0,0,0,0
