canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,originallink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,bloggername,bloggerlink
콜라,single_term_fallback,콜라,"&quot;월드컵 오전 특수를 잡아라&quot;…유통가, 북중미 맞춤형 마케팅 총력전",https://www.straightnews.co.kr/news/articleView.html?idxno=303220,2026-05-23 02:00:00+00:00,"LG생활건강은 코카<b>콜라</b> 트로피 진품을 국내 전시하는 소비자 체험행사를 지원한 데 이어, 여름 수분 보충 수요를 겨냥한 '파워에이드 월드컵 스페셜 패키지'를 편의점과 마트에 전진 배치했다. 다만 업계 내부에서는 이번... ",https://www.straightnews.co.kr/news/articleView.html?idxno=303220,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,"LG생활건강은 코카<b>콜라</b> 트로피 진품을 국내 전시하는 소비자 체험행사를 지원한 데 이어, 여름 수분 보충 수요를 겨냥한 '파워에이드 월드컵 스페셜 패키지'를 편의점과 마트에 전진 배치했다. 다만 업계 내부에서는 이번... ","{""title"": ""&quot;월드컵 오전 특수를 잡아라&quot;…유통가, 북중미 맞춤형 마케팅 총력전"", ""originallink"": ""https://www.straightnews.co.kr/news/articleView.html?idxno=303220"", ""link"": ""https://www.straightnews.co.kr/news/articleView.html?idxno=303220"", ""description"": ""LG생활건강은 코카<b>콜라</b> 트로피 진품을 국내 전시하는 소비자 체험행사를 지원한 데 이어, 여름 수분 보충 수요를 겨냥한 '파워에이드 월드컵 스페셜 패키지'를 편의점과 마트에 전진 배치했다. 다만 업계 내부에서는 이번... "", ""pubDate"": ""Sat, 23 May 2026 11:00:00 +0900""}",,
콜라,single_term_fallback,콜라,“간 망가지는 중” 의사가 알려주는 가장 확실한 징후는?,https://n.news.naver.com/mnews/article/346/0000110266?sid=103,2026-05-23 02:03:00+00:00,황달이나 담즙정체가 있으면 소변이 <b>콜라</b>색처럼 짙어질 수 있다. 빌리루빈이 소변으로 배출되기 때문이다. 그러나 거품이 생기는 경우는 간질환보다는 단백뇨 등 콩팥 질환과 더 관련이 깊다. ▶황달=담즙 대사에 문제가... ,https://health.chosun.com/site/data/html_dir/2026/05/22/2026052203380.html,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,황달이나 담즙정체가 있으면 소변이 <b>콜라</b>색처럼 짙어질 수 있다. 빌리루빈이 소변으로 배출되기 때문이다. 그러나 거품이 생기는 경우는 간질환보다는 단백뇨 등 콩팥 질환과 더 관련이 깊다. ▶황달=담즙 대사에 문제가... ,"{""title"": ""“간 망가지는 중” 의사가 알려주는 가장 확실한 징후는?"", ""originallink"": ""https://health.chosun.com/site/data/html_dir/2026/05/22/2026052203380.html"", ""link"": ""https://n.news.naver.com/mnews/article/346/0000110266?sid=103"", ""description"": ""황달이나 담즙정체가 있으면 소변이 <b>콜라</b>색처럼 짙어질 수 있다. 빌리루빈이 소변으로 배출되기 때문이다. 그러나 거품이 생기는 경우는 간질환보다는 단백뇨 등 콩팥 질환과 더 관련이 깊다. ▶황달=담즙 대사에 문제가... "", ""pubDate"": ""Sat, 23 May 2026 11:03:00 +0900""}",,
콜라,single_term_fallback,콜라,"윙스톱(WING), 매출·순익 동반 성장…3억 달러 자사주 매입에 투자자 ‘...",https://www.tokenpost.kr/news/market/362626,2026-05-23 03:54:00+00:00,"‘시트러스 모조’ 소스와 함께 코카<b>콜라</b> 프리스타일 기반 음료 ‘스프라이트 로코 라임’을 선보였고, 대마초 문화와 연결된 4/20 시즌에는 한정판 ‘핫 박스’를 출시했다. 또한 베이글 브랜드와 협업해 레몬 페퍼... ",https://www.tokenpost.kr/news/market/362626,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,"‘시트러스 모조’ 소스와 함께 코카<b>콜라</b> 프리스타일 기반 음료 ‘스프라이트 로코 라임’을 선보였고, 대마초 문화와 연결된 4/20 시즌에는 한정판 ‘핫 박스’를 출시했다. 또한 베이글 브랜드와 협업해 레몬 페퍼... ","{""title"": ""윙스톱(WING), 매출·순익 동반 성장…3억 달러 자사주 매입에 투자자 ‘..."", ""originallink"": ""https://www.tokenpost.kr/news/market/362626"", ""link"": ""https://www.tokenpost.kr/news/market/362626"", ""description"": ""‘시트러스 모조’ 소스와 함께 코카<b>콜라</b> 프리스타일 기반 음료 ‘스프라이트 로코 라임’을 선보였고, 대마초 문화와 연결된 4/20 시즌에는 한정판 ‘핫 박스’를 출시했다. 또한 베이글 브랜드와 협업해 레몬 페퍼... "", ""pubDate"": ""Sat, 23 May 2026 12:54:00 +0900""}",,
콜라,single_term_fallback,콜라,앤디워홀의 '청량한 브랜드' 속으로,https://www.cctoday.co.kr/news/articleView.html?idxno=2230606,2026-05-23 04:28:00+00:00,"은색 페인트를 칠한 코카<b>콜라</b> 병에 저렴한 향수를 채운 '유어 인'(1967)도 눈길을 끈다. 당시 코카<b>콜라</b> 회사는 상표권 항의와 제작 중단을 요청했지만, 이 청량한 반전은 2017년 꼼데가르송이 동명의 향수를 출시하며... ",https://www.cctoday.co.kr/news/articleView.html?idxno=2230606,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,"은색 페인트를 칠한 코카<b>콜라</b> 병에 저렴한 향수를 채운 '유어 인'(1967)도 눈길을 끈다. 당시 코카<b>콜라</b> 회사는 상표권 항의와 제작 중단을 요청했지만, 이 청량한 반전은 2017년 꼼데가르송이 동명의 향수를 출시하며... ","{""title"": ""앤디워홀의 '청량한 브랜드' 속으로"", ""originallink"": ""https://www.cctoday.co.kr/news/articleView.html?idxno=2230606"", ""link"": ""https://www.cctoday.co.kr/news/articleView.html?idxno=2230606"", ""description"": ""은색 페인트를 칠한 코카<b>콜라</b> 병에 저렴한 향수를 채운 '유어 인'(1967)도 눈길을 끈다. 당시 코카<b>콜라</b> 회사는 상표권 항의와 제작 중단을 요청했지만, 이 청량한 반전은 2017년 꼼데가르송이 동명의 향수를 출시하며... "", ""pubDate"": ""Sat, 23 May 2026 13:28:00 +0900""}",,
콜라,single_term_fallback,콜라,"[유통체크업] 편의점, 여름 겨냥 차별화 음료 강화",http://www.the-biz.co.kr/news/articleView.html?idxno=721185,2026-05-23 05:00:00+00:00,편의점 CU는 다가오는 여름철 음료 매출 강화를 위해 '애사비 <b>콜라</b> 제로'를 출시하며 '헬씨 소다'의 영역을... 애사비 '<b>콜라</b>' 플레이버도 선보인다. 해당 제품은 헬씨 소다의 주요 인기 상품인 '애플 사이다 비네거(애사비)... ,http://www.the-biz.co.kr/news/articleView.html?idxno=721185,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,편의점 CU는 다가오는 여름철 음료 매출 강화를 위해 '애사비 <b>콜라</b> 제로'를 출시하며 '헬씨 소다'의 영역을... 애사비 '<b>콜라</b>' 플레이버도 선보인다. 해당 제품은 헬씨 소다의 주요 인기 상품인 '애플 사이다 비네거(애사비)... ,"{""title"": ""[유통체크업] 편의점, 여름 겨냥 차별화 음료 강화"", ""originallink"": ""http://www.the-biz.co.kr/news/articleView.html?idxno=721185"", ""link"": ""http://www.the-biz.co.kr/news/articleView.html?idxno=721185"", ""description"": ""편의점 CU는 다가오는 여름철 음료 매출 강화를 위해 '애사비 <b>콜라</b> 제로'를 출시하며 '헬씨 소다'의 영역을... 애사비 '<b>콜라</b>' 플레이버도 선보인다. 해당 제품은 헬씨 소다의 주요 인기 상품인 '애플 사이다 비네거(애사비)... "", ""pubDate"": ""Sat, 23 May 2026 14:00:00 +0900""}",,
콜라,single_term_fallback,콜라,"이제 진짜 설탕 끊어야 할 나이, 단 4주 만에 당 섭취 줄이는 전문가 꿀...",https://www.gqkorea.co.kr/2026/05/23/%ec%9d%b4%ec%a0%9c-%ec%a7%84%ec%a7%9c-%ec%84%a4%ed%83%95-%eb%81%8a%ec%96%b4%ec%95%bc-%ed%95%a0-%eb%82%98%ec%9d%b4-%eb%8b%a8-4%ec%a3%bc-%eb%a7%8c%ec%97%90-%eb%8b%b9-%ec%84%ad%ec%b7%a8-%ec%a4%84/?utm_source=naver&utm_medium=partnership,2026-05-23 07:37:00+00:00,"하지만 풀슈거 코카<b>콜라</b>를 끊어본 사람이라면 알겠지만, 설탕은 담배나 술 같은 중독성 물질과 상당히 비슷한 특성을 가진다. “설탕은 약물이나 술처럼 뇌의 보상 시스템을 활성화해 도파민 같은 기분 좋은 호르몬을... ",https://www.gqkorea.co.kr/2026/05/23/%ec%9d%b4%ec%a0%9c-%ec%a7%84%ec%a7%9c-%ec%84%a4%ed%83%95-%eb%81%8a%ec%96%b4%ec%95%bc-%ed%95%a0-%eb%82%98%ec%9d%b4-%eb%8b%a8-4%ec%a3%bc-%eb%a7%8c%ec%97%90-%eb%8b%b9-%ec%84%ad%ec%b7%a8-%ec%a4%84/?utm_source=naver&utm_medium=partnership,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,"하지만 풀슈거 코카<b>콜라</b>를 끊어본 사람이라면 알겠지만, 설탕은 담배나 술 같은 중독성 물질과 상당히 비슷한 특성을 가진다. “설탕은 약물이나 술처럼 뇌의 보상 시스템을 활성화해 도파민 같은 기분 좋은 호르몬을... ","{""title"": ""이제 진짜 설탕 끊어야 할 나이, 단 4주 만에 당 섭취 줄이는 전문가 꿀..."", ""originallink"": ""https://www.gqkorea.co.kr/2026/05/23/%ec%9d%b4%ec%a0%9c-%ec%a7%84%ec%a7%9c-%ec%84%a4%ed%83%95-%eb%81%8a%ec%96%b4%ec%95%bc-%ed%95%a0-%eb%82%98%ec%9d%b4-%eb%8b%a8-4%ec%a3%bc-%eb%a7%8c%ec%97%90-%eb%8b%b9-%ec%84%ad%ec%b7%a8-%ec%a4%84/?utm_source=naver&utm_medium=partnership"", ""link"": ""https://www.gqkorea.co.kr/2026/05/23/%ec%9d%b4%ec%a0%9c-%ec%a7%84%ec%a7%9c-%ec%84%a4%ed%83%95-%eb%81%8a%ec%96%b4%ec%95%bc-%ed%95%a0-%eb%82%98%ec%9d%b4-%eb%8b%a8-4%ec%a3%bc-%eb%a7%8c%ec%97%90-%eb%8b%b9-%ec%84%ad%ec%b7%a8-%ec%a4%84/?utm_source=naver&utm_medium=partnership"", ""description"": ""하지만 풀슈거 코카<b>콜라</b>를 끊어본 사람이라면 알겠지만, 설탕은 담배나 술 같은 중독성 물질과 상당히 비슷한 특성을 가진다. “설탕은 약물이나 술처럼 뇌의 보상 시스템을 활성화해 도파민 같은 기분 좋은 호르몬을... "", ""pubDate"": ""Sat, 23 May 2026 16:37:00 +0900""}",,
콜라,single_term_fallback,콜라,투자의 신이 찾아낸 절대 안 잃는 법…찰리 멍거의 엉덩이 투자법 핵심...,https://www.wikitree.co.kr/articles/1137546,2026-05-23 11:08:00+00:00,멍거의 이러한 철학적 전환이 없었다면 코카<b>콜라</b>와 애플 등 경제적 해자를 갖춘 우량 기업을 대규모로 장기 보유하는 현재의 버크셔 해서웨이 포트폴리오는 존재하지 않았다. 경제적 해자는 경쟁사가 쉽게 넘볼 수 없는... ,https://www.wikitree.co.kr/articles/1137546,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,멍거의 이러한 철학적 전환이 없었다면 코카<b>콜라</b>와 애플 등 경제적 해자를 갖춘 우량 기업을 대규모로 장기 보유하는 현재의 버크셔 해서웨이 포트폴리오는 존재하지 않았다. 경제적 해자는 경쟁사가 쉽게 넘볼 수 없는... ,"{""title"": ""투자의 신이 찾아낸 절대 안 잃는 법…찰리 멍거의 엉덩이 투자법 핵심..."", ""originallink"": ""https://www.wikitree.co.kr/articles/1137546"", ""link"": ""https://www.wikitree.co.kr/articles/1137546"", ""description"": ""멍거의 이러한 철학적 전환이 없었다면 코카<b>콜라</b>와 애플 등 경제적 해자를 갖춘 우량 기업을 대규모로 장기 보유하는 현재의 버크셔 해서웨이 포트폴리오는 존재하지 않았다. 경제적 해자는 경쟁사가 쉽게 넘볼 수 없는... "", ""pubDate"": ""Sat, 23 May 2026 20:08:00 +0900""}",,
콜라,single_term_fallback,콜라,&quot;미국 최고의 상남자&quot; 41세에 별세 충격…갑작스럽게 세상 떠난 美 레이...,https://m.sports.naver.com/general/article/477/0000610225,2026-05-23 17:36:00+00:00,"한편 일각에선 부쉬의 사망으로 NASCAR가 메이저 이벤트인 코카<b>콜라</b> 600 개최를 취소할 수 있다는 전망도 나왔지만, 오도넬 CEO는 &quot;실제로 진지하게 검토된 적은 없다&quot;고 선을 그었다. 오히려 &quot;카일 부쉬라면 우리가... ",https://www.spotvnews.co.kr/news/articleView.html?idxno=818537,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,"한편 일각에선 부쉬의 사망으로 NASCAR가 메이저 이벤트인 코카<b>콜라</b> 600 개최를 취소할 수 있다는 전망도 나왔지만, 오도넬 CEO는 &quot;실제로 진지하게 검토된 적은 없다&quot;고 선을 그었다. 오히려 &quot;카일 부쉬라면 우리가... ","{""title"": ""&quot;미국 최고의 상남자&quot; 41세에 별세 충격…갑작스럽게 세상 떠난 美 레이..."", ""originallink"": ""https://www.spotvnews.co.kr/news/articleView.html?idxno=818537"", ""link"": ""https://m.sports.naver.com/general/article/477/0000610225"", ""description"": ""한편 일각에선 부쉬의 사망으로 NASCAR가 메이저 이벤트인 코카<b>콜라</b> 600 개최를 취소할 수 있다는 전망도 나왔지만, 오도넬 CEO는 &quot;실제로 진지하게 검토된 적은 없다&quot;고 선을 그었다. 오히려 &quot;카일 부쉬라면 우리가... "", ""pubDate"": ""Sun, 24 May 2026 02:36:00 +0900""}",,
콜라,single_term_fallback,콜라,버핏 후계자도 안 팔았다…3000달러로 살 ‘버핏 주식’ 3선,https://www.g-enews.com/view.php?ud=2026052318450616979a1f309431_1,2026-05-23 18:02:00+00:00,코카<b>콜라</b>·알파벳·앨리파이낸셜 등 일부 핵심 종목은 유지하면서 장기 투자 기조를 이어가고 있어... ◇배당 강자 코카<b>콜라</b> 가장 대표적인 종목으로는 코카<b>콜라</b>를 꼽혔다. 버크셔해서웨이는 현재 코카<b>콜라</b> 주식... ,https://www.g-enews.com/view.php?ud=2026052318450616979a1f309431_1,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,코카<b>콜라</b>·알파벳·앨리파이낸셜 등 일부 핵심 종목은 유지하면서 장기 투자 기조를 이어가고 있어... ◇배당 강자 코카<b>콜라</b> 가장 대표적인 종목으로는 코카<b>콜라</b>를 꼽혔다. 버크셔해서웨이는 현재 코카<b>콜라</b> 주식... ,"{""title"": ""버핏 후계자도 안 팔았다…3000달러로 살 ‘버핏 주식’ 3선"", ""originallink"": ""https://www.g-enews.com/view.php?ud=2026052318450616979a1f309431_1"", ""link"": ""https://www.g-enews.com/view.php?ud=2026052318450616979a1f309431_1"", ""description"": ""코카<b>콜라</b>·알파벳·앨리파이낸셜 등 일부 핵심 종목은 유지하면서 장기 투자 기조를 이어가고 있어... ◇배당 강자 코카<b>콜라</b> 가장 대표적인 종목으로는 코카<b>콜라</b>를 꼽혔다. 버크셔해서웨이는 현재 코카<b>콜라</b> 주식... "", ""pubDate"": ""Sun, 24 May 2026 03:02:00 +0900""}",,
콜라,single_term_fallback,콜라,"대회 출전 앞둔 미국 최고 드라이버 카일 부시, 41세 별세",https://m.sports.naver.com/general/article/144/0001117011,2026-05-23 21:06:00+00:00,부시는 오는 25일 미국 노스캐롤라이나주 샬럿 모터스피드웨이에서 열리는 코카<b>콜라</b> 600 출전을 앞두고 있었다. AP통신은 익명을 요구한 복수 관계자를 인용해 “부시가 22일 레이싱 시뮬레이터 테스트 도중 의식을 잃었고... ,https://sports.khan.co.kr/article/202605240605003?pt=nv,naver_news,콜라,canonical,1.0,2026-05-26 11:01:39.370223+00:00,0,0,0,0,,부시는 오는 25일 미국 노스캐롤라이나주 샬럿 모터스피드웨이에서 열리는 코카<b>콜라</b> 600 출전을 앞두고 있었다. AP통신은 익명을 요구한 복수 관계자를 인용해 “부시가 22일 레이싱 시뮬레이터 테스트 도중 의식을 잃었고... ,"{""title"": ""대회 출전 앞둔 미국 최고 드라이버 카일 부시, 41세 별세"", ""originallink"": ""https://sports.khan.co.kr/article/202605240605003?pt=nv"", ""link"": ""https://m.sports.naver.com/general/article/144/0001117011"", ""description"": ""부시는 오는 25일 미국 노스캐롤라이나주 샬럿 모터스피드웨이에서 열리는 코카<b>콜라</b> 600 출전을 앞두고 있었다. AP통신은 익명을 요구한 복수 관계자를 인용해 “부시가 22일 레이싱 시뮬레이터 테스트 도중 의식을 잃었고... "", ""pubDate"": ""Sun, 24 May 2026 06:06:00 +0900""}",,
