date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-03-29,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-03-30,naver_blog,butter rice cake,alias,1.0,5,5.0,0,0,0,0
2026-03-31,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-01,naver_blog,butter rice cake,alias,1.0,8,8.0,0,0,0,0
2026-04-02,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-03,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-04-04,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-04-05,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-04-06,naver_blog,butter rice cake,alias,1.0,5,5.0,0,0,0,0
2026-04-07,naver_blog,butter rice cake,alias,1.0,4,4.0,0,0,0,0
2026-04-08,naver_blog,butter rice cake,alias,1.0,4,4.0,0,0,0,0
2026-04-09,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-10,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-11,naver_blog,butter rice cake,alias,1.0,3,3.0,0,0,0,0
2026-04-12,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-04-13,naver_blog,butter rice cake,alias,1.0,3,3.0,0,0,0,0
2026-04-14,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-15,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-04-17,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-18,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-19,naver_blog,butter rice cake,alias,1.0,3,3.0,0,0,0,0
2026-04-20,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-21,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-22,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-23,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-24,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-04-25,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-04-27,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-28,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-29,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-04-30,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-05-02,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-05-03,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-05,naver_blog,butter rice cake,alias,1.0,3,3.0,0,0,0,0
2026-05-06,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-06,naver_news,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-07,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-05-08,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-08,naver_news,버터떡 디저트,alias,1.0,2,2.0,0,0,0,0
2026-05-09,naver_news,버터떡 디저트,alias,1.0,5,5.0,0,0,0,0
2026-05-10,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-05-10,naver_news,버터떡 디저트,alias,1.0,4,4.0,0,0,0,0
2026-05-11,naver_blog,butter rice cake,alias,1.0,2,2.0,0,0,0,0
2026-05-11,naver_news,버터떡,canonical,1.0,18,18.0,0,0,0,0
2026-05-11,naver_news,버터떡 디저트,alias,1.0,19,19.0,0,0,0,0
2026-05-12,naver_news,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-12,naver_news,버터떡,canonical,1.0,12,12.0,0,0,0,0
2026-05-13,naver_news,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-13,naver_news,버터 떡,alias,1.0,4,4.0,0,0,0,0
2026-05-13,naver_news,버터떡,canonical,1.0,8,8.0,0,0,0,0
2026-05-14,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-14,naver_news,버터 떡,alias,1.0,1,1.0,0,0,0,0
2026-05-14,naver_news,버터떡,canonical,1.0,9,9.0,0,0,0,0
2026-05-15,naver_blog,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-15,naver_news,butter rice cake,alias,1.0,1,1.0,0,0,0,0
2026-05-15,naver_news,버터 떡,alias,1.0,1,1.0,0,0,0,0
2026-05-15,naver_news,버터떡,canonical,1.0,6,6.0,0,0,0,0
2026-05-16,naver_news,버터 떡,alias,1.0,2,2.0,0,0,0,0
2026-05-16,naver_news,버터떡,canonical,1.0,6,6.0,0,0,0,0
