canonical_keyword,keyword_set_mode,keyword,video_id,title,published_at,view_count,like_count,comment_count,url,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,description,originallink,bloggername,bloggerlink
느금마,single_term_fallback,느금마,,네 엄마,2026-04-27 00:00:00+00:00,,,,https://blog.naver.com/jkxxz/224266433189,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,대충 살자,날~씨존나좋아서구도고뽀샵이고각도고<b>느금마</b>고걍존나올려야지사진울시입새끼마냥ㅋㅋㅋㅋ 이거 그건가본데 그 뭐냐 롯데월드 안에 뭐 메이플 월든지 찵텨놨다더니 그건가보네 걍... ,"{""title"": ""네 엄마"", ""link"": ""https://blog.naver.com/jkxxz/224266433189"", ""description"": ""날~씨존나좋아서구도고뽀샵이고각도고<b>느금마</b>고걍존나올려야지사진울시입새끼마냥ㅋㅋㅋㅋ 이거 그건가본데 그 뭐냐 롯데월드 안에 뭐 메이플 월든지 찵텨놨다더니 그건가보네 걍... "", ""bloggername"": ""대충 살자"", ""bloggerlink"": ""blog.naver.com/jkxxz"", ""postdate"": ""20260427""}",날~씨존나좋아서구도고뽀샵이고각도고<b>느금마</b>고걍존나올려야지사진울시입새끼마냥ㅋㅋㅋㅋ 이거 그건가본데 그 뭐냐 롯데월드 안에 뭐 메이플 월든지 찵텨놨다더니 그건가보네 걍... ,,대충 살자,blog.naver.com/jkxxz
느금마,single_term_fallback,느금마,,<b>느금마</b>,2026-04-29 00:00:00+00:00,,,,https://blog.naver.com/gkdms0796/224269107970,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,gkdms0796님의블로그,<b>느금마</b>를 순화해서 말하겠슴니다 니 어머니 절 두고 어디 가시나요 직원이 할 일을 나에게 시키지 마 ㅈㄴ 호화스럽게 나옴 이옥토 꿈꿨는데 다음날에 바로 절판된 책 재판됨...당연히 바로 삼ㅋ 책 둘 공간이... ,"{""title"": ""<b>느금마</b>"", ""link"": ""https://blog.naver.com/gkdms0796/224269107970"", ""description"": ""<b>느금마</b>를 순화해서 말하겠슴니다 니 어머니 절 두고 어디 가시나요 직원이 할 일을 나에게 시키지 마 ㅈㄴ 호화스럽게 나옴 이옥토 꿈꿨는데 다음날에 바로 절판된 책 재판됨...당연히 바로 삼ㅋ 책 둘 공간이... "", ""bloggername"": ""gkdms0796님의블로그"", ""bloggerlink"": ""blog.naver.com/gkdms0796"", ""postdate"": ""20260429""}",<b>느금마</b>를 순화해서 말하겠슴니다 니 어머니 절 두고 어디 가시나요 직원이 할 일을 나에게 시키지 마 ㅈㄴ 호화스럽게 나옴 이옥토 꿈꿨는데 다음날에 바로 절판된 책 재판됨...당연히 바로 삼ㅋ 책 둘 공간이... ,,gkdms0796님의블로그,blog.naver.com/gkdms0796
느금마,single_term_fallback,느금마,,제 7회 오락관을 참가하다,2026-04-29 00:00:00+00:00,,,,https://blog.naver.com/crimsonsoda/224269803575,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,십타쿠의 삶,가격이 <b>느금마</b>가 됨 7900원 가챠 처음 봤어요 더 돌고 싶었는데 이때 시간이 7:40 이래서 3층까지만 보고 나옴 서초 카츠공방 맛있어요 추천합니다 마이하우스 좁긴 한데 역도 가깝고 깔끔하고 ㄱㅊ 욕조는... ,"{""title"": ""제 7회 오락관을 참가하다"", ""link"": ""https://blog.naver.com/crimsonsoda/224269803575"", ""description"": ""가격이 <b>느금마</b>가 됨 7900원 가챠 처음 봤어요 더 돌고 싶었는데 이때 시간이 7:40 이래서 3층까지만 보고 나옴 서초 카츠공방 맛있어요 추천합니다 마이하우스 좁긴 한데 역도 가깝고 깔끔하고 ㄱㅊ 욕조는... "", ""bloggername"": ""십타쿠의 삶"", ""bloggerlink"": ""blog.naver.com/crimsonsoda"", ""postdate"": ""20260429""}",가격이 <b>느금마</b>가 됨 7900원 가챠 처음 봤어요 더 돌고 싶었는데 이때 시간이 7:40 이래서 3층까지만 보고 나옴 서초 카츠공방 맛있어요 추천합니다 마이하우스 좁긴 한데 역도 가깝고 깔끔하고 ㄱㅊ 욕조는... ,,십타쿠의 삶,blog.naver.com/crimsonsoda
느금마,single_term_fallback,느금마,,내 37323자 글 4월 24일에 신고한 숨은새끼찾기,2026-04-30 00:00:00+00:00,,,,https://blog.naver.com/apeach2319/224270475936,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,이파리의 감정 연구소,또올려 또올리면 돼 <b>느금마</b>느개비다 씨발새끼야 내한테 사과는 못할망정 신고쳐먹여서 글쳐내리냐? 니도 고소해보던가 씨발 니 부모랑 니 애새끼 있으면 애새끼랑 니 사업이랑 니 주변 지인까지 싹다... ,"{""title"": ""내 37323자 글 4월 24일에 신고한 숨은새끼찾기"", ""link"": ""https://blog.naver.com/apeach2319/224270475936"", ""description"": ""또올려 또올리면 돼 <b>느금마</b>느개비다 씨발새끼야 내한테 사과는 못할망정 신고쳐먹여서 글쳐내리냐? 니도 고소해보던가 씨발 니 부모랑 니 애새끼 있으면 애새끼랑 니 사업이랑 니 주변 지인까지 싹다... "", ""bloggername"": ""이파리의 감정 연구소"", ""bloggerlink"": ""blog.naver.com/apeach2319"", ""postdate"": ""20260430""}",또올려 또올리면 돼 <b>느금마</b>느개비다 씨발새끼야 내한테 사과는 못할망정 신고쳐먹여서 글쳐내리냐? 니도 고소해보던가 씨발 니 부모랑 니 애새끼 있으면 애새끼랑 니 사업이랑 니 주변 지인까지 싹다... ,,이파리의 감정 연구소,blog.naver.com/apeach2319
느금마,single_term_fallback,느금마,,드럽게 몬생긴게 자만에 자뻑에,2026-05-01 00:00:00+00:00,,,,https://blog.naver.com/ihopesogod0691/224271194591,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,맛집탐구하는 블린이,<b>느금마</b> 똥꼬주름 100만개,"{""title"": ""드럽게 몬생긴게 자만에 자뻑에"", ""link"": ""https://blog.naver.com/ihopesogod0691/224271194591"", ""description"": ""<b>느금마</b> 똥꼬주름 100만개"", ""bloggername"": ""맛집탐구하는 블린이"", ""bloggerlink"": ""blog.naver.com/ihopesogod0691"", ""postdate"": ""20260501""}",<b>느금마</b> 똥꼬주름 100만개,,맛집탐구하는 블린이,blog.naver.com/ihopesogod0691
느금마,single_term_fallback,느금마,,<b>느금마</b> 관세탑 추는 소리하노,2026-05-01 00:00:00+00:00,,,,https://blog.naver.com/ihopesogod0691/224271208958,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,맛집탐구하는 블린이,<b>느금마</b> 엄상용 아빠 강스트,"{""title"": ""<b>느금마</b> 관세탑 추는 소리하노"", ""link"": ""https://blog.naver.com/ihopesogod0691/224271208958"", ""description"": ""<b>느금마</b> 엄상용 아빠 강스트"", ""bloggername"": ""맛집탐구하는 블린이"", ""bloggerlink"": ""blog.naver.com/ihopesogod0691"", ""postdate"": ""20260501""}",<b>느금마</b> 엄상용 아빠 강스트,,맛집탐구하는 블린이,blog.naver.com/ihopesogod0691
느금마,single_term_fallback,느금마,,니한테 하는 말은 여기 뿐이라니까,2026-05-01 00:00:00+00:00,,,,https://blog.naver.com/ihopesogod0691/224271224293,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,맛집탐구하는 블린이,그 외의 플랫폼은 니같은 병신 비유하느라 잠깐 얘기한 거고 <b>느금마</b> 크크루삥뽕,"{""title"": ""니한테 하는 말은 여기 뿐이라니까"", ""link"": ""https://blog.naver.com/ihopesogod0691/224271224293"", ""description"": ""그 외의 플랫폼은 니같은 병신 비유하느라 잠깐 얘기한 거고 <b>느금마</b> 크크루삥뽕"", ""bloggername"": ""맛집탐구하는 블린이"", ""bloggerlink"": ""blog.naver.com/ihopesogod0691"", ""postdate"": ""20260501""}",그 외의 플랫폼은 니같은 병신 비유하느라 잠깐 얘기한 거고 <b>느금마</b> 크크루삥뽕,,맛집탐구하는 블린이,blog.naver.com/ihopesogod0691
느금마,single_term_fallback,느금마,,<b>느금마</b> 한 대 칠려고 주먹 쥐니까 사팔뜨기 눈 되더라,2026-05-01 00:00:00+00:00,,,,https://blog.naver.com/ihopesogod0691/224271528600,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,맛집탐구하는 블린이,귀엽노,"{""title"": ""<b>느금마</b> 한 대 칠려고 주먹 쥐니까 사팔뜨기 눈 되더라"", ""link"": ""https://blog.naver.com/ihopesogod0691/224271528600"", ""description"": ""귀엽노"", ""bloggername"": ""맛집탐구하는 블린이"", ""bloggerlink"": ""blog.naver.com/ihopesogod0691"", ""postdate"": ""20260501""}",귀엽노,,맛집탐구하는 블린이,blog.naver.com/ihopesogod0691
느금마,single_term_fallback,느금마,,엔추파도스의 진짜 용례: 아르헨티나 주요 언론의 기사,2026-05-01 00:00:00+00:00,,,,https://blog.naver.com/mudriy/224271757641,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,mudriy님의블로그,"대한 분노, 경멸, 혐오, 그리고 베네수엘라식 표현으로 말하자면 &quot;아레체라&quot;(arrechera, &quot;분노&quot;)를 반영한다. 아주 간단하다. &quot;마두로 <b>느금마</b> 창X&quot;(Maduro Coño'e tu madre) 관련 글: https://blog.naver.com/mudriy/224248563725","{""title"": ""엔추파도스의 진짜 용례: 아르헨티나 주요 언론의 기사"", ""link"": ""https://blog.naver.com/mudriy/224271757641"", ""description"": ""대한 분노, 경멸, 혐오, 그리고 베네수엘라식 표현으로 말하자면 &quot;아레체라&quot;(arrechera, &quot;분노&quot;)를 반영한다. 아주 간단하다. &quot;마두로 <b>느금마</b> 창X&quot;(Maduro Coño'e tu madre) 관련 글: https://blog.naver.com/mudriy/224248563725"", ""bloggername"": ""mudriy님의블로그"", ""bloggerlink"": ""blog.naver.com/mudriy"", ""postdate"": ""20260501""}","대한 분노, 경멸, 혐오, 그리고 베네수엘라식 표현으로 말하자면 &quot;아레체라&quot;(arrechera, &quot;분노&quot;)를 반영한다. 아주 간단하다. &quot;마두로 <b>느금마</b> 창X&quot;(Maduro Coño'e tu madre) 관련 글: https://blog.naver.com/mudriy/224248563725",,mudriy님의블로그,blog.naver.com/mudriy
느금마,single_term_fallback,느금마,,<b>느금마</b>,2026-05-02 00:00:00+00:00,,,,https://blog.naver.com/je3111/224272604892,naver_blog,느금마,canonical,1.0,2026-05-26 11:15:49.899489+00:00,0,0,0,0,살기싫다,음 아무생각도 안든다 죽고싶음 그냥,"{""title"": ""<b>느금마</b>"", ""link"": ""https://blog.naver.com/je3111/224272604892"", ""description"": ""음 아무생각도 안든다 죽고싶음 그냥"", ""bloggername"": ""살기싫다"", ""bloggerlink"": ""blog.naver.com/je3111"", ""postdate"": ""20260502""}",음 아무생각도 안든다 죽고싶음 그냥,,살기싫다,blog.naver.com/je3111
