date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-04-27,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-04-28,느금마,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-29,느금마,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-04-30,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-01,느금마,5.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
2026-05-02,느금마,2.0,2.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0
2026-05-03,느금마,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-05,느금마,4.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
2026-05-06,느금마,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-05-07,느금마,1.0,1.0,1245.0,20.0,7.0,27.0,1.0,1.0,0.0
2026-05-08,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-09,느금마,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-05-10,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-11,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-12,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-13,느금마,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
2026-05-14,느금마,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-05-15,느금마,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16,느금마,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-05-17,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-18,느금마,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-19,느금마,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-05-20,느금마,3.0,3.0,563.0,1.0,0.0,1.0,2.0,3.0,0.0
2026-05-21,느금마,5.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
2026-05-22,느금마,1.0,1.0,973.0,0.0,5.0,5.0,1.0,1.0,0.0
2026-05-23,느금마,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,느금마,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
2026-05-25,느금마,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2026-05-26,느금마,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
