date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-04-27,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-04-29,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
2026-04-30,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-01,naver_blog,느금마,canonical,1.0,5,5.0,0,0,0,0
2026-05-02,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-02,youtube,느금마,canonical,1.0,1,1.0,13,0,0,0
2026-05-04,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-05,naver_blog,느금마,canonical,1.0,4,4.0,0,0,0,0
2026-05-06,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
2026-05-07,youtube,느금마,canonical,1.0,1,1.0,1245,20,7,27
2026-05-08,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-09,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
2026-05-10,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-11,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-12,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-13,naver_blog,느금마,canonical,1.0,3,3.0,0,0,0,0
2026-05-14,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
2026-05-16,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
2026-05-17,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-19,naver_blog,느금마,canonical,1.0,1,1.0,0,0,0,0
2026-05-20,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
2026-05-20,youtube,느금마,canonical,1.0,1,1.0,563,1,0,1
2026-05-21,naver_blog,느금마,canonical,1.0,5,5.0,0,0,0,0
2026-05-22,youtube,느금마,canonical,1.0,1,1.0,973,0,5,5
2026-05-24,naver_blog,느금마,canonical,1.0,3,3.0,0,0,0,0
2026-05-25,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
2026-05-26,naver_blog,느금마,canonical,1.0,2,2.0,0,0,0,0
