date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-02-26,샤브올데이,3.0,3.0,246313.0,2418.0,204.0,2622.0,1.0,3.0,0.0
2026-02-27,샤브올데이,6.0,6.0,16885.0,59.0,8.0,67.0,1.0,6.0,0.0
2026-02-28,샤브올데이,8.0,8.0,678978.0,9446.0,1134.0,10580.0,1.0,8.0,0.0
2026-03-01,샤브올데이,4.0,4.0,7309.0,60.0,1.0,61.0,1.0,4.0,0.0
2026-03-02,샤브올데이,4.0,4.0,5347.0,29.0,6.0,35.0,1.0,4.0,0.0
2026-03-03,샤브올데이,10.0,10.0,161677.0,1880.0,82.0,1962.0,1.0,10.0,0.0
2026-03-04,샤브올데이,10.0,10.0,24342.0,213.0,10.0,223.0,1.0,10.0,0.0
2026-03-05,샤브올데이,3.0,3.0,20442.0,164.0,1.0,165.0,1.0,3.0,0.0
2026-03-06,샤브올데이,6.0,6.0,41651.0,378.0,23.0,401.0,1.0,6.0,0.0
2026-03-07,샤브올데이,1.0,1.0,2131.0,2.0,0.0,2.0,1.0,1.0,0.0
2026-03-08,샤브올데이,3.0,3.0,5456.0,7.0,1.0,8.0,1.0,3.0,0.0
2026-03-09,샤브올데이,4.0,4.0,83597.0,891.0,113.0,1004.0,1.0,4.0,0.0
2026-03-10,샤브올데이,3.0,3.0,11958.0,296.0,5.0,301.0,1.0,3.0,0.0
2026-03-11,샤브올데이,3.0,3.0,3795.0,41.0,0.0,41.0,1.0,3.0,0.0
2026-03-12,샤브올데이,3.0,3.0,54475.0,533.0,6.0,539.0,1.0,3.0,0.0
2026-03-13,샤브올데이,3.0,3.0,119436.0,2161.0,31.0,2192.0,1.0,3.0,0.0
2026-03-14,샤브올데이,2.0,2.0,73805.0,2444.0,31.0,2475.0,1.0,2.0,0.0
2026-03-15,샤브올데이,2.0,2.0,4168.0,29.0,21.0,50.0,1.0,2.0,0.0
2026-03-16,샤브올데이,4.0,4.0,101466.0,537.0,87.0,624.0,1.0,4.0,0.0
2026-03-17,샤브올데이,5.0,5.0,72332.0,695.0,86.0,781.0,1.0,5.0,0.0
2026-03-18,샤브올데이,5.0,5.0,53583.0,1028.0,12.0,1040.0,1.0,5.0,0.0
2026-03-19,샤브올데이,3.0,3.0,17756.0,117.0,13.0,130.0,1.0,3.0,0.0
2026-03-20,샤브올데이,6.0,6.0,30095.0,169.0,21.0,190.0,1.0,6.0,0.0
2026-03-21,샤브올데이,2.0,2.0,22762.0,92.0,10.0,102.0,1.0,2.0,0.0
2026-03-22,샤브올데이,2.0,2.0,2342.0,33.0,1.0,34.0,1.0,2.0,0.0
2026-03-23,샤브올데이,8.0,8.0,285721.0,260.0,157.0,417.0,1.0,8.0,0.0
2026-03-24,샤브올데이,7.0,7.0,31111.0,415.0,6.0,421.0,1.0,7.0,0.0
2026-03-25,샤브올데이,5.0,5.0,62981.0,1465.0,88.0,1553.0,1.0,5.0,0.0
2026-03-26,샤브올데이,9.0,9.0,71574.0,1249.0,52.0,1301.0,1.0,9.0,0.0
2026-03-27,샤브올데이,5.0,5.0,405846.0,2740.0,169.0,2909.0,1.0,5.0,0.0
2026-03-28,샤브올데이,2.0,2.0,14537.0,34.0,1.0,35.0,1.0,2.0,0.0
2026-03-29,샤브올데이,6.0,6.0,42392.0,109.0,7.0,116.0,1.0,6.0,0.0
2026-03-30,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-31,샤브올데이,3.0,3.0,4446.0,12.0,1.0,13.0,1.0,3.0,0.0
2026-04-01,샤브올데이,7.0,7.0,25453.0,974.0,42.0,1016.0,1.0,7.0,0.0
2026-04-02,샤브올데이,2.0,2.0,5613.0,33.0,1.0,34.0,1.0,2.0,0.0
2026-04-03,샤브올데이,5.0,5.0,86787.0,768.0,13.0,781.0,1.0,5.0,0.0
2026-04-04,샤브올데이,1.0,1.0,1466.0,16.0,14.0,30.0,1.0,1.0,0.0
2026-04-05,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,샤브올데이,3.0,3.0,26389.0,125.0,19.0,144.0,1.0,3.0,0.0
2026-04-07,샤브올데이,5.0,5.0,68153.0,400.0,27.0,427.0,1.0,5.0,0.0
2026-04-08,샤브올데이,3.0,3.0,12945.0,54.0,6.0,60.0,1.0,3.0,0.0
2026-04-09,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,샤브올데이,5.0,5.0,18862.0,260.0,10.0,270.0,1.0,5.0,0.0
2026-04-11,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-12,샤브올데이,3.0,3.0,21054.0,568.0,45.0,613.0,1.0,3.0,0.0
2026-04-13,샤브올데이,1.0,1.0,10169.0,545.0,33.0,578.0,1.0,1.0,0.0
2026-04-14,샤브올데이,3.0,3.0,103686.0,512.0,190.0,702.0,1.0,3.0,0.0
2026-04-15,샤브올데이,2.0,2.0,4515.0,17.0,1.0,18.0,1.0,2.0,0.0
2026-04-16,샤브올데이,1.0,1.0,9564.0,70.0,6.0,76.0,1.0,1.0,0.0
2026-04-17,샤브올데이,2.0,2.0,17266.0,90.0,3.0,93.0,1.0,2.0,0.0
2026-04-18,샤브올데이,2.0,2.0,17574.0,57.0,3.0,60.0,1.0,2.0,0.0
2026-04-19,샤브올데이,2.0,2.0,3105.0,13.0,2.0,15.0,1.0,2.0,0.0
2026-04-20,샤브올데이,2.0,2.0,753183.0,2183.0,1191.0,3374.0,1.0,2.0,0.0
2026-04-21,샤브올데이,5.0,5.0,1251471.0,32686.0,987.0,33673.0,1.0,5.0,0.0
2026-04-22,샤브올데이,1.0,1.0,32802.0,438.0,29.0,467.0,1.0,1.0,0.0
2026-04-23,샤브올데이,1.0,1.0,6101.0,70.0,2.0,72.0,1.0,1.0,0.0
2026-04-24,샤브올데이,1.0,1.0,13638.0,164.0,86.0,250.0,1.0,1.0,0.0
2026-04-25,샤브올데이,1.0,1.0,533.0,0.0,0.0,0.0,1.0,1.0,0.0
2026-04-26,샤브올데이,2.0,2.0,2438.0,16.0,0.0,16.0,1.0,2.0,0.0
2026-04-27,샤브올데이,3.0,3.0,56807.0,535.0,18.0,553.0,1.0,3.0,0.0
2026-04-28,샤브올데이,2.0,2.0,2799.0,20.0,0.0,20.0,1.0,2.0,0.0
2026-04-29,샤브올데이,2.0,2.0,5001.0,31.0,1.0,32.0,1.0,2.0,0.0
2026-04-30,샤브올데이,2.0,2.0,5210.0,24.0,1.0,25.0,1.0,2.0,0.0
2026-05-01,샤브올데이,1.0,1.0,1531.0,7.0,3.0,10.0,1.0,1.0,0.0
2026-05-02,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-03,샤브올데이,3.0,3.0,1648273.0,11762.0,628.0,12390.0,1.0,3.0,0.0
2026-05-04,샤브올데이,2.0,2.0,18956.0,122.0,8.0,130.0,1.0,2.0,0.0
2026-05-05,샤브올데이,1.0,1.0,1677.0,6.0,0.0,6.0,1.0,1.0,0.0
2026-05-06,샤브올데이,3.0,3.0,160361.0,2959.0,45.0,3004.0,1.0,3.0,0.0
2026-05-07,샤브올데이,2.0,2.0,4402.0,11.0,1.0,12.0,1.0,2.0,0.0
2026-05-08,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-09,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-10,샤브올데이,1.0,1.0,1700.0,35.0,0.0,35.0,1.0,1.0,0.0
2026-05-11,샤브올데이,1.0,1.0,1989.0,4.0,0.0,4.0,1.0,1.0,0.0
2026-05-12,샤브올데이,3.0,3.0,50228.0,713.0,17.0,730.0,1.0,3.0,0.0
2026-05-13,샤브올데이,1.0,1.0,1947.0,9.0,0.0,9.0,1.0,1.0,0.0
2026-05-14,샤브올데이,4.0,4.0,16449.0,50.0,4.0,54.0,1.0,4.0,0.0
2026-05-15,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16,샤브올데이,1.0,1.0,42415.0,444.0,29.0,473.0,1.0,1.0,0.0
2026-05-17,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,샤브올데이,1.0,1.0,5560.0,16.0,4.0,20.0,1.0,1.0,0.0
2026-05-19,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-21,샤브올데이,1.0,1.0,68009.0,883.0,181.0,1064.0,1.0,1.0,0.0
2026-05-22,샤브올데이,3.0,3.0,24727.0,98.0,5.0,103.0,1.0,3.0,0.0
2026-05-23,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,샤브올데이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25,샤브올데이,33.0,33.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0
2026-05-26,샤브올데이,67.0,67.0,0.0,0.0,0.0,0.0,1.0,67.0,0.0
