date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-02-26,youtube,샤브올데이,canonical,1.0,3,3.0,246313,2418,204,2622
2026-02-27,youtube,샤브올데이,canonical,1.0,6,6.0,16885,59,8,67
2026-02-28,youtube,샤브올데이,canonical,1.0,8,8.0,678978,9446,1134,10580
2026-03-01,youtube,샤브올데이,canonical,1.0,4,4.0,7309,60,1,61
2026-03-02,youtube,샤브올데이,canonical,1.0,4,4.0,5347,29,6,35
2026-03-03,youtube,샤브올데이,canonical,1.0,10,10.0,161677,1880,82,1962
2026-03-04,youtube,샤브올데이,canonical,1.0,10,10.0,24342,213,10,223
2026-03-05,youtube,샤브올데이,canonical,1.0,3,3.0,20442,164,1,165
2026-03-06,youtube,샤브올데이,canonical,1.0,6,6.0,41651,378,23,401
2026-03-07,youtube,샤브올데이,canonical,1.0,1,1.0,2131,2,0,2
2026-03-08,youtube,샤브올데이,canonical,1.0,3,3.0,5456,7,1,8
2026-03-09,youtube,샤브올데이,canonical,1.0,4,4.0,83597,891,113,1004
2026-03-10,youtube,샤브올데이,canonical,1.0,3,3.0,11958,296,5,301
2026-03-11,youtube,샤브올데이,canonical,1.0,3,3.0,3795,41,0,41
2026-03-12,youtube,샤브올데이,canonical,1.0,3,3.0,54475,533,6,539
2026-03-13,youtube,샤브올데이,canonical,1.0,3,3.0,119436,2161,31,2192
2026-03-14,youtube,샤브올데이,canonical,1.0,2,2.0,73805,2444,31,2475
2026-03-15,youtube,샤브올데이,canonical,1.0,2,2.0,4168,29,21,50
2026-03-16,youtube,샤브올데이,canonical,1.0,4,4.0,101466,537,87,624
2026-03-17,youtube,샤브올데이,canonical,1.0,5,5.0,72332,695,86,781
2026-03-18,youtube,샤브올데이,canonical,1.0,5,5.0,53583,1028,12,1040
2026-03-19,youtube,샤브올데이,canonical,1.0,3,3.0,17756,117,13,130
2026-03-20,youtube,샤브올데이,canonical,1.0,6,6.0,30095,169,21,190
2026-03-21,youtube,샤브올데이,canonical,1.0,2,2.0,22762,92,10,102
2026-03-22,youtube,샤브올데이,canonical,1.0,2,2.0,2342,33,1,34
2026-03-23,youtube,샤브올데이,canonical,1.0,8,8.0,285721,260,157,417
2026-03-24,youtube,샤브올데이,canonical,1.0,7,7.0,31111,415,6,421
2026-03-25,youtube,샤브올데이,canonical,1.0,5,5.0,62981,1465,88,1553
2026-03-26,youtube,샤브올데이,canonical,1.0,9,9.0,71574,1249,52,1301
2026-03-27,youtube,샤브올데이,canonical,1.0,5,5.0,405846,2740,169,2909
2026-03-28,youtube,샤브올데이,canonical,1.0,2,2.0,14537,34,1,35
2026-03-29,youtube,샤브올데이,canonical,1.0,6,6.0,42392,109,7,116
2026-03-31,youtube,샤브올데이,canonical,1.0,3,3.0,4446,12,1,13
2026-04-01,youtube,샤브올데이,canonical,1.0,7,7.0,25453,974,42,1016
2026-04-02,youtube,샤브올데이,canonical,1.0,2,2.0,5613,33,1,34
2026-04-03,youtube,샤브올데이,canonical,1.0,5,5.0,86787,768,13,781
2026-04-04,youtube,샤브올데이,canonical,1.0,1,1.0,1466,16,14,30
2026-04-06,youtube,샤브올데이,canonical,1.0,3,3.0,26389,125,19,144
2026-04-07,youtube,샤브올데이,canonical,1.0,5,5.0,68153,400,27,427
2026-04-08,youtube,샤브올데이,canonical,1.0,3,3.0,12945,54,6,60
2026-04-10,youtube,샤브올데이,canonical,1.0,5,5.0,18862,260,10,270
2026-04-12,youtube,샤브올데이,canonical,1.0,3,3.0,21054,568,45,613
2026-04-13,youtube,샤브올데이,canonical,1.0,1,1.0,10169,545,33,578
2026-04-14,youtube,샤브올데이,canonical,1.0,3,3.0,103686,512,190,702
2026-04-15,youtube,샤브올데이,canonical,1.0,2,2.0,4515,17,1,18
2026-04-16,youtube,샤브올데이,canonical,1.0,1,1.0,9564,70,6,76
2026-04-17,youtube,샤브올데이,canonical,1.0,2,2.0,17266,90,3,93
2026-04-18,youtube,샤브올데이,canonical,1.0,2,2.0,17574,57,3,60
2026-04-19,youtube,샤브올데이,canonical,1.0,2,2.0,3105,13,2,15
2026-04-20,youtube,샤브올데이,canonical,1.0,2,2.0,753183,2183,1191,3374
2026-04-21,youtube,샤브올데이,canonical,1.0,5,5.0,1251471,32686,987,33673
2026-04-22,youtube,샤브올데이,canonical,1.0,1,1.0,32802,438,29,467
2026-04-23,youtube,샤브올데이,canonical,1.0,1,1.0,6101,70,2,72
2026-04-24,youtube,샤브올데이,canonical,1.0,1,1.0,13638,164,86,250
2026-04-25,youtube,샤브올데이,canonical,1.0,1,1.0,533,0,0,0
2026-04-26,youtube,샤브올데이,canonical,1.0,2,2.0,2438,16,0,16
2026-04-27,youtube,샤브올데이,canonical,1.0,3,3.0,56807,535,18,553
2026-04-28,youtube,샤브올데이,canonical,1.0,2,2.0,2799,20,0,20
2026-04-29,youtube,샤브올데이,canonical,1.0,2,2.0,5001,31,1,32
2026-04-30,youtube,샤브올데이,canonical,1.0,2,2.0,5210,24,1,25
2026-05-01,youtube,샤브올데이,canonical,1.0,1,1.0,1531,7,3,10
2026-05-03,youtube,샤브올데이,canonical,1.0,3,3.0,1648273,11762,628,12390
2026-05-04,youtube,샤브올데이,canonical,1.0,2,2.0,18956,122,8,130
2026-05-05,youtube,샤브올데이,canonical,1.0,1,1.0,1677,6,0,6
2026-05-06,youtube,샤브올데이,canonical,1.0,3,3.0,160361,2959,45,3004
2026-05-07,youtube,샤브올데이,canonical,1.0,2,2.0,4402,11,1,12
2026-05-10,youtube,샤브올데이,canonical,1.0,1,1.0,1700,35,0,35
2026-05-11,youtube,샤브올데이,canonical,1.0,1,1.0,1989,4,0,4
2026-05-12,youtube,샤브올데이,canonical,1.0,3,3.0,50228,713,17,730
2026-05-13,youtube,샤브올데이,canonical,1.0,1,1.0,1947,9,0,9
2026-05-14,youtube,샤브올데이,canonical,1.0,4,4.0,16449,50,4,54
2026-05-16,youtube,샤브올데이,canonical,1.0,1,1.0,42415,444,29,473
2026-05-18,youtube,샤브올데이,canonical,1.0,1,1.0,5560,16,4,20
2026-05-21,youtube,샤브올데이,canonical,1.0,1,1.0,68009,883,181,1064
2026-05-22,youtube,샤브올데이,canonical,1.0,3,3.0,24727,98,5,103
2026-05-25,naver_blog,샤브올데이,canonical,1.0,33,33.0,0,0,0,0
2026-05-26,naver_blog,샤브올데이,canonical,1.0,67,67.0,0,0,0,0
