week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item
2026-02-23,21,21.0,949485,1347,13330,45213.57142857143,634.7619047619048
2026-03-02,37,37.0,261046,123,2796,7055.2972972972975,75.56756756756756
2026-03-09,20,20.0,351234,207,6602,17561.7,330.1
2026-03-16,27,27.0,300336,230,2901,11123.555555555555,107.44444444444444
2026-03-23,42,42.0,914162,480,6752,21765.761904761905,160.76190476190476
2026-03-30,18,18.0,123765,71,1874,6875.833333333333,104.11111111111111
2026-04-06,19,19.0,147403,107,1514,7758.0526315789475,79.6842105263158
2026-04-13,13,13.0,165879,238,1542,12759.923076923076,118.61538461538461
2026-04-20,13,13.0,2060166,2295,37852,158474.3076923077,2911.6923076923076
2026-04-27,13,13.0,1719621,651,13030,132278.53846153847,1002.3076923076923
2026-05-04,9,9.0,187096,54,3187,20788.444444444445,354.1111111111111
2026-05-11,10,10.0,113028,50,1270,11302.8,127.0
2026-05-18,5,5.0,98296,190,1187,19659.2,237.4
2026-05-25,100,100.0,0,0,0,0.0,0.0
