canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,originallink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload
우베,preset,우베맛,국민 간식 등극…CU '연세우유 크림빵' 1억개 판매 신화,https://www.wolyo.co.kr/news/articleView.html?idxno=311588,2026-04-30 20:50:00+00:00,최근에는 디저트 시장에서 주목받는 <b>우베 맛</b>도 추가해 트렌드를 반영했다. 이러한 인기에 힘입어 연세우유 크림빵은 CU 디저트 매출의 핵심 축으로 성장했다. CU의 최근 3개년간 디저트 전년 대비 매출신장률은 2024년... ,https://www.wolyo.co.kr/news/articleView.html?idxno=311588,naver_news,우베맛,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,최근에는 디저트 시장에서 주목받는 <b>우베 맛</b>도 추가해 트렌드를 반영했다. 이러한 인기에 힘입어 연세우유 크림빵은 CU 디저트 매출의 핵심 축으로 성장했다. CU의 최근 3개년간 디저트 전년 대비 매출신장률은 2024년... ,"{""title"": ""국민 간식 등극…CU '연세우유 크림빵' 1억개 판매 신화"", ""originallink"": ""https://www.wolyo.co.kr/news/articleView.html?idxno=311588"", ""link"": ""https://www.wolyo.co.kr/news/articleView.html?idxno=311588"", ""description"": ""최근에는 디저트 시장에서 주목받는 <b>우베 맛</b>도 추가해 트렌드를 반영했다. 이러한 인기에 힘입어 연세우유 크림빵은 CU 디저트 매출의 핵심 축으로 성장했다. CU의 최근 3개년간 디저트 전년 대비 매출신장률은 2024년... "", ""pubDate"": ""Fri, 01 May 2026 05:50:00 +0900""}"
우베,preset,ube,"[비즈 트래블] &quot;정글 위로 흐르는 단짠의 조화…필리핀, '경험'을 요리하...",http://www.bizwnews.com/news/articleView.html?idxno=135271,2026-04-30 22:14:00+00:00,"최근 SNS를 뜨겁게 달구는 시각적 주인공은 단연 보랏빛 색감이 강렬한 우베(<b>Ube</b>)다. 자색 마의 일종인 우베는 특유의 은은한 달콤함과 부드러운 질감으로 빙수(할로할로), 케이크, 잼 등 다양한 디저트로 변신해 여행자의... ",http://www.bizwnews.com/news/articleView.html?idxno=135271,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,"최근 SNS를 뜨겁게 달구는 시각적 주인공은 단연 보랏빛 색감이 강렬한 우베(<b>Ube</b>)다. 자색 마의 일종인 우베는 특유의 은은한 달콤함과 부드러운 질감으로 빙수(할로할로), 케이크, 잼 등 다양한 디저트로 변신해 여행자의... ","{""title"": ""[비즈 트래블] &quot;정글 위로 흐르는 단짠의 조화…필리핀, '경험'을 요리하..."", ""originallink"": ""http://www.bizwnews.com/news/articleView.html?idxno=135271"", ""link"": ""http://www.bizwnews.com/news/articleView.html?idxno=135271"", ""description"": ""최근 SNS를 뜨겁게 달구는 시각적 주인공은 단연 보랏빛 색감이 강렬한 우베(<b>Ube</b>)다. 자색 마의 일종인 우베는 특유의 은은한 달콤함과 부드러운 질감으로 빙수(할로할로), 케이크, 잼 등 다양한 디저트로 변신해 여행자의... "", ""pubDate"": ""Fri, 01 May 2026 07:14:00 +0900""}"
우베,preset,ube,보랏빛 '우베' 열풍⋯음료·디저트 존재감 커진다,https://n.news.naver.com/mnews/article/031/0001026032?sid=101,2026-04-30 22:55:00+00:00,최근 소셜미디어(SNS)를 중심으로 선명한 보랏빛과 이색적인 풍미를 앞세운 ‘우베(<b>ube</b>)’가 글로벌 디저트 트렌드로 부상하고 있다. 인기가 국내로 확산되면서 카페·디저트 업계도 관련 제품을 잇달아 내놓으며 대응하고... ,http://www.inews24.com/view/1964681,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,최근 소셜미디어(SNS)를 중심으로 선명한 보랏빛과 이색적인 풍미를 앞세운 ‘우베(<b>ube</b>)’가 글로벌 디저트 트렌드로 부상하고 있다. 인기가 국내로 확산되면서 카페·디저트 업계도 관련 제품을 잇달아 내놓으며 대응하고... ,"{""title"": ""보랏빛 '우베' 열풍⋯음료·디저트 존재감 커진다"", ""originallink"": ""http://www.inews24.com/view/1964681"", ""link"": ""https://n.news.naver.com/mnews/article/031/0001026032?sid=101"", ""description"": ""최근 소셜미디어(SNS)를 중심으로 선명한 보랏빛과 이색적인 풍미를 앞세운 ‘우베(<b>ube</b>)’가 글로벌 디저트 트렌드로 부상하고 있다. 인기가 국내로 확산되면서 카페·디저트 업계도 관련 제품을 잇달아 내놓으며 대응하고... "", ""pubDate"": ""Fri, 01 May 2026 07:55:00 +0900""}"
우베,preset,ube,"BTS만 보랏빛 열풍이 아니다…식품업계, 말차 대항마 '우베' 내세워",https://n.news.naver.com/mnews/article/003/0013921222?sid=101,2026-05-01 01:00:00+00:00,지난해부터 해외 MZ 세대를 중심으로 '우베(<b>Ube</b>)'가 말차를 잇는 디저트 트렌드로 각광받는 가운데 국내 카페... 영어명인 '<b>Ube</b>' 해시태그를 단 게시물은 75만8000여개를 넘어서며 글로벌 인기를 입증하고 있다. 키워드 검색... ,https://www.newsis.com/view/NISX20260430_0003613874,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,지난해부터 해외 MZ 세대를 중심으로 '우베(<b>Ube</b>)'가 말차를 잇는 디저트 트렌드로 각광받는 가운데 국내 카페... 영어명인 '<b>Ube</b>' 해시태그를 단 게시물은 75만8000여개를 넘어서며 글로벌 인기를 입증하고 있다. 키워드 검색... ,"{""title"": ""BTS만 보랏빛 열풍이 아니다…식품업계, 말차 대항마 '우베' 내세워"", ""originallink"": ""https://www.newsis.com/view/NISX20260430_0003613874"", ""link"": ""https://n.news.naver.com/mnews/article/003/0013921222?sid=101"", ""description"": ""지난해부터 해외 MZ 세대를 중심으로 '우베(<b>Ube</b>)'가 말차를 잇는 디저트 트렌드로 각광받는 가운데 국내 카페... 영어명인 '<b>Ube</b>' 해시태그를 단 게시물은 75만8000여개를 넘어서며 글로벌 인기를 입증하고 있다. 키워드 검색... "", ""pubDate"": ""Fri, 01 May 2026 10:00:00 +0900""}"
우베,preset,ube,"&quot;포스트 두쫀쿠는 보랏빛&quot;…유통가, '우베'에 꽂힌 이유는",https://www.etoday.co.kr/news/view/2580077,2026-05-02 22:00:00+00:00,"시장에 '우베(<b>Ube</b>)'를 필두로 한 보랏빛 열풍이 상륙했다. 3일 유통업계에 따르면 CU와 스타벅스, 파리바게뜨, 노티드 등 주요 유통 기업들은 이번 달 말부터 다음 달 초를 기점으로 일제히 우베 관련 신제품을 쏟아내며... ",https://www.etoday.co.kr/news/view/2580077,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,"시장에 '우베(<b>Ube</b>)'를 필두로 한 보랏빛 열풍이 상륙했다. 3일 유통업계에 따르면 CU와 스타벅스, 파리바게뜨, 노티드 등 주요 유통 기업들은 이번 달 말부터 다음 달 초를 기점으로 일제히 우베 관련 신제품을 쏟아내며... ","{""title"": ""&quot;포스트 두쫀쿠는 보랏빛&quot;…유통가, '우베'에 꽂힌 이유는"", ""originallink"": ""https://www.etoday.co.kr/news/view/2580077"", ""link"": ""https://www.etoday.co.kr/news/view/2580077"", ""description"": ""시장에 '우베(<b>Ube</b>)'를 필두로 한 보랏빛 열풍이 상륙했다. 3일 유통업계에 따르면 CU와 스타벅스, 파리바게뜨, 노티드 등 주요 유통 기업들은 이번 달 말부터 다음 달 초를 기점으로 일제히 우베 관련 신제품을 쏟아내며... "", ""pubDate"": ""Sun, 03 May 2026 07:00:00 +0900""}"
우베,preset,ube,"`보랏빛 우베` 뭐길래…여기저기 다 나오네[이 집! 지금, 이 맛]",https://n.news.naver.com/mnews/article/018/0006272194?sid=103,2026-05-02 23:12:00+00:00,"&lt;편집자주&gt; 말차와 두바이쫀득쿠키(두쫀쿠)로 이어지던 초록빛 유행이 한풀 꺾이고, 이번엔 보랏빛 ‘우베(<b>Ube</b>)’가 그 자리를 채우고 있다. 국내 대표 커피 전문점을 비롯해 제빵 및 편의점에서도 관련 제품을 쏟아내고... ",http://www.edaily.co.kr/news/newspath.asp?newsid=01144726645445312,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,"&lt;편집자주&gt; 말차와 두바이쫀득쿠키(두쫀쿠)로 이어지던 초록빛 유행이 한풀 꺾이고, 이번엔 보랏빛 ‘우베(<b>Ube</b>)’가 그 자리를 채우고 있다. 국내 대표 커피 전문점을 비롯해 제빵 및 편의점에서도 관련 제품을 쏟아내고... ","{""title"": ""`보랏빛 우베` 뭐길래…여기저기 다 나오네[이 집! 지금, 이 맛]"", ""originallink"": ""http://www.edaily.co.kr/news/newspath.asp?newsid=01144726645445312"", ""link"": ""https://n.news.naver.com/mnews/article/018/0006272194?sid=103"", ""description"": ""&lt;편집자주&gt; 말차와 두바이쫀득쿠키(두쫀쿠)로 이어지던 초록빛 유행이 한풀 꺾이고, 이번엔 보랏빛 ‘우베(<b>Ube</b>)’가 그 자리를 채우고 있다. 국내 대표 커피 전문점을 비롯해 제빵 및 편의점에서도 관련 제품을 쏟아내고... "", ""pubDate"": ""Sun, 03 May 2026 08:12:00 +0900""}"
우베,preset,ube,"요즘 인기 보랏빛 음료 우리도…GS25, 상반기 PB제품 '우베맛' 음료 낸다",https://n.news.naver.com/mnews/article/421/0008923816?sid=101,2026-05-02 23:26:00+00:00,GS리테일(007070)이 운영하는 편의점 GS25가 올해 상반기 '우베(<b>Ube</b>)맛' 음료를 선보인다. 고물가 속 편의점이... 구글 트렌드에 따르면 '우베(<b>Ube</b>)' 검색 지수는 40 수준을 유지하다가 지난 2월 말부터 급격히 치솟아 지난달... ,https://www.news1.kr/industry/distribution/6154439,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,GS리테일(007070)이 운영하는 편의점 GS25가 올해 상반기 '우베(<b>Ube</b>)맛' 음료를 선보인다. 고물가 속 편의점이... 구글 트렌드에 따르면 '우베(<b>Ube</b>)' 검색 지수는 40 수준을 유지하다가 지난 2월 말부터 급격히 치솟아 지난달... ,"{""title"": ""요즘 인기 보랏빛 음료 우리도…GS25, 상반기 PB제품 '우베맛' 음료 낸다"", ""originallink"": ""https://www.news1.kr/industry/distribution/6154439"", ""link"": ""https://n.news.naver.com/mnews/article/421/0008923816?sid=101"", ""description"": ""GS리테일(007070)이 운영하는 편의점 GS25가 올해 상반기 '우베(<b>Ube</b>)맛' 음료를 선보인다. 고물가 속 편의점이... 구글 트렌드에 따르면 '우베(<b>Ube</b>)' 검색 지수는 40 수준을 유지하다가 지난 2월 말부터 급격히 치솟아 지난달... "", ""pubDate"": ""Sun, 03 May 2026 08:26:00 +0900""}"
우베,preset,ube,"[이슈in] &quot;보라색이면 다 우베야?&quot;… 빙그레 메로나 먼저였다, 스타벅스...",https://www.newscj.com/news/articleView.html?idxno=3397908,2026-05-03 07:14:00+00:00,"스타벅스, 투썸플레이스, 파리바게뜨, CU 편의점까지 '우베(<b>Ube</b>)'를 앞세운 신제품이 4월 한 달 사이 20종을... 인스타그램 '#<b>ube</b>' 해시태그 게시물은 75만 건을 넘어섰다. 블룸버그통신에 따르면 지난해 우베를 활용한... ",https://www.newscj.com/news/articleView.html?idxno=3397908,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,"스타벅스, 투썸플레이스, 파리바게뜨, CU 편의점까지 '우베(<b>Ube</b>)'를 앞세운 신제품이 4월 한 달 사이 20종을... 인스타그램 '#<b>ube</b>' 해시태그 게시물은 75만 건을 넘어섰다. 블룸버그통신에 따르면 지난해 우베를 활용한... ","{""title"": ""[이슈in] &quot;보라색이면 다 우베야?&quot;… 빙그레 메로나 먼저였다, 스타벅스..."", ""originallink"": ""https://www.newscj.com/news/articleView.html?idxno=3397908"", ""link"": ""https://www.newscj.com/news/articleView.html?idxno=3397908"", ""description"": ""스타벅스, 투썸플레이스, 파리바게뜨, CU 편의점까지 '우베(<b>Ube</b>)'를 앞세운 신제품이 4월 한 달 사이 20종을... 인스타그램 '#<b>ube</b>' 해시태그 게시물은 75만 건을 넘어섰다. 블룸버그통신에 따르면 지난해 우베를 활용한... "", ""pubDate"": ""Sun, 03 May 2026 16:14:00 +0900""}"
우베,preset,ube,"양방향 척추내시경(<b>UBE</b>), 고난도 척추 수술에서의 회복 접근 변화",http://www.medisobizanews.com/news/articleView.html?idxno=138132,2026-05-04 02:12:00+00:00,이러한 의학적 요구에 부응하며 고난도 척추 질환 치료의 새로운 지평을 열고 있는 '양방향척추내시경(<b>UBE</b>)'의 임상적 가치와 그 기술적 정교함에 주목해 보고자 한다. 과거의 척추 수술이 환부를 크게 절개하여 병변을... ,http://www.medisobizanews.com/news/articleView.html?idxno=138132,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,이러한 의학적 요구에 부응하며 고난도 척추 질환 치료의 새로운 지평을 열고 있는 '양방향척추내시경(<b>UBE</b>)'의 임상적 가치와 그 기술적 정교함에 주목해 보고자 한다. 과거의 척추 수술이 환부를 크게 절개하여 병변을... ,"{""title"": ""양방향 척추내시경(<b>UBE</b>), 고난도 척추 수술에서의 회복 접근 변화"", ""originallink"": ""http://www.medisobizanews.com/news/articleView.html?idxno=138132"", ""link"": ""http://www.medisobizanews.com/news/articleView.html?idxno=138132"", ""description"": ""이러한 의학적 요구에 부응하며 고난도 척추 질환 치료의 새로운 지평을 열고 있는 '양방향척추내시경(<b>UBE</b>)'의 임상적 가치와 그 기술적 정교함에 주목해 보고자 한다. 과거의 척추 수술이 환부를 크게 절개하여 병변을... "", ""pubDate"": ""Mon, 04 May 2026 11:12:00 +0900""}"
우베,preset,ube,"와플대학, ‘우베 시리즈’ 출시…보랏빛 디저트 라인업 확대",https://www.sentv.co.kr/article/view/sentv202605040066,2026-05-04 04:36:00+00:00,와플대학은 글로벌 디저트 트렌드로 주목받는 ‘우베(<b>ube</b>)’를 활용한 신메뉴 ‘Purple Crush <b>Ube</b> Series’를 출시하며 디저트 라인업 확대에 나선다고 4일 밝혔다. 이번 신메뉴는 강렬한 보랏빛 색감이 특징인 우베를 활용해... ,https://www.sentv.co.kr/article/view/sentv202605040066,naver_news,ube,alias,1.0,2026-05-26 11:22:41.636457+00:00,0,0,0,0,,와플대학은 글로벌 디저트 트렌드로 주목받는 ‘우베(<b>ube</b>)’를 활용한 신메뉴 ‘Purple Crush <b>Ube</b> Series’를 출시하며 디저트 라인업 확대에 나선다고 4일 밝혔다. 이번 신메뉴는 강렬한 보랏빛 색감이 특징인 우베를 활용해... ,"{""title"": ""와플대학, ‘우베 시리즈’ 출시…보랏빛 디저트 라인업 확대"", ""originallink"": ""https://www.sentv.co.kr/article/view/sentv202605040066"", ""link"": ""https://www.sentv.co.kr/article/view/sentv202605040066"", ""description"": ""와플대학은 글로벌 디저트 트렌드로 주목받는 ‘우베(<b>ube</b>)’를 활용한 신메뉴 ‘Purple Crush <b>Ube</b> Series’를 출시하며 디저트 라인업 확대에 나선다고 4일 밝혔다. 이번 신메뉴는 강렬한 보랏빛 색감이 특징인 우베를 활용해... "", ""pubDate"": ""Mon, 04 May 2026 13:36:00 +0900""}"
