date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-04-30,우베,3,3.0,0,0,0,0,1,3,0
2026-05-01,우베,1,1.0,0,0,0,0,1,1,0
2026-05-02,우베,3,3.0,0,0,0,0,1,3,0
2026-05-03,우베,1,1.0,0,0,0,0,1,1,0
2026-05-04,우베,2,2.0,0,0,0,0,1,2,0
2026-05-05,우베,4,4.0,0,0,0,0,1,4,0
2026-05-06,우베,8,8.0,0,0,0,0,1,8,0
2026-05-07,우베,6,6.0,0,0,0,0,1,6,0
2026-05-08,우베,5,5.0,0,0,0,0,1,5,0
2026-05-09,우베,5,5.0,0,0,0,0,1,5,0
2026-05-10,우베,15,15.0,0,0,0,0,1,15,0
2026-05-11,우베,32,32.0,0,0,0,0,1,32,0
2026-05-12,우베,34,34.0,0,0,0,0,1,34,0
2026-05-13,우베,2,2.0,0,0,0,0,1,2,0
2026-05-14,우베,8,8.0,0,0,0,0,1,8,0
2026-05-15,우베,14,14.0,0,0,0,0,1,14,0
2026-05-16,우베,5,5.0,0,0,0,0,1,5,0
2026-05-17,우베,4,4.0,0,0,0,0,1,4,0
2026-05-18,우베,27,27.0,0,0,0,0,1,27,0
2026-05-19,우베,27,27.0,0,0,0,0,1,27,0
2026-05-20,우베,13,13.0,0,0,0,0,1,13,0
2026-05-21,우베,5,5.0,0,0,0,0,1,5,0
2026-05-22,우베,5,5.0,0,0,0,0,1,5,0
2026-05-23,우베,1,1.0,0,0,0,0,1,1,0
2026-05-24,우베,3,3.0,0,0,0,0,1,3,0
2026-05-25,우베,5,5.0,0,0,0,0,1,5,0
2026-05-26,우베,24,24.0,0,0,0,0,1,24,0
