date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-05-08,youtube,우배,typo,0.8,1,0.8,22456,561,4,565
2026-05-10,youtube,우배,typo,0.8,1,0.8,79584,1168,73,1241
2026-05-11,youtube,우배,typo,0.8,2,1.6,190189,2396,443,2839
2026-05-14,youtube,우배,typo,0.8,1,0.8,1595,48,62,110
2026-05-15,youtube,우배,typo,0.8,1,0.8,1862,3,0,3
2026-05-17,youtube,우배,typo,0.8,1,0.8,294,2,0,2
2026-05-19,youtube,우배,typo,0.8,3,2.4000000000000004,83112,1352,31,1383
2026-05-24,youtube,우베맛,alias,1.0,4,4.0,32679,192,12,204
2026-05-25,youtube,우베 디저트,alias,1.0,2,2.0,66,1,1,2
2026-05-25,youtube,우베맛,alias,1.0,2,2.0,667,2,0,2
2026-05-26,youtube,ube,alias,1.0,7,7.0,1141,24,6,30
2026-05-26,youtube,우베,canonical,1.0,10,10.0,5013,78,5,83
2026-05-26,youtube,우베 디저트,alias,1.0,6,6.0,4333,18,0,18
2026-05-26,youtube,우베맛,alias,1.0,3,3.0,1390,12,0,12
