week,content_supply,weighted_supply,views,comments,engagements,view_per_item,engagement_per_item,avg_velocity,demand_pressure,content_supply_z,avg_velocity_z,demand_pressure_z
2026-03-02,2,1.6,199,6,15,99.5,7.5,1.2138777400432232,0.6069388700216116,-0.3683991376728742,-0.6240355881617567,-0.5715964716199862
2026-03-09,3,2.4000000000000004,2801,4,27,933.6666666666666,9.0,12.285730994152047,4.095243664717349,-0.36227485533304377,-0.6036820807682303,-0.4273836613931729
2026-03-16,9,7.2,33208,7,360,3689.777777777778,40.0,54.619000136208214,6.068777792912024,-0.32552916129406145,-0.5258603749797047,-0.3457942019118082
2026-03-23,8,6.4,12815,2,47,1601.875,5.875,26.442061781609198,3.3052577227011497,-0.3316534436338918,-0.5776583450182294,-0.46004310471678006
2026-03-30,9,7.2,4893,13,48,543.6666666666666,5.333333333333333,9.79737760063811,1.0885975111820123,-0.32552916129406145,-0.6082564476813572,-0.5516838348809628
2026-04-06,9,7.2,363827,152,4635,40425.22222222222,515.0,823.5156009070295,91.50173343411439,-0.32552916129406145,0.8876105489452101,3.18615823462266
2026-04-13,6,4.800000000000001,26831,9,418,4471.833333333333,69.66666666666667,111.1802338052338,18.530038967538967,-0.3439020083135526,-0.4218832483643149,0.16937680484649884
2026-04-20,5,4.0,8112,3,61,1622.4,12.2,46.38952380952381,9.277904761904761,-0.35002629065338303,-0.5409887101748865,-0.21312310640523988
2026-04-27,14,5.7,83420,38,481,5958.571428571428,34.357142857142854,235.74982861743732,16.839273472674094,-0.2949077495949095,-0.1928856170890025,0.09947751054751547
2026-05-04,7,2.6,8414,6,82,1202.0,11.714285714285714,62.90763338828354,8.986804769754793,-0.33777772597372224,-0.5106232909697864,-0.2251577049841212
2026-05-11,56,43.900000000000006,132910,101,1431,2373.3928571428573,25.553571428571427,201.15858575947863,3.5921176028478325,-0.03768789132203316,-0.25647507235923506,-0.44818380001376645
2026-05-18,80,66.5,600795,310,12865,7509.9375,160.8125,1753.6427083333333,21.920533854166667,0.10929488483389618,2.597473254260161,0.3095459771056763
2026-05-25,600,416.5,653926,312,21964,1089.8766666666668,36.60666666666667,1089.8766666666668,1.8164611111111113,3.2939217015456985,1.377264972361133,-0.5215926411965142
