canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,originallink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,bloggername,bloggerlink
우베,preset,우배,"해오름 40년, 이제 새로운 최적의 조합으로 영어를 가르칩니다.... ",https://blog.naver.com/haeoleum_1985/224201946911,2026-03-03 00:00:00+00:00,"since 1985, 해오름어학원 영어 부장 <b>우배</b>쌤입니다. 올해로 만 40년, 해오름학원은 꾸준하게 미성동 이 자리를 지켜왔습니다. 학생들의 다양한 꿈을 지원해주며 지금 이자리를 끊임없이 지켜왔는데요. 그리고... ",,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,해오름어학원,"since 1985, 해오름어학원 영어 부장 <b>우배</b>쌤입니다. 올해로 만 40년, 해오름학원은 꾸준하게 미성동 이 자리를 지켜왔습니다. 학생들의 다양한 꿈을 지원해주며 지금 이자리를 끊임없이 지켜왔는데요. 그리고... ","{""title"": ""해오름 40년, 이제 새로운 최적의 조합으로 영어를 가르칩니다.... "", ""link"": ""https://blog.naver.com/haeoleum_1985/224201946911"", ""description"": ""since 1985, 해오름어학원 영어 부장 <b>우배</b>쌤입니다. 올해로 만 40년, 해오름학원은 꾸준하게 미성동 이 자리를 지켜왔습니다. 학생들의 다양한 꿈을 지원해주며 지금 이자리를 끊임없이 지켜왔는데요. 그리고... "", ""bloggername"": ""해오름어학원"", ""bloggerlink"": ""blog.naver.com/haeoleum_1985"", ""postdate"": ""20260303""}",해오름어학원,blog.naver.com/haeoleum_1985
우베,preset,우배,[대구 달서구 SNS 기자단] 도심 속 역사 산책! 월곡역사공원과... ,https://blog.naver.com/dalseoblog/224202252851,2026-03-03 00:00:00+00:00,"민족정기탑, 한국유림독립운동파리장서비, 월곡<b>우배</b>선창의유적비 등 수많은 비석도 세워져 있죠.... 월곡 <b>우배</b>선 선생의 공적을 기리기 위해 세워졌습니다. 이곳이 더욱 특별한 이유는 국가지정보물을... ",,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,대구 달서구청 블로그,"민족정기탑, 한국유림독립운동파리장서비, 월곡<b>우배</b>선창의유적비 등 수많은 비석도 세워져 있죠.... 월곡 <b>우배</b>선 선생의 공적을 기리기 위해 세워졌습니다. 이곳이 더욱 특별한 이유는 국가지정보물을... ","{""title"": ""[대구 달서구 SNS 기자단] 도심 속 역사 산책! 월곡역사공원과... "", ""link"": ""https://blog.naver.com/dalseoblog/224202252851"", ""description"": ""민족정기탑, 한국유림독립운동파리장서비, 월곡<b>우배</b>선창의유적비 등 수많은 비석도 세워져 있죠.... 월곡 <b>우배</b>선 선생의 공적을 기리기 위해 세워졌습니다. 이곳이 더욱 특별한 이유는 국가지정보물을... "", ""bloggername"": ""대구 달서구청 블로그"", ""bloggerlink"": ""blog.naver.com/dalseoblog"", ""postdate"": ""20260303""}",대구 달서구청 블로그,blog.naver.com/dalseoblog
우베,preset,우배,[경북 탄성코트] 김천 혁신도시 KCC스위첸 인테리어 베란다... ,https://blog.naver.com/cleandaham/224204031116,2026-03-04 00:00:00+00:00,"정도~ㅎ 많이들 연락주세요~~ [시공 전 사진] -안방베란다(실외기실)- 전반적으로는 큰 문제는 없어보이지만 꽤나 큰 크랙들이 군데군데 보였고, <b>우배</b>수관 주변으로는 역시나 기존 페인트 벗겨짐 현상이... ",,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,탄성다함,"정도~ㅎ 많이들 연락주세요~~ [시공 전 사진] -안방베란다(실외기실)- 전반적으로는 큰 문제는 없어보이지만 꽤나 큰 크랙들이 군데군데 보였고, <b>우배</b>수관 주변으로는 역시나 기존 페인트 벗겨짐 현상이... ","{""title"": ""[경북 탄성코트] 김천 혁신도시 KCC스위첸 인테리어 베란다... "", ""link"": ""https://blog.naver.com/cleandaham/224204031116"", ""description"": ""정도~ㅎ 많이들 연락주세요~~ [시공 전 사진] -안방베란다(실외기실)- 전반적으로는 큰 문제는 없어보이지만 꽤나 큰 크랙들이 군데군데 보였고, <b>우배</b>수관 주변으로는 역시나 기존 페인트 벗겨짐 현상이... "", ""bloggername"": ""탄성다함"", ""bloggerlink"": ""blog.naver.com/cleandaham"", ""postdate"": ""20260304""}",탄성다함,blog.naver.com/cleandaham
우베,preset,우배,정훈 월곡답가 해석 분석 전문 시험대비 정리,https://blog.naver.com/yessujin_/224206402444,2026-03-06 00:00:00+00:00,<b>우배</b>선 역시 이런 인물 가운데 하나였습니다. 그는 벼슬을 통해 출세하기보다 나라가 위기에 처했을 때... 정훈은 이런 <b>우배</b>선을 단순한 친구가 아니라 유교적 이상을 실천한 인물로 바라보았습니다. 그래서... ,,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,소마별,<b>우배</b>선 역시 이런 인물 가운데 하나였습니다. 그는 벼슬을 통해 출세하기보다 나라가 위기에 처했을 때... 정훈은 이런 <b>우배</b>선을 단순한 친구가 아니라 유교적 이상을 실천한 인물로 바라보았습니다. 그래서... ,"{""title"": ""정훈 월곡답가 해석 분석 전문 시험대비 정리"", ""link"": ""https://blog.naver.com/yessujin_/224206402444"", ""description"": ""<b>우배</b>선 역시 이런 인물 가운데 하나였습니다. 그는 벼슬을 통해 출세하기보다 나라가 위기에 처했을 때... 정훈은 이런 <b>우배</b>선을 단순한 친구가 아니라 유교적 이상을 실천한 인물로 바라보았습니다. 그래서... "", ""bloggername"": ""소마별"", ""bloggerlink"": ""blog.naver.com/yessujin_"", ""postdate"": ""20260306""}",소마별,blog.naver.com/yessujin_
우베,preset,우배,&quot;배교자 이승훈이 다산 정약용에게 믿음에 대해 묻다... ,https://blog.naver.com/gulungi/224209761375,2026-03-09 00:00:00+00:00,p214 정약용은 18년 동안 <b>우배</b> 생활을 하며 어렵고 힘든 시기를 보내긴 했지만 오래 살아 남았다. 많은 책을 썼고 만년에는 어느 정도 명예도 회복했다. 그는 74세에 이 세상을 떠날 때까지 국문장에서 보였던... ,,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,정태식의 미래희망편지,p214 정약용은 18년 동안 <b>우배</b> 생활을 하며 어렵고 힘든 시기를 보내긴 했지만 오래 살아 남았다. 많은 책을 썼고 만년에는 어느 정도 명예도 회복했다. 그는 74세에 이 세상을 떠날 때까지 국문장에서 보였던... ,"{""title"": ""&quot;배교자 이승훈이 다산 정약용에게 믿음에 대해 묻다... "", ""link"": ""https://blog.naver.com/gulungi/224209761375"", ""description"": ""p214 정약용은 18년 동안 <b>우배</b> 생활을 하며 어렵고 힘든 시기를 보내긴 했지만 오래 살아 남았다. 많은 책을 썼고 만년에는 어느 정도 명예도 회복했다. 그는 74세에 이 세상을 떠날 때까지 국문장에서 보였던... "", ""bloggername"": ""정태식의 미래희망편지"", ""bloggerlink"": ""blog.naver.com/gulungi"", ""postdate"": ""20260309""}",정태식의 미래희망편지,blog.naver.com/gulungi
우베,preset,우배,창업의 꿈을 실현하다! 호두과자 카페 앙호두 탐방기,https://blog.naver.com/sweetdreamrs/224213230816,2026-03-12 00:00:00+00:00,"예를 들어, 각 상점의 필요에 맞춰 개발하는 데, 필리핀에서 유명한 <b>우배</b> 앙금을 활용하기도 해요. 창업의 날개를 달다!  마무리하며, 앙호두처럼 색다른 디저트 카페의 창업은 정말 좋은 선택이 될 수... ",,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,박다영TV / 미스터홈즈강남지사 010-2820-7007,"예를 들어, 각 상점의 필요에 맞춰 개발하는 데, 필리핀에서 유명한 <b>우배</b> 앙금을 활용하기도 해요. 창업의 날개를 달다!  마무리하며, 앙호두처럼 색다른 디저트 카페의 창업은 정말 좋은 선택이 될 수... ","{""title"": ""창업의 꿈을 실현하다! 호두과자 카페 앙호두 탐방기"", ""link"": ""https://blog.naver.com/sweetdreamrs/224213230816"", ""description"": ""예를 들어, 각 상점의 필요에 맞춰 개발하는 데, 필리핀에서 유명한 <b>우배</b> 앙금을 활용하기도 해요. 창업의 날개를 달다!  마무리하며, 앙호두처럼 색다른 디저트 카페의 창업은 정말 좋은 선택이 될 수... "", ""bloggername"": ""박다영TV / 미스터홈즈강남지사 010-2820-7007"", ""bloggerlink"": ""blog.naver.com/sweetdreamrs"", ""postdate"": ""20260312""}",박다영TV / 미스터홈즈강남지사 010-2820-7007,blog.naver.com/sweetdreamrs
우베,preset,우배,[베트남 호이안] 멧 호이안 MET Hoi An 10 | 올드타운... ,https://blog.naver.com/shinwoonsun/224213793017,2026-03-12 00:00:00+00:00,호이안에서 평범한 베트남 음식이 아닌 해산물 음식이 당길 때 꾸아방은 어떠세요? 호이안을 구경할 때 여유와 시원한 시간이 필요할 때 <b>우배</b>베를 추천드려요.,,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,직장인의 퇴근 후 특별활동,호이안에서 평범한 베트남 음식이 아닌 해산물 음식이 당길 때 꾸아방은 어떠세요? 호이안을 구경할 때 여유와 시원한 시간이 필요할 때 <b>우배</b>베를 추천드려요.,"{""title"": ""[베트남 호이안] 멧 호이안 MET Hoi An 10 | 올드타운... "", ""link"": ""https://blog.naver.com/shinwoonsun/224213793017"", ""description"": ""호이안에서 평범한 베트남 음식이 아닌 해산물 음식이 당길 때 꾸아방은 어떠세요? 호이안을 구경할 때 여유와 시원한 시간이 필요할 때 <b>우배</b>베를 추천드려요."", ""bloggername"": ""직장인의 퇴근 후 특별활동"", ""bloggerlink"": ""blog.naver.com/shinwoonsun"", ""postdate"": ""20260312""}",직장인의 퇴근 후 특별활동,blog.naver.com/shinwoonsun
우베,preset,우배,월곡답가(정훈) (27-수특),https://blog.naver.com/logospia/224215104788,2026-03-13 00:00:00+00:00,￭내 벗 : 화자가 ‘벗’으로 삼은 사람은 임진왜란 때 의병장이었던 월곡 <b>우배</b>선이라고 함. 즉 ‘옛... [핵심 정리(예시)] ￭월곡답가: 월곡(임진왜란 때 의병장이었던 <b>우배</b>선)에게 대답하는 노래. (전체 10수) 1)... ,,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,자유로국어,￭내 벗 : 화자가 ‘벗’으로 삼은 사람은 임진왜란 때 의병장이었던 월곡 <b>우배</b>선이라고 함. 즉 ‘옛... [핵심 정리(예시)] ￭월곡답가: 월곡(임진왜란 때 의병장이었던 <b>우배</b>선)에게 대답하는 노래. (전체 10수) 1)... ,"{""title"": ""월곡답가(정훈) (27-수특)"", ""link"": ""https://blog.naver.com/logospia/224215104788"", ""description"": ""￭내 벗 : 화자가 ‘벗’으로 삼은 사람은 임진왜란 때 의병장이었던 월곡 <b>우배</b>선이라고 함. 즉 ‘옛... [핵심 정리(예시)] ￭월곡답가: 월곡(임진왜란 때 의병장이었던 <b>우배</b>선)에게 대답하는 노래. (전체 10수) 1)... "", ""bloggername"": ""자유로국어"", ""bloggerlink"": ""blog.naver.com/logospia"", ""postdate"": ""20260313""}",자유로국어,blog.naver.com/logospia
우베,preset,우배,천만 돌파! &quot;왕과 사는 남자&quot; 따라 떠나는 영월 여행,https://blog.naver.com/mudorun/224215114722,2026-03-13 00:00:00+00:00,"영화 속 주요 인물인 단종이 <b>우배</b>되어 생을 마감한 곳이 바로 강원도 영월인데, 영화를 보고 나서... 청령포 '청령포'는 단종의 <b>우배</b>지이자 단종 성진순례 여행의 중심입니다. 삼면이 강으로 둘러싸이고 뒤로는... ",,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,JAJU,"영화 속 주요 인물인 단종이 <b>우배</b>되어 생을 마감한 곳이 바로 강원도 영월인데, 영화를 보고 나서... 청령포 '청령포'는 단종의 <b>우배</b>지이자 단종 성진순례 여행의 중심입니다. 삼면이 강으로 둘러싸이고 뒤로는... ","{""title"": ""천만 돌파! &quot;왕과 사는 남자&quot; 따라 떠나는 영월 여행"", ""link"": ""https://blog.naver.com/mudorun/224215114722"", ""description"": ""영화 속 주요 인물인 단종이 <b>우배</b>되어 생을 마감한 곳이 바로 강원도 영월인데, 영화를 보고 나서... 청령포 '청령포'는 단종의 <b>우배</b>지이자 단종 성진순례 여행의 중심입니다. 삼면이 강으로 둘러싸이고 뒤로는... "", ""bloggername"": ""JAJU"", ""bloggerlink"": ""blog.naver.com/mudorun"", ""postdate"": ""20260313""}",JAJU,blog.naver.com/mudorun
우베,preset,우배,도착인증! 경기 의정부시 호원동 플로렌스 의정부점 축하화환... ,https://blog.naver.com/dbdudgml2547/224215894448,2026-03-14 00:00:00+00:00,"‘축 개업 플로렌스 의정부점’ 상단 문구, 좌배는 보낸이 상호, <b>우배</b>는 “앞날의 번영을 기원합니다”... - 리본 문구: 상단은 ‘축 개업/이전/창립’, 좌배 보낸이 정확 표기, <b>우배</b> 축사 문구는 간결하게. 오탈자... ",,naver_blog,우배,typo,0.8,2026-05-26 11:44:13.029217+00:00,0,0,0,0,⭐24시접수⭐55000원⭐근조화환⭐,"‘축 개업 플로렌스 의정부점’ 상단 문구, 좌배는 보낸이 상호, <b>우배</b>는 “앞날의 번영을 기원합니다”... - 리본 문구: 상단은 ‘축 개업/이전/창립’, 좌배 보낸이 정확 표기, <b>우배</b> 축사 문구는 간결하게. 오탈자... ","{""title"": ""도착인증! 경기 의정부시 호원동 플로렌스 의정부점 축하화환... "", ""link"": ""https://blog.naver.com/dbdudgml2547/224215894448"", ""description"": ""‘축 개업 플로렌스 의정부점’ 상단 문구, 좌배는 보낸이 상호, <b>우배</b>는 “앞날의 번영을 기원합니다”... - 리본 문구: 상단은 ‘축 개업/이전/창립’, 좌배 보낸이 정확 표기, <b>우배</b> 축사 문구는 간결하게. 오탈자... "", ""bloggername"": ""⭐24시접수⭐55000원⭐근조화환⭐"", ""bloggerlink"": ""blog.naver.com/dbdudgml2547"", ""postdate"": ""20260314""}",⭐24시접수⭐55000원⭐근조화환⭐,blog.naver.com/dbdudgml2547
