date,source,term,term_type,term_weight,mentions,weighted_mentions,views,likes,comments,engagements
2026-05-18,naver_news,콜라,canonical,1.0,27,27.0,0,0,0,0
2026-05-19,naver_news,콜라,canonical,1.0,100,100.0,0,0,0,0
2026-05-20,naver_news,콜라,canonical,1.0,33,33.0,0,0,0,0
2026-05-21,naver_news,콜라,canonical,1.0,18,18.0,0,0,0,0
2026-05-22,naver_news,콜라,canonical,1.0,21,21.0,0,0,0,0
2026-05-23,naver_news,콜라,canonical,1.0,11,11.0,0,0,0,0
2026-05-24,naver_news,콜라,canonical,1.0,34,34.0,0,0,0,0
2026-05-25,naver_news,콜라,canonical,1.0,20,20.0,0,0,0,0
2026-05-26,naver_blog,콜라,canonical,1.0,300,300.0,0,0,0,0
2026-05-26,naver_news,콜라,canonical,1.0,36,36.0,0,0,0,0
