canonical_keyword,keyword_set_mode,keyword,video_id,title,published_at,view_count,like_count,comment_count,url,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,description,originallink,bloggername,bloggerlink
두쫀쿠,preset,두쫀크,e8UNRxN8bHw,"​요즘핫하다는 두쫀크! 희동이도 먹어봤어용!😋""#희동이 #강아지쇼츠 #두바이초코모찌 #귀여운영상 #강아지먹방 #반려견일상 #Shorts #CutePuppy #ai이미지 #강아지간식",2026-03-05 11:27:44+00:00,197.0,8.0,6.0,https://www.youtube.com/watch?v=e8UNRxN8bHw,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,197,8,6,14,스마일희동쌤😄,,"{""kind"": ""youtube#video"", ""etag"": ""wmPjX42BmITS_AY0KOwI6q-UJaY"", ""id"": ""e8UNRxN8bHw"", ""snippet"": {""publishedAt"": ""2026-03-05T11:27:44Z"", ""channelId"": ""UCXN22BLa8h35MyouLA-SY7A"", ""title"": ""​요즘핫하다는 두쫀크! 희동이도 먹어봤어용!😋\""#희동이 #강아지쇼츠 #두바이초코모찌 #귀여운영상 #강아지먹방 #반려견일상 #Shorts #CutePuppy #ai이미지 #강아지간식"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/e8UNRxN8bHw/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/e8UNRxN8bHw/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/e8UNRxN8bHw/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/e8UNRxN8bHw/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/e8UNRxN8bHw/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""스마일희동쌤😄"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""​요즘핫하다는 두쫀크! 희동이도 먹어봤어용!😋\""#희동이 #강아지쇼츠 #두바이초코모찌 #귀여운영상 #강아지먹방 #반려견일상 #Shorts #CutePuppy #ai이미지 #강아지간식"", ""description"": """"}}, ""statistics"": {""viewCount"": ""197"", ""likeCount"": ""8"", ""favoriteCount"": ""0"", ""commentCount"": ""6""}}",,,,
두쫀쿠,preset,두쫀크,2kRB4OJG5Bg,#4m#브릿지교회 #교회일상#두쫀크#요리#kpop#우리들의 일상#기타독학#찬양,2026-03-08 23:42:58+00:00,2.0,1.0,0.0,https://www.youtube.com/watch?v=2kRB4OJG5Bg,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,2,1,0,1,기자회견,,"{""kind"": ""youtube#video"", ""etag"": ""0YrsDxtTrM4lDn2TOYrZnquk4ow"", ""id"": ""2kRB4OJG5Bg"", ""snippet"": {""publishedAt"": ""2026-03-08T23:42:58Z"", ""channelId"": ""UChrKQ31LEcRLhsNC3OJK5bw"", ""title"": ""#4m#브릿지교회 #교회일상#두쫀크#요리#kpop#우리들의 일상#기타독학#찬양"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/2kRB4OJG5Bg/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/2kRB4OJG5Bg/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/2kRB4OJG5Bg/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/2kRB4OJG5Bg/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/2kRB4OJG5Bg/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""기자회견"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""#4m#브릿지교회 #교회일상#두쫀크#요리#kpop#우리들의 일상#기타독학#찬양"", ""description"": """"}}, ""statistics"": {""viewCount"": ""2"", ""likeCount"": ""1"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
두쫀쿠,preset,두쫀크,DJSMRWXJeA0,두쫀크의 미역국 챌린지 #chzzk #버튜버,2026-03-11 13:18:25+00:00,2773.0,20.0,4.0,https://www.youtube.com/watch?v=DJSMRWXJeA0,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,2773,20,4,24,불법노점챰,"#버츄얼 #vtuber #버튜버 #chzzk #노가리 #스트리머#챌린지 #미역국챌린지

비비챰 채널 : https://chzzk.naver.com/5d2d579e1c5ddf327e10b024c0e7caaf

영상 / 음원 : 행복한피자빵

스페셜땡스 : 징버거","{""kind"": ""youtube#video"", ""etag"": ""jrpMZyoQNSd0SAmyxatYQ7abxw0"", ""id"": ""DJSMRWXJeA0"", ""snippet"": {""publishedAt"": ""2026-03-11T13:18:25Z"", ""channelId"": ""UCofCk9rOJrrDITpgW1BISHw"", ""title"": ""두쫀크의 미역국 챌린지 #chzzk #버튜버"", ""description"": ""#버츄얼 #vtuber #버튜버 #chzzk #노가리 #스트리머#챌린지 #미역국챌린지\n\n비비챰 채널 : https://chzzk.naver.com/5d2d579e1c5ddf327e10b024c0e7caaf\n\n영상 / 음원 : 행복한피자빵\n\n스페셜땡스 : 징버거"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/DJSMRWXJeA0/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/DJSMRWXJeA0/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/DJSMRWXJeA0/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/DJSMRWXJeA0/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/DJSMRWXJeA0/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""불법노점챰"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""두쫀크의 미역국 챌린지 #chzzk #버튜버"", ""description"": ""#버츄얼 #vtuber #버튜버 #chzzk #노가리 #스트리머#챌린지 #미역국챌린지\n\n비비챰 채널 : https://chzzk.naver.com/5d2d579e1c5ddf327e10b024c0e7caaf\n\n영상 / 음원 : 행복한피자빵\n\n스페셜땡스 : 징버거""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""2773"", ""likeCount"": ""20"", ""favoriteCount"": ""0"", ""commentCount"": ""4""}}",,,,
두쫀쿠,preset,두쫀크,_B8IVYKkMBw,두쫀크 인형 완성! good job!,2026-03-11 15:26:02+00:00,17.0,2.0,0.0,https://www.youtube.com/watch?v=_B8IVYKkMBw,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,17,2,0,2,라엘라엘TV,,"{""kind"": ""youtube#video"", ""etag"": ""-HpeuqsCWOl25YJErlE5IWvnibs"", ""id"": ""_B8IVYKkMBw"", ""snippet"": {""publishedAt"": ""2026-03-11T15:26:02Z"", ""channelId"": ""UCIp0W9a6fQAI-0kegLMnvnQ"", ""title"": ""두쫀크 인형 완성! good job!"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/_B8IVYKkMBw/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/_B8IVYKkMBw/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/_B8IVYKkMBw/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/_B8IVYKkMBw/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/_B8IVYKkMBw/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""라엘라엘TV"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""두쫀크 인형 완성! good job!"", ""description"": """"}}, ""statistics"": {""viewCount"": ""17"", ""likeCount"": ""2"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
두쫀쿠,preset,두쫀크,R1BhS3uE4nQ,엘라라+두쫀크=둠즈야미,2026-03-12 09:58:47+00:00,11.0,1.0,0.0,https://www.youtube.com/watch?v=R1BhS3uE4nQ,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,11,1,0,1,고석준,,"{""kind"": ""youtube#video"", ""etag"": ""9O2wd8GrOox6Xpzc57vhOgJnJwk"", ""id"": ""R1BhS3uE4nQ"", ""snippet"": {""publishedAt"": ""2026-03-12T09:58:47Z"", ""channelId"": ""UC873wia69Np0ITcu_dRrgpQ"", ""title"": ""엘라라+두쫀크=둠즈야미"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/R1BhS3uE4nQ/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/R1BhS3uE4nQ/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/R1BhS3uE4nQ/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/R1BhS3uE4nQ/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/R1BhS3uE4nQ/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""고석준"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""엘라라+두쫀크=둠즈야미"", ""description"": """"}}, ""statistics"": {""viewCount"": ""11"", ""likeCount"": ""1"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
두쫀쿠,preset,두쫀크,1ku_cqj2ti8,제주 두쫀크맛집 동문시장 찰리의공장 #두쫀크,2026-03-18 09:40:54+00:00,1587.0,5.0,0.0,https://www.youtube.com/watch?v=1ku_cqj2ti8,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,1587,5,0,5,K-BALLOON제주김해풍선,"""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.""","{""kind"": ""youtube#video"", ""etag"": ""CyJuzpzixeXsyDnYbTE_4WBDgJo"", ""id"": ""1ku_cqj2ti8"", ""snippet"": {""publishedAt"": ""2026-03-18T09:40:54Z"", ""channelId"": ""UCCAujAtOoZgq9EDUlCJ6Gxw"", ""title"": ""제주 두쫀크맛집 동문시장 찰리의공장 #두쫀크"", ""description"": ""\""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.\"""", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/1ku_cqj2ti8/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/1ku_cqj2ti8/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/1ku_cqj2ti8/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/1ku_cqj2ti8/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/1ku_cqj2ti8/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""K-BALLOON제주김해풍선"", ""categoryId"": ""26"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""제주 두쫀크맛집 동문시장 찰리의공장 #두쫀크"", ""description"": ""\""이 포스팅은 쿠팡 파트너스 활동의 일환으로, 이에 따른 일정액의 수수료를 제공받습니다.\""""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""1587"", ""likeCount"": ""5"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
두쫀쿠,preset,두쫀크,rim1oahL-PA,미역국은 찰랑찰랑 #미역국은찰랑찰랑 #두쫀크 #해피예서 #dance #랜덤플레이댄스 #kpop #trending #shorts #punny #fyp #music #cute,2026-03-19 01:58:40+00:00,23042.0,278.0,0.0,https://www.youtube.com/watch?v=rim1oahL-PA,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,23042,278,0,278,해피예서,,"{""kind"": ""youtube#video"", ""etag"": ""md3E8wpgRijFPs_TVOWDAX74-ik"", ""id"": ""rim1oahL-PA"", ""snippet"": {""publishedAt"": ""2026-03-19T01:58:40Z"", ""channelId"": ""UCWNd9fL8_CL8Pi-5Lsdr-XQ"", ""title"": ""미역국은 찰랑찰랑 #미역국은찰랑찰랑 #두쫀크 #해피예서 #dance #랜덤플레이댄스 #kpop #trending #shorts #punny #fyp #music #cute"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/rim1oahL-PA/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/rim1oahL-PA/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/rim1oahL-PA/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/rim1oahL-PA/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/rim1oahL-PA/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""해피예서"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""미역국은 찰랑찰랑 #미역국은찰랑찰랑 #두쫀크 #해피예서 #dance #랜덤플레이댄스 #kpop #trending #shorts #punny #fyp #music #cute"", ""description"": """"}}, ""statistics"": {""viewCount"": ""23042"", ""likeCount"": ""278"", ""favoriteCount"": ""0""}}",,,,
두쫀쿠,preset,두존쿠,89oAcTa9e3A,#아기#baby​#두존쿠룩 #두존쿠패션 두쫀쿠 룩의 5개월 류태이,2026-03-20 03:35:48+00:00,1534.0,20.0,1.0,https://www.youtube.com/watch?v=89oAcTa9e3A,youtube,두존쿠,typo,0.8,2026-05-26 11:39:31.823168+00:00,1534,20,1,21,재이와 태이의 일상기록,,"{""kind"": ""youtube#video"", ""etag"": ""GQaPCptl03KqbhXmxDgSH7U3nsY"", ""id"": ""89oAcTa9e3A"", ""snippet"": {""publishedAt"": ""2026-03-20T03:35:48Z"", ""channelId"": ""UCOqqeYfmEa5Wt8-8cmx1rPA"", ""title"": ""#아기#baby​#두존쿠룩 #두존쿠패션 두쫀쿠 룩의 5개월 류태이"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/89oAcTa9e3A/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/89oAcTa9e3A/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/89oAcTa9e3A/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/89oAcTa9e3A/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/89oAcTa9e3A/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""재이와 태이의 일상기록"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""#아기#baby​#두존쿠룩 #두존쿠패션 두쫀쿠 룩의 5개월 류태이"", ""description"": """"}}, ""statistics"": {""viewCount"": ""1534"", ""likeCount"": ""20"", ""favoriteCount"": ""0"", ""commentCount"": ""1""}}",,,,
두쫀쿠,preset,두존쿠,mwVEzMhY-LA,[#.16] 눈은 기분이 좋다. / 혼술 와인 족발 엽떡 두존쿠 낙곱새 구운치킨 야곱 감자탕 삼계탕 도넛 고메스퀘어 곱창 육회 성심당 북악스카이웨이 프룬쥬스 집밥,2026-03-20 08:23:29+00:00,13.0,2.0,0.0,https://www.youtube.com/watch?v=mwVEzMhY-LA,youtube,두존쿠,typo,0.8,2026-05-26 11:39:31.823168+00:00,13,2,0,2,지퍼팩쿠키 Ziperpackcookie,"안녕하세요 지퍼팩쿠키입니다.😀
이번엔 눈도 오고 스트레스도 많이 받은때였습니다ㅠ
다들 감기 조심하시구 건강챙기며 맛있는거 많이드세요~🍺

레츠기릿 🎇

00:43 혼술(통마늘구이&와인)
05:36 [가장맛있는족발 수서점]
10:40 남은엽떡
15:39 '북악스카이웨이'
19:29 첫 두쫀쿠
21:12 [사위식당 수서점]
23:26 [두리아치킨 모란점]
29:48 테일러프룬쥬스딥워터

31:39 야채곱창
33:44 [돈푸짐 감자탕]

37:40 [삼족]
39:45 던킨도너츠
41:05 [고메스퀘어 천호점]
43:39 [방이 진곱창]
44:29 [함평육회 방이본점]
46:39 집밥
47:10 성심당빵 2개~","{""kind"": ""youtube#video"", ""etag"": ""ADCjp9EoDu6OqDnyaDDcUDEyJN8"", ""id"": ""mwVEzMhY-LA"", ""snippet"": {""publishedAt"": ""2026-03-20T08:23:29Z"", ""channelId"": ""UCL_9vzPw7I2QU70UqOgSE-w"", ""title"": ""[#.16] 눈은 기분이 좋다. / 혼술 와인 족발 엽떡 두존쿠 낙곱새 구운치킨 야곱 감자탕 삼계탕 도넛 고메스퀘어 곱창 육회 성심당 북악스카이웨이 프룬쥬스 집밥"", ""description"": ""안녕하세요 지퍼팩쿠키입니다.😀\n이번엔 눈도 오고 스트레스도 많이 받은때였습니다ㅠ\n다들 감기 조심하시구 건강챙기며 맛있는거 많이드세요~🍺\n\n레츠기릿 🎇\n\n00:43 혼술(통마늘구이&와인)\n05:36 [가장맛있는족발 수서점]\n10:40 남은엽떡\n15:39 '북악스카이웨이'\n19:29 첫 두쫀쿠\n21:12 [사위식당 수서점]\n23:26 [두리아치킨 모란점]\n29:48 테일러프룬쥬스딥워터\n\n31:39 야채곱창\n33:44 [돈푸짐 감자탕]\n\n37:40 [삼족]\n39:45 던킨도너츠\n41:05 [고메스퀘어 천호점]\n43:39 [방이 진곱창]\n44:29 [함평육회 방이본점]\n46:39 집밥\n47:10 성심당빵 2개~"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/mwVEzMhY-LA/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/mwVEzMhY-LA/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/mwVEzMhY-LA/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/mwVEzMhY-LA/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/mwVEzMhY-LA/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""지퍼팩쿠키 Ziperpackcookie"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""[#.16] 눈은 기분이 좋다. / 혼술 와인 족발 엽떡 두존쿠 낙곱새 구운치킨 야곱 감자탕 삼계탕 도넛 고메스퀘어 곱창 육회 성심당 북악스카이웨이 프룬쥬스 집밥"", ""description"": ""안녕하세요 지퍼팩쿠키입니다.😀\n이번엔 눈도 오고 스트레스도 많이 받은때였습니다ㅠ\n다들 감기 조심하시구 건강챙기며 맛있는거 많이드세요~🍺\n\n레츠기릿 🎇\n\n00:43 혼술(통마늘구이&와인)\n05:36 [가장맛있는족발 수서점]\n10:40 남은엽떡\n15:39 '북악스카이웨이'\n19:29 첫 두쫀쿠\n21:12 [사위식당 수서점]\n23:26 [두리아치킨 모란점]\n29:48 테일러프룬쥬스딥워터\n\n31:39 야채곱창\n33:44 [돈푸짐 감자탕]\n\n37:40 [삼족]\n39:45 던킨도너츠\n41:05 [고메스퀘어 천호점]\n43:39 [방이 진곱창]\n44:29 [함평육회 방이본점]\n46:39 집밥\n47:10 성심당빵 2개~""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""13"", ""likeCount"": ""2"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
두쫀쿠,preset,두쫀크,1AhzvrMtqlk,두쫀크타워,2026-03-20 09:10:43+00:00,350.0,5.0,2.0,https://www.youtube.com/watch?v=1AhzvrMtqlk,youtube,두쫀크,typo,0.8,2026-05-26 11:39:31.823168+00:00,350,5,2,7,나는겸둥이,,"{""kind"": ""youtube#video"", ""etag"": ""fbXok_KVEpHLywVj7U4nmAmqDr8"", ""id"": ""1AhzvrMtqlk"", ""snippet"": {""publishedAt"": ""2026-03-20T09:10:43Z"", ""channelId"": ""UCHARsOXV0dJ0WXWr-n7gdvw"", ""title"": ""두쫀크타워"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/1AhzvrMtqlk/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/1AhzvrMtqlk/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/1AhzvrMtqlk/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/1AhzvrMtqlk/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/1AhzvrMtqlk/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""나는겸둥이"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""두쫀크타워"", ""description"": """"}}, ""statistics"": {""viewCount"": ""350"", ""likeCount"": ""5"", ""favoriteCount"": ""0"", ""commentCount"": ""2""}}",,,,
