date,canonical_keyword,mentions,weighted_mentions,views,likes,comments,engagements,source_count,core_mentions,related_mentions
2026-03-05,두쫀쿠,1.0,0.8,197.0,8.0,6.0,14.0,1.0,1.0,0.0
2026-03-06,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-07,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,두쫀쿠,1.0,0.8,2.0,1.0,0.0,1.0,1.0,1.0,0.0
2026-03-09,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-10,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-11,두쫀쿠,2.0,1.6,2790.0,22.0,4.0,26.0,1.0,2.0,0.0
2026-03-12,두쫀쿠,1.0,0.8,11.0,1.0,0.0,1.0,1.0,1.0,0.0
2026-03-13,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-14,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-15,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-17,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18,두쫀쿠,1.0,0.8,1587.0,5.0,0.0,5.0,1.0,1.0,0.0
2026-03-19,두쫀쿠,1.0,0.8,23042.0,278.0,0.0,278.0,1.0,1.0,0.0
2026-03-20,두쫀쿠,4.0,3.2,4907.0,47.0,6.0,53.0,1.0,4.0,0.0
2026-03-21,두쫀쿠,1.0,0.8,56.0,1.0,0.0,1.0,1.0,1.0,0.0
2026-03-22,두쫀쿠,2.0,1.6,3616.0,22.0,1.0,23.0,1.0,2.0,0.0
2026-03-23,두쫀쿠,1.0,0.8,2136.0,13.0,2.0,15.0,1.0,1.0,0.0
2026-03-24,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-25,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-26,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-27,두쫀쿠,3.0,2.4000000000000004,10159.0,18.0,0.0,18.0,1.0,3.0,0.0
2026-03-28,두쫀쿠,2.0,1.6,413.0,8.0,0.0,8.0,1.0,2.0,0.0
2026-03-29,두쫀쿠,2.0,1.6,107.0,6.0,0.0,6.0,1.0,2.0,0.0
2026-03-30,두쫀쿠,2.0,1.6,1954.0,2.0,1.0,3.0,1.0,2.0,0.0
2026-03-31,두쫀쿠,1.0,0.8,1264.0,3.0,0.0,3.0,1.0,1.0,0.0
2026-04-01,두쫀쿠,2.0,1.6,597.0,9.0,7.0,16.0,1.0,2.0,0.0
2026-04-02,두쫀쿠,1.0,0.8,42.0,5.0,0.0,5.0,1.0,1.0,0.0
2026-04-03,두쫀쿠,2.0,1.6,637.0,11.0,5.0,16.0,1.0,2.0,0.0
2026-04-04,두쫀쿠,1.0,0.8,399.0,5.0,0.0,5.0,1.0,1.0,0.0
2026-04-05,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,두쫀쿠,2.0,1.6,34681.0,992.0,37.0,1029.0,1.0,2.0,0.0
2026-04-07,두쫀쿠,2.0,1.6,328595.0,3467.0,115.0,3582.0,1.0,2.0,0.0
2026-04-08,두쫀쿠,1.0,0.8,276.0,6.0,0.0,6.0,1.0,1.0,0.0
2026-04-09,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-10,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-11,두쫀쿠,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
