canonical_keyword,keyword_set_mode,keyword,video_id,title,published_at,view_count,like_count,comment_count,url,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,description,originallink,bloggername,bloggerlink
우베,preset,우배,,정자동 막국수 맛집 정자역 분당 동치미 막국수 메밀정식 수육... ,2026-04-29 00:00:00+00:00,,,,https://blog.naver.com/hanseulll_/224268527444,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,한슬이가한소리,이게 나에겐 마라탕이고 <b>우배</b>라떼다... 입가심으로 중간중간 먹기 좋은 감자전 리프레쉬 해주기에 더할 나위 없이 좋았다. 생마늘이 조금 세게 느껴지면 감자전으로 소강시켜주었다. 어디 가서 국수랑 수육을... ,"{""title"": ""정자동 막국수 맛집 정자역 분당 동치미 막국수 메밀정식 수육... "", ""link"": ""https://blog.naver.com/hanseulll_/224268527444"", ""description"": ""이게 나에겐 마라탕이고 <b>우배</b>라떼다... 입가심으로 중간중간 먹기 좋은 감자전 리프레쉬 해주기에 더할 나위 없이 좋았다. 생마늘이 조금 세게 느껴지면 감자전으로 소강시켜주었다. 어디 가서 국수랑 수육을... "", ""bloggername"": ""한슬이가한소리"", ""bloggerlink"": ""blog.naver.com/hanseulll_"", ""postdate"": ""20260429""}",이게 나에겐 마라탕이고 <b>우배</b>라떼다... 입가심으로 중간중간 먹기 좋은 감자전 리프레쉬 해주기에 더할 나위 없이 좋았다. 생마늘이 조금 세게 느껴지면 감자전으로 소강시켜주었다. 어디 가서 국수랑 수육을... ,,한슬이가한소리,blog.naver.com/hanseulll_
우베,preset,우배,,월곡답가 심층 고찰 우국충절의 미학과 자연 귀의의 본질적 해석,2026-04-30 00:00:00+00:00,,,,https://blog.naver.com/ksmo0913/224270561292,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,실시간 NEWS,정훈의 월곡답가는 이러한 시대적 배경 아래 벗인 월곡 <b>우배</b>선의 삶을 찬양하며 자신의 지향점을... 이는 임진왜란 당시 의병장으로 활약했던 <b>우배</b>선의 실질적인 행보와 맞닿아 있음. 전란 중에 세운 혁혁한... ,"{""title"": ""월곡답가 심층 고찰 우국충절의 미학과 자연 귀의의 본질적 해석"", ""link"": ""https://blog.naver.com/ksmo0913/224270561292"", ""description"": ""정훈의 월곡답가는 이러한 시대적 배경 아래 벗인 월곡 <b>우배</b>선의 삶을 찬양하며 자신의 지향점을... 이는 임진왜란 당시 의병장으로 활약했던 <b>우배</b>선의 실질적인 행보와 맞닿아 있음. 전란 중에 세운 혁혁한... "", ""bloggername"": ""실시간 NEWS"", ""bloggerlink"": ""blog.naver.com/ksmo0913"", ""postdate"": ""20260430""}",정훈의 월곡답가는 이러한 시대적 배경 아래 벗인 월곡 <b>우배</b>선의 삶을 찬양하며 자신의 지향점을... 이는 임진왜란 당시 의병장으로 활약했던 <b>우배</b>선의 실질적인 행보와 맞닿아 있음. 전란 중에 세운 혁혁한... ,,실시간 NEWS,blog.naver.com/ksmo0913
우베,preset,우배,,[우베유행탑승] 투썸 떠먹는 우베 아박 내돈내산 솔직후기,2026-04-30 00:00:00+00:00,,,,https://blog.naver.com/sss26116/224270365143,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,❀°•. ⓗⓐⓟⓟⓨ ⓢⓤ °❀,#내돈내산 또 사먹고 싶은 맛 투썸 떠먹는 우베 아박 기존 아박의 꾸덕함 달콤함에 <b>우배</b>의 달콤한 감성 저처럼 달달 디저트 러버시라면 추천드려요. 두바이에 이어 우베처럼 트랜디한 신상 디저트 좋아하시는 분... ,"{""title"": ""[우베유행탑승] 투썸 떠먹는 우베 아박 내돈내산 솔직후기"", ""link"": ""https://blog.naver.com/sss26116/224270365143"", ""description"": ""#내돈내산 또 사먹고 싶은 맛 투썸 떠먹는 우베 아박 기존 아박의 꾸덕함 달콤함에 <b>우배</b>의 달콤한 감성 저처럼 달달 디저트 러버시라면 추천드려요. 두바이에 이어 우베처럼 트랜디한 신상 디저트 좋아하시는 분... "", ""bloggername"": ""❀°•. ⓗⓐⓟⓟⓨ ⓢⓤ °❀"", ""bloggerlink"": ""blog.naver.com/sss26116"", ""postdate"": ""20260430""}",#내돈내산 또 사먹고 싶은 맛 투썸 떠먹는 우베 아박 기존 아박의 꾸덕함 달콤함에 <b>우배</b>의 달콤한 감성 저처럼 달달 디저트 러버시라면 추천드려요. 두바이에 이어 우베처럼 트랜디한 신상 디저트 좋아하시는 분... ,,❀°•. ⓗⓐⓟⓟⓨ ⓢⓤ °❀,blog.naver.com/sss26116
우베,preset,우배,,사각싱크볼 교체 시공 사례 - 코리나 세레노 980 엠보... ,2026-04-30 00:00:00+00:00,,,,https://blog.naver.com/thema/224270175344,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,TWINKLE LIFE 코리나싱크,"코리나 세레노 850제품은 <b>우배</b>구, 좌배구 시공도 가능합니다. 코리나 세레노 980 블랙, 씽크대볼 시공 전 과정 1단계 — 해피콜과 제품 발송 결제 완료 후 영업일 기준 5일 이내에 해피콜이 진행됩니다. 수전... ","{""title"": ""사각싱크볼 교체 시공 사례 - 코리나 세레노 980 엠보... "", ""link"": ""https://blog.naver.com/thema/224270175344"", ""description"": ""코리나 세레노 850제품은 <b>우배</b>구, 좌배구 시공도 가능합니다. 코리나 세레노 980 블랙, 씽크대볼 시공 전 과정 1단계 — 해피콜과 제품 발송 결제 완료 후 영업일 기준 5일 이내에 해피콜이 진행됩니다. 수전... "", ""bloggername"": ""TWINKLE LIFE 코리나싱크"", ""bloggerlink"": ""blog.naver.com/thema"", ""postdate"": ""20260430""}","코리나 세레노 850제품은 <b>우배</b>구, 좌배구 시공도 가능합니다. 코리나 세레노 980 블랙, 씽크대볼 시공 전 과정 1단계 — 해피콜과 제품 발송 결제 완료 후 영업일 기준 5일 이내에 해피콜이 진행됩니다. 수전... ",,TWINKLE LIFE 코리나싱크,blog.naver.com/thema
우베,preset,우배,,매출 종착지 우베 디저트 &amp; 음료 클래스 후기,2026-04-30 00:00:00+00:00,,,,https://blog.naver.com/mycellplus/224270498990,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,세상 모든 베버리지를 묻고 답하다.,보라색으로 가득한 <b>우배</b> 클래스였습니다. 클래스에 참여하신 분들도 다양한 후기를 남겨주셨는데요. ● 한 박자 앞서 소개하는 트렌드 ● 매장과 잘 어울리는 메뉴 소개 ● 전부 다 출시하고 싶은 메뉴 퀄리티... ,"{""title"": ""매출 종착지 우베 디저트 &amp; 음료 클래스 후기"", ""link"": ""https://blog.naver.com/mycellplus/224270498990"", ""description"": ""보라색으로 가득한 <b>우배</b> 클래스였습니다. 클래스에 참여하신 분들도 다양한 후기를 남겨주셨는데요. ● 한 박자 앞서 소개하는 트렌드 ● 매장과 잘 어울리는 메뉴 소개 ● 전부 다 출시하고 싶은 메뉴 퀄리티... "", ""bloggername"": ""세상 모든 베버리지를 묻고 답하다."", ""bloggerlink"": ""blog.naver.com/mycellplus"", ""postdate"": ""20260430""}",보라색으로 가득한 <b>우배</b> 클래스였습니다. 클래스에 참여하신 분들도 다양한 후기를 남겨주셨는데요. ● 한 박자 앞서 소개하는 트렌드 ● 매장과 잘 어울리는 메뉴 소개 ● 전부 다 출시하고 싶은 메뉴 퀄리티... ,,세상 모든 베버리지를 묻고 답하다.,blog.naver.com/mycellplus
우베,preset,우배,,"Just stop your crying, it's a sign of the times.",2026-05-01 00:00:00+00:00,,,,https://blog.naver.com/snakeing/224271039876,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,고구마 쪄먹기,우베가 한창 유행이라길래 <b>우배</b>스무디 사먹어봄 낫밷 약간 타로?같은 맛 남 밤에 쉴때 먹은 우베아박 그냥 아박에 우베첨가한 정도. 22. 정세랑 작가님 목소리를 드릴게요 좋아하는데 저 판본을 낸 출판사가... ,"{""title"": ""Just stop your crying, it's a sign of the times."", ""link"": ""https://blog.naver.com/snakeing/224271039876"", ""description"": ""우베가 한창 유행이라길래 <b>우배</b>스무디 사먹어봄 낫밷 약간 타로?같은 맛 남 밤에 쉴때 먹은 우베아박 그냥 아박에 우베첨가한 정도. 22. 정세랑 작가님 목소리를 드릴게요 좋아하는데 저 판본을 낸 출판사가... "", ""bloggername"": ""고구마 쪄먹기"", ""bloggerlink"": ""blog.naver.com/snakeing"", ""postdate"": ""20260501""}",우베가 한창 유행이라길래 <b>우배</b>스무디 사먹어봄 낫밷 약간 타로?같은 맛 남 밤에 쉴때 먹은 우베아박 그냥 아박에 우베첨가한 정도. 22. 정세랑 작가님 목소리를 드릴게요 좋아하는데 저 판본을 낸 출판사가... ,,고구마 쪄먹기,blog.naver.com/snakeing
우베,preset,우배,,4월 모음 zip,2026-05-02 00:00:00+00:00,,,,https://blog.naver.com/jjin_nok/224272837463,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,J,"(알바두탕미쳤..) 그녀가 돌아왔다… 동명동가서 <b>우배</b>막걸리 먹고 싶대서 가서 마시는데 갑자기 왕뼈사랑 먹고싶다고,, 2차 해장국먹으러감.. 우리는 저런 분위기가 안맞나봐..ㅎ <b>우배</b>막걸리 맛있었음! 다음엔... ","{""title"": ""4월 모음 zip"", ""link"": ""https://blog.naver.com/jjin_nok/224272837463"", ""description"": ""(알바두탕미쳤..) 그녀가 돌아왔다… 동명동가서 <b>우배</b>막걸리 먹고 싶대서 가서 마시는데 갑자기 왕뼈사랑 먹고싶다고,, 2차 해장국먹으러감.. 우리는 저런 분위기가 안맞나봐..ㅎ <b>우배</b>막걸리 맛있었음! 다음엔... "", ""bloggername"": ""J"", ""bloggerlink"": ""blog.naver.com/jjin_nok"", ""postdate"": ""20260502""}","(알바두탕미쳤..) 그녀가 돌아왔다… 동명동가서 <b>우배</b>막걸리 먹고 싶대서 가서 마시는데 갑자기 왕뼈사랑 먹고싶다고,, 2차 해장국먹으러감.. 우리는 저런 분위기가 안맞나봐..ㅎ <b>우배</b>막걸리 맛있었음! 다음엔... ",,J,blog.naver.com/jjin_nok
우베,preset,우배,,주택관리사 17회 시설개론,2026-05-02 00:00:00+00:00,,,,https://blog.naver.com/hajime011/224272306032,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,헬로우,④ 선홈통의 하단부 배수구는 <b>우배</b>수관에 직접 연결하고 연결부 사이의 빈틈은 시멘트 모르타르로 채운다. ⑤ 처마 홈통 연결관과 선홈통 연결부의 겹침길이는 최소 50 mm 이상이 되도록 한다. ✔️ 정답... ,"{""title"": ""주택관리사 17회 시설개론"", ""link"": ""https://blog.naver.com/hajime011/224272306032"", ""description"": ""④ 선홈통의 하단부 배수구는 <b>우배</b>수관에 직접 연결하고 연결부 사이의 빈틈은 시멘트 모르타르로 채운다. ⑤ 처마 홈통 연결관과 선홈통 연결부의 겹침길이는 최소 50 mm 이상이 되도록 한다. ✔️ 정답... "", ""bloggername"": ""헬로우"", ""bloggerlink"": ""blog.naver.com/hajime011"", ""postdate"": ""20260502""}",④ 선홈통의 하단부 배수구는 <b>우배</b>수관에 직접 연결하고 연결부 사이의 빈틈은 시멘트 모르타르로 채운다. ⑤ 처마 홈통 연결관과 선홈통 연결부의 겹침길이는 최소 50 mm 이상이 되도록 한다. ✔️ 정답... ,,헬로우,blog.naver.com/hajime011
우베,preset,우배,,2240. 만엽집 3898번가~3899번가 해석,2026-05-03 00:00:00+00:00,,,,https://blog.naver.com/prime1957/224273611324,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,가천의 새로운 고대사,"해설 1구 大船乃宇倍尒之居婆 (대선내<b>우배</b>이지거바) [큰 배 위에 있으니] 大(클 대), 船(배 선)은 뜻을 이용한 표기. 乃(이에 내)는 연체수식격 “の(노)”의 표기. 宇倍(<b>우배</b>)는 “うへ(우레)”의 표기로 같은... ","{""title"": ""2240. 만엽집 3898번가~3899번가 해석"", ""link"": ""https://blog.naver.com/prime1957/224273611324"", ""description"": ""해설 1구 大船乃宇倍尒之居婆 (대선내<b>우배</b>이지거바) [큰 배 위에 있으니] 大(클 대), 船(배 선)은 뜻을 이용한 표기. 乃(이에 내)는 연체수식격 “の(노)”의 표기. 宇倍(<b>우배</b>)는 “うへ(우레)”의 표기로 같은... "", ""bloggername"": ""가천의 새로운 고대사"", ""bloggerlink"": ""blog.naver.com/prime1957"", ""postdate"": ""20260503""}","해설 1구 大船乃宇倍尒之居婆 (대선내<b>우배</b>이지거바) [큰 배 위에 있으니] 大(클 대), 船(배 선)은 뜻을 이용한 표기. 乃(이에 내)는 연체수식격 “の(노)”의 표기. 宇倍(<b>우배</b>)는 “うへ(우레)”의 표기로 같은... ",,가천의 새로운 고대사,blog.naver.com/prime1957
우베,preset,우배,,나는 감정없는 싸이코라 그런가 이런거보면 미동도 안함.... ,2026-05-03 00:00:00+00:00,,,,https://blog.naver.com/ddupal/224273649806,naver_blog,우배,typo,0.8,2026-05-26 12:33:02.670659+00:00,0,0,0,0,(๑•̌.•̑๑)ˀ̣ˀ̣,<b>우배</b>?가 새로 나왔다고 하더라구요?? 그래서 투썸에서 우베라떼를 먹어봤는데 공차 타로버블티 당도100한 맛 이랑 똑같았어요 ㅋㅋ 저는 타로버블티 먹으면 당도 100이나 그 전단계로 먹었어서 너무너무 만족... ,"{""title"": ""나는 감정없는 싸이코라 그런가 이런거보면 미동도 안함.... "", ""link"": ""https://blog.naver.com/ddupal/224273649806"", ""description"": ""<b>우배</b>?가 새로 나왔다고 하더라구요?? 그래서 투썸에서 우베라떼를 먹어봤는데 공차 타로버블티 당도100한 맛 이랑 똑같았어요 ㅋㅋ 저는 타로버블티 먹으면 당도 100이나 그 전단계로 먹었어서 너무너무 만족... "", ""bloggername"": ""(๑•̌.•̑๑)ˀ̣ˀ̣"", ""bloggerlink"": ""blog.naver.com/ddupal"", ""postdate"": ""20260503""}",<b>우배</b>?가 새로 나왔다고 하더라구요?? 그래서 투썸에서 우베라떼를 먹어봤는데 공차 타로버블티 당도100한 맛 이랑 똑같았어요 ㅋㅋ 저는 타로버블티 먹으면 당도 100이나 그 전단계로 먹었어서 너무너무 만족... ,,(๑•̌.•̑๑)ˀ̣ˀ̣,blog.naver.com/ddupal
