canonical_keyword,keyword_set_mode,keyword,video_id,title,published_at,view_count,like_count,comment_count,url,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,description,originallink,bloggername,bloggerlink
왁뿌볼,preset,왁뿌볼,NjVQym6ActU,"왁뿌볼, 포켓몬 카드 사업을 시작한 MZ조폭",2026-06-13 05:00:10+00:00,182209.0,1732.0,401.0,https://www.youtube.com/watch?v=NjVQym6ActU,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,182209,1732,401,2133,별놈들,"광고,협찬 문의는 stars9910@naver.com 

재밌게 보시구 구독과 좋아요 부탁드릴게요~ 

나선욱 인스타 https://www.instagram.com/hahahahauk/ 

황인심 인스타 https://www.instagram.com/she.meeeeee/

장영호 인스타 https://www.instagram.com/95_0_ho/

#추천 #현실고증 #페이크다큐","{""kind"": ""youtube#video"", ""etag"": ""HieUt7jdRgLRBr8QHImd5vOJj3s"", ""id"": ""NjVQym6ActU"", ""snippet"": {""publishedAt"": ""2026-06-13T05:00:10Z"", ""channelId"": ""UCXTQWsvCnuKxqnbBFMYhrSA"", ""title"": ""왁뿌볼, 포켓몬 카드 사업을 시작한 MZ조폭"", ""description"": ""광고,협찬 문의는 stars9910@naver.com \n\n재밌게 보시구 구독과 좋아요 부탁드릴게요~ \n\n나선욱 인스타 https://www.instagram.com/hahahahauk/ \n\n황인심 인스타 https://www.instagram.com/she.meeeeee/\n\n장영호 인스타 https://www.instagram.com/95_0_ho/\n\n#추천 #현실고증 #페이크다큐"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/NjVQym6ActU/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/NjVQym6ActU/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/NjVQym6ActU/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/NjVQym6ActU/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/NjVQym6ActU/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""별놈들"", ""tags"": [""코미디"", ""유머"", ""페이크다큐"", ""현실고증"", ""추천"", ""웃긴영상"", ""하이퍼리얼리즘"", ""레전드영상"", ""왁뿌볼"", ""말랑이"", ""완구거리"", ""동대문완구거리"", ""동대문"", ""사업"", ""포켓몬카드"", ""포켓몬"", ""피카츄카드"", ""mz""], ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""왁뿌볼, 포켓몬 카드 사업을 시작한 MZ조폭"", ""description"": ""광고,협찬 문의는 stars9910@naver.com \n\n재밌게 보시구 구독과 좋아요 부탁드릴게요~ \n\n나선욱 인스타 https://www.instagram.com/hahahahauk/ \n\n황인심 인스타 https://www.instagram.com/she.meeeeee/\n\n장영호 인스타 https://www.instagram.com/95_0_ho/\n\n#추천 #현실고증 #페이크다큐""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""182209"", ""likeCount"": ""1732"", ""favoriteCount"": ""0"", ""commentCount"": ""401""}}",,,,
왁뿌볼,preset,왁뿌볼,oDKcV2u4amE,다이소재료로 왁뿌볼 만들기,2026-06-13 05:07:57+00:00,10.0,1.0,0.0,https://www.youtube.com/watch?v=oDKcV2u4amE,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,10,1,0,1,DAONtube,,"{""kind"": ""youtube#video"", ""etag"": ""oq0niCFrbdp6lul63JCBkjHirC8"", ""id"": ""oDKcV2u4amE"", ""snippet"": {""publishedAt"": ""2026-06-13T05:07:57Z"", ""channelId"": ""UCTirtkDNbmGnh7CFAnwQ23A"", ""title"": ""다이소재료로 왁뿌볼 만들기"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/oDKcV2u4amE/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/oDKcV2u4amE/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/oDKcV2u4amE/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/oDKcV2u4amE/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/oDKcV2u4amE/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""DAONtube"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""다이소재료로 왁뿌볼 만들기"", ""description"": """"}, ""defaultAudioLanguage"": ""en""}, ""statistics"": {""viewCount"": ""10"", ""likeCount"": ""1"", ""favoriteCount"": ""0""}}",,,,
왁뿌볼,preset,왁뿌볼,bNRveWEdT_M,느낌 좋은 왁뿌볼 만들기! 느낌이 좋아요! 만들기도 쉬워요!,2026-06-13 05:09:52+00:00,11.0,1.0,1.0,https://www.youtube.com/watch?v=bNRveWEdT_M,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,11,1,1,2,도라의 만들기,,"{""kind"": ""youtube#video"", ""etag"": ""YzRrKmbmiRKXV86N5KRB_R7HO58"", ""id"": ""bNRveWEdT_M"", ""snippet"": {""publishedAt"": ""2026-06-13T05:09:52Z"", ""channelId"": ""UCtGIFobmlSLTj30LhhIYtwg"", ""title"": ""느낌 좋은 왁뿌볼 만들기! 느낌이 좋아요! 만들기도 쉬워요!"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/bNRveWEdT_M/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/bNRveWEdT_M/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/bNRveWEdT_M/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/bNRveWEdT_M/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/bNRveWEdT_M/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""도라의 만들기"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""느낌 좋은 왁뿌볼 만들기! 느낌이 좋아요! 만들기도 쉬워요!"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""11"", ""likeCount"": ""1"", ""favoriteCount"": ""0"", ""commentCount"": ""1""}}",,,,
왁뿌볼,preset,왁뿌볼,SQ8pThz-ev8,말랑말랑 왁뿌볼 타워~(설도윤이랑 함께),2026-06-13 07:06:08+00:00,3.0,0.0,0.0,https://www.youtube.com/watch?v=SQ8pThz-ev8,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,3,0,0,0,카퓌바라,,"{""kind"": ""youtube#video"", ""etag"": ""BLFtRUk3S9YrUqjX96efAb5kDsA"", ""id"": ""SQ8pThz-ev8"", ""snippet"": {""publishedAt"": ""2026-06-13T07:06:08Z"", ""channelId"": ""UCr9wjHkLJ_R3CaGAhezfvBA"", ""title"": ""말랑말랑 왁뿌볼 타워~(설도윤이랑 함께)"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/SQ8pThz-ev8/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/SQ8pThz-ev8/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/SQ8pThz-ev8/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/SQ8pThz-ev8/sddefault.jpg"", ""width"": 640, ""height"": 480}}, ""channelTitle"": ""카퓌바라"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""말랑말랑 왁뿌볼 타워~(설도윤이랑 함께)"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""3"", ""likeCount"": ""0"", ""favoriteCount"": ""0""}}",,,,
왁뿌볼,preset,왁뿌볼,NH68WJ4ne6w,왁뿌볼 asmr,2026-06-13 08:26:46+00:00,0.0,0.0,0.0,https://www.youtube.com/watch?v=NH68WJ4ne6w,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,0,0,0,0,4301 mj,오랜만에 돌아온 4301 mj 임다. 소리가 좋으면 구독 좋아요 부탁해요~!!,"{""kind"": ""youtube#video"", ""etag"": ""lLOql4nVdZ00eedt_b5AA_BDZEo"", ""id"": ""NH68WJ4ne6w"", ""snippet"": {""publishedAt"": ""2026-06-13T08:26:46Z"", ""channelId"": ""UC9ebkLU951R68BnlKaxeRpw"", ""title"": ""왁뿌볼 asmr"", ""description"": ""오랜만에 돌아온 4301 mj 임다. 소리가 좋으면 구독 좋아요 부탁해요~!!"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/NH68WJ4ne6w/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/NH68WJ4ne6w/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/NH68WJ4ne6w/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/NH68WJ4ne6w/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/NH68WJ4ne6w/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""4301 mj"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""왁뿌볼 asmr"", ""description"": ""오랜만에 돌아온 4301 mj 임다. 소리가 좋으면 구독 좋아요 부탁해요~!!""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""0"", ""likeCount"": ""0"", ""favoriteCount"": ""0""}}",,,,
왁뿌볼,preset,왁뿌볼,yYNazHoWJz0,"BOYNEXTDOOR 리우 ""왁뿌볼과 사는 남자"" | #순간뽀짝세상에이런아이돌이",2026-06-13 10:00:06+00:00,34079.0,4898.0,364.0,https://www.youtube.com/watch?v=yYNazHoWJz0,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,34079,4898,364,5262,SBSKPOP X INKIGAYO,"BOYNEXTDOOR 리우 ""왁뿌볼과 사는 남자"" | #순간뽀짝세상에이런아이돌이

#리우 #RIWOO #보이넥스트도어 #BOYNEXTDOOR #BND #VIRAL #HOME  #순간뽀짝_세상에_이런_아이돌이 #순간뽀짝 #순뽀 

💼 비즈니스 문의: prismcontent@sbs.co.kr

Copyright Ⓒ 스튜디오 프리즘. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지


---------------------------------------------------------------------------------------------------

☞ MORE ＂SBS KPOP＂

- Twitter : https://twitter.com/kpop_sbs
- Facebook : https://www.facebook.com/sbskpop
- Instagram : https://instagram.com/sbskpop_official","{""kind"": ""youtube#video"", ""etag"": ""_E7kFb7L8PWrWivQrwWaDSod4ac"", ""id"": ""yYNazHoWJz0"", ""snippet"": {""publishedAt"": ""2026-06-13T10:00:06Z"", ""channelId"": ""UCS_hnpJLQTvBkqALgapi_4g"", ""title"": ""BOYNEXTDOOR 리우 \""왁뿌볼과 사는 남자\"" | #순간뽀짝세상에이런아이돌이"", ""description"": ""BOYNEXTDOOR 리우 \""왁뿌볼과 사는 남자\"" | #순간뽀짝세상에이런아이돌이\n\n#리우 #RIWOO #보이넥스트도어 #BOYNEXTDOOR #BND #VIRAL #HOME  #순간뽀짝_세상에_이런_아이돌이 #순간뽀짝 #순뽀 \n\n💼 비즈니스 문의: prismcontent@sbs.co.kr\n\nCopyright Ⓒ 스튜디오 프리즘. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지\n\n\n---------------------------------------------------------------------------------------------------\n\n☞ MORE ＂SBS KPOP＂\n\n- Twitter : https://twitter.com/kpop_sbs\n- Facebook : https://www.facebook.com/sbskpop\n- Instagram : https://instagram.com/sbskpop_official"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/yYNazHoWJz0/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/yYNazHoWJz0/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/yYNazHoWJz0/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/yYNazHoWJz0/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/yYNazHoWJz0/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""SBSKPOP X INKIGAYO"", ""tags"": [""Inkigayo"", ""인기가요직캠"", ""SBSKPOP"", ""스브스케이팝"", ""인기가요"", ""인가직캠"", ""안방1열직캠"", ""페이스캠"", ""fancam"", ""보이넥스트도어"", ""BOYNEXTDOOR"", ""보이넥스트도어 컴백"", ""보이넥스트도어 신곡"", ""보이넥스트도어 노래"", ""보이넥스트도어 인가"", ""보이넥스트도어 인기가요"", ""보이넥스트도어 음방"", ""보이넥스트도어 음악방송"", ""보이넥스트도어 무대"", ""보이넥스트도어 뮤비"", ""보이넥스트도어 페이스캠"", ""보이넥스트도어 직캠"", ""성호"", ""SUNGHO"", ""리우"", ""RIWOO"", ""명재현"", ""JAEHYUN"", ""태산"", ""TAESAN"", ""이한"", ""LEEHAN"", ""운학"", ""WOONHAK"", ""똑똑똑"", ""ddok ddok ddok"", ""HOME"", ""VIRAL"", ""BND"", ""바이럴"", ""왁뿌볼"", ""왁뿌"", ""이상해씨"", ""포켓몬"", ""포켓몬스터"", ""키캡"", ""바이럴템"", ""유행"", ""유행템"", ""280개"", ""역조공"", ""팬사랑"", ""왁뿌볼 만들기"", ""asmr"", ""왁뿌볼 asmr"", ""링뿌볼""], ""categoryId"": ""10"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""BOYNEXTDOOR 리우 \""왁뿌볼과 사는 남자\"" | #순간뽀짝세상에이런아이돌이"", ""description"": ""BOYNEXTDOOR 리우 \""왁뿌볼과 사는 남자\"" | #순간뽀짝세상에이런아이돌이\n\n#리우 #RIWOO #보이넥스트도어 #BOYNEXTDOOR #BND #VIRAL #HOME  #순간뽀짝_세상에_이런_아이돌이 #순간뽀짝 #순뽀 \n\n💼 비즈니스 문의: prismcontent@sbs.co.kr\n\nCopyright Ⓒ 스튜디오 프리즘. All rights reserved. 무단 전재, 재배포 및 AI학습 이용 금지\n\n\n---------------------------------------------------------------------------------------------------\n\n☞ MORE ＂SBS KPOP＂\n\n- Twitter : https://twitter.com/kpop_sbs\n- Facebook : https://www.facebook.com/sbskpop\n- Instagram : https://instagram.com/sbskpop_official""}, ""defaultAudioLanguage"": ""en-US""}, ""statistics"": {""viewCount"": ""34079"", ""likeCount"": ""4898"", ""favoriteCount"": ""0"", ""commentCount"": ""364""}}",,,,
왁뿌볼,preset,왁뿌볼,DNItFeSoZ-I,ASMR 고민상담 나이트루틴 왁뿌볼 스트레스볼,2026-06-13 10:00:39+00:00,459.0,27.0,3.0,https://www.youtube.com/watch?v=DNItFeSoZ-I,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,459,27,3,30,권스타,"#권스타 #ASRM #고민상담 #관리

00:00 인트로
01:06 고민상담
07:49 왁뿌볼","{""kind"": ""youtube#video"", ""etag"": ""jfc50y0Rd09ep2jumkf_b_1cnxQ"", ""id"": ""DNItFeSoZ-I"", ""snippet"": {""publishedAt"": ""2026-06-13T10:00:39Z"", ""channelId"": ""UC4FOp3HQPh71lCASwu2vh1g"", ""title"": ""ASMR 고민상담 나이트루틴 왁뿌볼 스트레스볼"", ""description"": ""#권스타 #ASRM #고민상담 #관리\n\n00:00 인트로\n01:06 고민상담\n07:49 왁뿌볼"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/DNItFeSoZ-I/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/DNItFeSoZ-I/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/DNItFeSoZ-I/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/DNItFeSoZ-I/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/DNItFeSoZ-I/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""권스타"", ""categoryId"": ""26"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""ASMR 고민상담 나이트루틴 왁뿌볼 스트레스볼"", ""description"": ""#권스타 #ASRM #고민상담 #관리\n\n00:00 인트로\n01:06 고민상담\n07:49 왁뿌볼""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""459"", ""likeCount"": ""27"", ""favoriteCount"": ""0"", ""commentCount"": ""3""}}",,,,
왁뿌볼,preset,왁뿌볼,WzLPcX-rz-A,˗ˏˋ왁뿌볼을 만들고 부수는 거양ˎˊ˗ l 막내즈의 왁뿌왁뿌 ASMR🐙🎧,2026-06-13 12:00:01+00:00,4477.0,846.0,98.0,https://www.youtube.com/watch?v=WzLPcX-rz-A,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,4477,846,98,944,CRAVITY,"▶More information

CRAVITY Official Berriz         : https://berriz.in/cravity/
CRAVITY Official X                 : http://twitter.com/CRAVITYstarship
                                                  : http://twitter.com/CRAVITY_twt
CRAVITY Official Instagram : https://www.instagram.com/cravity_official/
CRAVITY Official TikTok       : https://www.tiktok.com/@cravityofficial
CRAVITY Official Weibo        : http://weibo.com/cravity

#CRAVITY #크래비티 #ReDeFINE #AWAKE","{""kind"": ""youtube#video"", ""etag"": ""RCHcVvYH5igZXmJHSAOwz_YvBHw"", ""id"": ""WzLPcX-rz-A"", ""snippet"": {""publishedAt"": ""2026-06-13T12:00:01Z"", ""channelId"": ""UCRm-0JVuUFh5HV7NGG7qXlQ"", ""title"": ""˗ˏˋ왁뿌볼을 만들고 부수는 거양ˎˊ˗ l 막내즈의 왁뿌왁뿌 ASMR🐙🎧"", ""description"": ""▶More information\n\nCRAVITY Official Berriz         : https://berriz.in/cravity/\nCRAVITY Official X                 : http://twitter.com/CRAVITYstarship\n                                                  : http://twitter.com/CRAVITY_twt\nCRAVITY Official Instagram : https://www.instagram.com/cravity_official/\nCRAVITY Official TikTok       : https://www.tiktok.com/@cravityofficial\nCRAVITY Official Weibo        : http://weibo.com/cravity\n\n#CRAVITY #크래비티 #ReDeFINE #AWAKE"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/WzLPcX-rz-A/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/WzLPcX-rz-A/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/WzLPcX-rz-A/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/WzLPcX-rz-A/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/WzLPcX-rz-A/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""CRAVITY"", ""tags"": [""Kpop"", ""1theK"", ""Starshiptv"", ""starship"", ""loen"", ""로엔"", ""뮤비"", ""티져"", ""MV"", ""Teaser"", ""신곡"", ""new"", ""song"", ""한류"", ""idol"", ""hallyu"", ""ロエン"", ""ミュージック"", ""ミュージックビデオ"", ""アイドル"", ""韓流"", ""韓国"", ""아이돌"", ""크래비티"", ""cravity"", ""세림"", ""앨런"", ""정모"", ""우빈"", ""원진"", ""민희"", ""형준"", ""태영"", ""성민"", ""serim"", ""allen"", ""jungmo"", ""woobin"", ""wonjin"", ""minhee"", ""hyeongjun"", ""taeyoung"", ""seongmin"", ""컨셉필름"", ""컨셉"", ""필름"", ""카카오"", ""kakao"", ""비하인드"", ""behind"", ""씨레코즈"", ""C-Record"", ""씨리얼"", ""C-real"", ""씨로그"", ""C-log"", ""concept film"", ""behind the scenes"", ""behind the scene"", ""씨레코드"", ""컴백"", ""comeback"", ""TikTok"", ""틱톡"", ""앨범"", ""Album"", ""미니 8집"", ""ReDeFINE"", ""AWAKE"", ""어웨이크""], ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""˗ˏˋ왁뿌볼을 만들고 부수는 거양ˎˊ˗ l 막내즈의 왁뿌왁뿌 ASMR🐙🎧"", ""description"": ""▶More information\n\nCRAVITY Official Berriz         : https://berriz.in/cravity/\nCRAVITY Official X                 : http://twitter.com/CRAVITYstarship\n                                                  : http://twitter.com/CRAVITY_twt\nCRAVITY Official Instagram : https://www.instagram.com/cravity_official/\nCRAVITY Official TikTok       : https://www.tiktok.com/@cravityofficial\nCRAVITY Official Weibo        : http://weibo.com/cravity\n\n#CRAVITY #크래비티 #ReDeFINE #AWAKE""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""4477"", ""likeCount"": ""846"", ""favoriteCount"": ""0"", ""commentCount"": ""98""}}",,,,
왁뿌볼,preset,왁뿌볼,ukHFxes69nI,슬랑이퍼티왁뿌볼 ASMR (slime asmr),2026-06-13 12:39:33+00:00,112.0,12.0,7.0,https://www.youtube.com/watch?v=ukHFxes69nI,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,112,12,7,19,수수,"유튜버 꿈나무의 영상을 보고 계십니다

제가 산 제품이랑 똑같은 제품 찾아서 넣었습니다-! 
이름 참고해주세요 (신기해서 해본거 비🤫밀)
저는 문구거리에서 샤베트 4,0 / 퍼티 5,0 / 왁뿌볼 3,0 주고 샀어요

00:00 시작
01:30 샤베트 슬랑이
09:00 박사퍼티슬라임
22:16 왁뿌볼 
30:49 마무리 인사

#말랑이 #왁뿌볼 #슬랑이 #slime #slimeasmr #수면ASMR #팅글ASMR #장난감ASMR #힐링ASMR #잠오는소리 #koreanasmr #불면증 #잠안올때 #한국유행 #촉감놀이","{""kind"": ""youtube#video"", ""etag"": ""gzo7c3i13CyMq01l-ciiFfAdHpw"", ""id"": ""ukHFxes69nI"", ""snippet"": {""publishedAt"": ""2026-06-13T12:39:33Z"", ""channelId"": ""UC6qYo6nhMJ70uUYP-yXnnMg"", ""title"": ""슬랑이퍼티왁뿌볼 ASMR (slime asmr)"", ""description"": ""유튜버 꿈나무의 영상을 보고 계십니다\n\n제가 산 제품이랑 똑같은 제품 찾아서 넣었습니다-! \n이름 참고해주세요 (신기해서 해본거 비🤫밀)\n저는 문구거리에서 샤베트 4,0 / 퍼티 5,0 / 왁뿌볼 3,0 주고 샀어요\n\n00:00 시작\n01:30 샤베트 슬랑이\n09:00 박사퍼티슬라임\n22:16 왁뿌볼 \n30:49 마무리 인사\n\n#말랑이 #왁뿌볼 #슬랑이 #slime #slimeasmr #수면ASMR #팅글ASMR #장난감ASMR #힐링ASMR #잠오는소리 #koreanasmr #불면증 #잠안올때 #한국유행 #촉감놀이"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/ukHFxes69nI/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/ukHFxes69nI/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/ukHFxes69nI/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/ukHFxes69nI/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/ukHFxes69nI/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""수수"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""슬랑이퍼티왁뿌볼 ASMR (slime asmr)"", ""description"": ""유튜버 꿈나무의 영상을 보고 계십니다\n\n제가 산 제품이랑 똑같은 제품 찾아서 넣었습니다-! \n이름 참고해주세요 (신기해서 해본거 비🤫밀)\n저는 문구거리에서 샤베트 4,0 / 퍼티 5,0 / 왁뿌볼 3,0 주고 샀어요\n\n00:00 시작\n01:30 샤베트 슬랑이\n09:00 박사퍼티슬라임\n22:16 왁뿌볼 \n30:49 마무리 인사\n\n#말랑이 #왁뿌볼 #슬랑이 #slime #slimeasmr #수면ASMR #팅글ASMR #장난감ASMR #힐링ASMR #잠오는소리 #koreanasmr #불면증 #잠안올때 #한국유행 #촉감놀이""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""112"", ""likeCount"": ""12"", ""favoriteCount"": ""0"", ""commentCount"": ""7""}}",,,,
왁뿌볼,preset,왁뿌볼,B93YZ_8Qb6o,막내가 동묘에서 사다준 왁뿌볼이랑 비누슬랑이,2026-06-13 14:25:38+00:00,1.0,0.0,0.0,https://www.youtube.com/watch?v=B93YZ_8Qb6o,youtube,왁뿌볼,canonical,1.0,2026-06-13T16:25:35.142329+00:00,1,0,0,0,아라,,"{""kind"": ""youtube#video"", ""etag"": ""ExzUjpYkJ2zvaqeP5SssfRe8vvc"", ""id"": ""B93YZ_8Qb6o"", ""snippet"": {""publishedAt"": ""2026-06-13T14:25:38Z"", ""channelId"": ""UC4Pqx3_zA-noYFaLsCe-v6w"", ""title"": ""막내가 동묘에서 사다준 왁뿌볼이랑 비누슬랑이"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/B93YZ_8Qb6o/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/B93YZ_8Qb6o/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/B93YZ_8Qb6o/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/B93YZ_8Qb6o/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/B93YZ_8Qb6o/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""아라"", ""categoryId"": ""19"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""막내가 동묘에서 사다준 왁뿌볼이랑 비누슬랑이"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""1"", ""likeCount"": ""0"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
