canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,bloggername,bloggerlink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload
사과,single_term_fallback,사과,기억을 빌려줄게 _ 도토리숲 알심문학 07,https://blog.naver.com/dotoribook/224297206144,20260526,"진정한 <b>사과</b>와 화해를 위하여 박하령 장편소설 140×200mm) |188쪽 | 값 14,000원 ISBN: 979-11-93599-31-0 (03810)... 저마다 살아남으려는 고군분투 진정한 <b>사과</b>와 화해를 위하여 소설에는 저마다의 방법으로 살아남으려는... ",도서출판 도토리숲,blog.naver.com/dotoribook,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,도서출판 도토리숲,"진정한 <b>사과</b>와 화해를 위하여 박하령 장편소설 140×200mm) |188쪽 | 값 14,000원 ISBN: 979-11-93599-31-0 (03810)... 저마다 살아남으려는 고군분투 진정한 <b>사과</b>와 화해를 위하여 소설에는 저마다의 방법으로 살아남으려는... ","{""title"": ""기억을 빌려줄게 _ 도토리숲 알심문학 07"", ""link"": ""https://blog.naver.com/dotoribook/224297206144"", ""description"": ""진정한 <b>사과</b>와 화해를 위하여 박하령 장편소설 140×200mm) |188쪽 | 값 14,000원 ISBN: 979-11-93599-31-0 (03810)... 저마다 살아남으려는 고군분투 진정한 <b>사과</b>와 화해를 위하여 소설에는 저마다의 방법으로 살아남으려는... "", ""bloggername"": ""도서출판 도토리숲"", ""bloggerlink"": ""blog.naver.com/dotoribook"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,이유식 스타터세트로 처음 시작할 때 과즙망까지 챙기는 이유,https://blog.naver.com/fgfay_2l44gxl/224297206586,20260526,저는 <b>사과</b>나 배처럼 수분이 있는 재료를 다룰 때 과즙망이 있으면 손이 덜 번거로웠습니다. 한 번에 많이 먹이는 용도보다 조금씩 맛을 익히는 흐름에 더 잘 맞았습니다. 특히 손으로 잡는 연습과 입에 대는... ,fgfay_2l44gxl님의 블로그,blog.naver.com/fgfay_2l44gxl,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,fgfay_2l44gxl님의 블로그,저는 <b>사과</b>나 배처럼 수분이 있는 재료를 다룰 때 과즙망이 있으면 손이 덜 번거로웠습니다. 한 번에 많이 먹이는 용도보다 조금씩 맛을 익히는 흐름에 더 잘 맞았습니다. 특히 손으로 잡는 연습과 입에 대는... ,"{""title"": ""이유식 스타터세트로 처음 시작할 때 과즙망까지 챙기는 이유"", ""link"": ""https://blog.naver.com/fgfay_2l44gxl/224297206586"", ""description"": ""저는 <b>사과</b>나 배처럼 수분이 있는 재료를 다룰 때 과즙망이 있으면 손이 덜 번거로웠습니다. 한 번에 많이 먹이는 용도보다 조금씩 맛을 익히는 흐름에 더 잘 맞았습니다. 특히 손으로 잡는 연습과 입에 대는... "", ""bloggername"": ""fgfay_2l44gxl님의 블로그"", ""bloggerlink"": ""blog.naver.com/fgfay_2l44gxl"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,"정용진 대국민 <b>사과</b>문 핵심 요약, 왜 화제일까?",https://blog.naver.com/openaitrading/224297206293,20260526,최근 '정용진 대국민 <b>사과</b>문'에 대해 검색하는 분들이 많습니다. 이 주제에서 중요한 부분은... 핵심 답변: 정용진 대국민 <b>사과</b>문 검색은 신세계그룹 계열 스타벅스코리아의 ‘탱크데이’... ,오늘의 냥피드,blog.naver.com/openaitrading,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,오늘의 냥피드,최근 '정용진 대국민 <b>사과</b>문'에 대해 검색하는 분들이 많습니다. 이 주제에서 중요한 부분은... 핵심 답변: 정용진 대국민 <b>사과</b>문 검색은 신세계그룹 계열 스타벅스코리아의 ‘탱크데이’... ,"{""title"": ""정용진 대국민 <b>사과</b>문 핵심 요약, 왜 화제일까?"", ""link"": ""https://blog.naver.com/openaitrading/224297206293"", ""description"": ""최근 '정용진 대국민 <b>사과</b>문'에 대해 검색하는 분들이 많습니다. 이 주제에서 중요한 부분은... 핵심 답변: 정용진 대국민 <b>사과</b>문 검색은 신세계그룹 계열 스타벅스코리아의 ‘탱크데이’... "", ""bloggername"": ""오늘의 냥피드"", ""bloggerlink"": ""blog.naver.com/openaitrading"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,"간에 좋은 음식 5가지, 제대로 알고 먹자",https://blog.naver.com/bunny3813/224297206147,20260526,<b>사과</b>에 들어 있는 펙틴 성분은 체내 콜레스테롤 배출을 촉진하는 역할을 합니다. 아보카도는 단일불포화지방산을 통해 HDL은 높이고 LDL은 낮추는 두 가지 이점을 동시에 제공합니다. 간 건강을 위한 현명한... ,삼만리,blog.naver.com/bunny3813,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,삼만리,<b>사과</b>에 들어 있는 펙틴 성분은 체내 콜레스테롤 배출을 촉진하는 역할을 합니다. 아보카도는 단일불포화지방산을 통해 HDL은 높이고 LDL은 낮추는 두 가지 이점을 동시에 제공합니다. 간 건강을 위한 현명한... ,"{""title"": ""간에 좋은 음식 5가지, 제대로 알고 먹자"", ""link"": ""https://blog.naver.com/bunny3813/224297206147"", ""description"": ""<b>사과</b>에 들어 있는 펙틴 성분은 체내 콜레스테롤 배출을 촉진하는 역할을 합니다. 아보카도는 단일불포화지방산을 통해 HDL은 높이고 LDL은 낮추는 두 가지 이점을 동시에 제공합니다. 간 건강을 위한 현명한... "", ""bloggername"": ""삼만리"", ""bloggerlink"": ""blog.naver.com/bunny3813"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,&quot;왜 이제 샀지?&quot; 싶은 다이소 주방 추천템 BEST3,https://blog.naver.com/tbgusl12/224297205799,20260526,<b>사과</b> 커터기 가격: 2000원 온라인몰에서는 매번 품절이라 오프라인 매장에서 보이면 바로 구매했다는 후기가 많은 인기템이에요 <b>사과</b>를 한 번에 균일하게 잘라줘서 아침 과일 준비 시간이 확 줄어들더라고요.... ,luna home,blog.naver.com/tbgusl12,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,luna home,<b>사과</b> 커터기 가격: 2000원 온라인몰에서는 매번 품절이라 오프라인 매장에서 보이면 바로 구매했다는 후기가 많은 인기템이에요 <b>사과</b>를 한 번에 균일하게 잘라줘서 아침 과일 준비 시간이 확 줄어들더라고요.... ,"{""title"": ""&quot;왜 이제 샀지?&quot; 싶은 다이소 주방 추천템 BEST3"", ""link"": ""https://blog.naver.com/tbgusl12/224297205799"", ""description"": ""<b>사과</b> 커터기 가격: 2000원 온라인몰에서는 매번 품절이라 오프라인 매장에서 보이면 바로 구매했다는 후기가 많은 인기템이에요 <b>사과</b>를 한 번에 균일하게 잘라줘서 아침 과일 준비 시간이 확 줄어들더라고요.... "", ""bloggername"": ""luna home"", ""bloggerlink"": ""blog.naver.com/tbgusl12"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,"골드키위 후숙 보관 방법, 키위 껍질 먹어도 될까? 키위보관법... ",https://blog.naver.com/alswl0224/224297205774,20260526,✔️ 빨리 후숙시키는 방법 빨리 익히고 싶다면 <b>사과</b>나 바나나와 함께 보관해보세요. <b>사과</b>·바나나에서 나오는 에틸렌 가스가 후숙을 빠르게 도와주거든요. 보통 비닐봉지나 종이봉투에 같이 넣어두면 후숙... ,망디의먹로그,blog.naver.com/alswl0224,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,망디의먹로그,✔️ 빨리 후숙시키는 방법 빨리 익히고 싶다면 <b>사과</b>나 바나나와 함께 보관해보세요. <b>사과</b>·바나나에서 나오는 에틸렌 가스가 후숙을 빠르게 도와주거든요. 보통 비닐봉지나 종이봉투에 같이 넣어두면 후숙... ,"{""title"": ""골드키위 후숙 보관 방법, 키위 껍질 먹어도 될까? 키위보관법... "", ""link"": ""https://blog.naver.com/alswl0224/224297205774"", ""description"": ""✔️ 빨리 후숙시키는 방법 빨리 익히고 싶다면 <b>사과</b>나 바나나와 함께 보관해보세요. <b>사과</b>·바나나에서 나오는 에틸렌 가스가 후숙을 빠르게 도와주거든요. 보통 비닐봉지나 종이봉투에 같이 넣어두면 후숙... "", ""bloggername"": ""망디의먹로그"", ""bloggerlink"": ""blog.naver.com/alswl0224"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,"잘못된 마케팅이 가져온 스타벅스 후폭풍, 대국민<b>사과</b>와... ",https://blog.naver.com/jhh_nis/224297205491,20260526,5.18 스타벅스 사태 정용진 회장 <b>사과</b>에서부터 선불카드 환불까지 지난 5월 18일 나온 스타벅스의... 대국민 <b>사과</b>를 하고 광주에 찾아갔지만 이미 돌아선 민심을 되돌리기엔 어려워 보였습니다 여기에서 나아가... ,일상과 부의 기록,blog.naver.com/jhh_nis,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,일상과 부의 기록,5.18 스타벅스 사태 정용진 회장 <b>사과</b>에서부터 선불카드 환불까지 지난 5월 18일 나온 스타벅스의... 대국민 <b>사과</b>를 하고 광주에 찾아갔지만 이미 돌아선 민심을 되돌리기엔 어려워 보였습니다 여기에서 나아가... ,"{""title"": ""잘못된 마케팅이 가져온 스타벅스 후폭풍, 대국민<b>사과</b>와... "", ""link"": ""https://blog.naver.com/jhh_nis/224297205491"", ""description"": ""5.18 스타벅스 사태 정용진 회장 <b>사과</b>에서부터 선불카드 환불까지 지난 5월 18일 나온 스타벅스의... 대국민 <b>사과</b>를 하고 광주에 찾아갔지만 이미 돌아선 민심을 되돌리기엔 어려워 보였습니다 여기에서 나아가... "", ""bloggername"": ""일상과 부의 기록"", ""bloggerlink"": ""blog.naver.com/jhh_nis"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,여기 있는 본인이 직접 만들어 본 AI 그림 중에서 가장 마음에... ,https://blog.naver.com/mania4500/224297205841,20260526,잘못했다고 <b>사과</b>하는 모습(로얄 컬렉션) 11번 : 마이클과 애슐리가 19살이 되어 로즈 아카데미를 졸업하게 되자 자신의 오빠와 새언니가 되는 두 사람에게 졸업을 축하한다고 기쁘게 포옹을 해주고 있는 16살의... ,New Frontier,blog.naver.com/mania4500,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,New Frontier,잘못했다고 <b>사과</b>하는 모습(로얄 컬렉션) 11번 : 마이클과 애슐리가 19살이 되어 로즈 아카데미를 졸업하게 되자 자신의 오빠와 새언니가 되는 두 사람에게 졸업을 축하한다고 기쁘게 포옹을 해주고 있는 16살의... ,"{""title"": ""여기 있는 본인이 직접 만들어 본 AI 그림 중에서 가장 마음에... "", ""link"": ""https://blog.naver.com/mania4500/224297205841"", ""description"": ""잘못했다고 <b>사과</b>하는 모습(로얄 컬렉션) 11번 : 마이클과 애슐리가 19살이 되어 로즈 아카데미를 졸업하게 되자 자신의 오빠와 새언니가 되는 두 사람에게 졸업을 축하한다고 기쁘게 포옹을 해주고 있는 16살의... "", ""bloggername"": ""New Frontier"", ""bloggerlink"": ""blog.naver.com/mania4500"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,"정용진 대국민 <b>사과</b>, 오히려 민주당 집단멘붕ㅣ서소문... ",https://blog.naver.com/flower5353/224297205358,20260526,"정용진 대국민 <b>사과</b>, 오히려 민주당 집단멘붕ㅣ서소문 고가차도 붕괴, 정원오 지지자 단톡방 터져ㅣ고환율 빤스런 이재명, 이젠 외국인 탓ㅣ지선 공보물, 배현진 사고 [오후LIVE] https... ",하나님의 지팡이,blog.naver.com/flower5353,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,하나님의 지팡이,"정용진 대국민 <b>사과</b>, 오히려 민주당 집단멘붕ㅣ서소문 고가차도 붕괴, 정원오 지지자 단톡방 터져ㅣ고환율 빤스런 이재명, 이젠 외국인 탓ㅣ지선 공보물, 배현진 사고 [오후LIVE] https... ","{""title"": ""정용진 대국민 <b>사과</b>, 오히려 민주당 집단멘붕ㅣ서소문... "", ""link"": ""https://blog.naver.com/flower5353/224297205358"", ""description"": ""정용진 대국민 <b>사과</b>, 오히려 민주당 집단멘붕ㅣ서소문 고가차도 붕괴, 정원오 지지자 단톡방 터져ㅣ고환율 빤스런 이재명, 이젠 외국인 탓ㅣ지선 공보물, 배현진 사고 [오후LIVE] https... "", ""bloggername"": ""하나님의 지팡이"", ""bloggerlink"": ""blog.naver.com/flower5353"", ""postdate"": ""20260526""}"
사과,single_term_fallback,사과,허수아비 11회,https://blog.naver.com/petua413/224297205540,20260526,그런 이기환의 말을 연로한 아버지에게는 차마 전하지 못하고 이기환이 <b>사과</b>를 했다고 거짓말을 하는 윤혜진의 동생. 이 장면이 미방분이라고 합니다. 드라마 전개에 꼭 넣어줬으면 좋았을 장면 같은데 말이죠.... ,내 안의 작은 행복,blog.naver.com/petua413,naver_blog,사과,canonical,1.0,2026-05-26T11:50:14.768518+00:00,0,0,0,0,내 안의 작은 행복,그런 이기환의 말을 연로한 아버지에게는 차마 전하지 못하고 이기환이 <b>사과</b>를 했다고 거짓말을 하는 윤혜진의 동생. 이 장면이 미방분이라고 합니다. 드라마 전개에 꼭 넣어줬으면 좋았을 장면 같은데 말이죠.... ,"{""title"": ""허수아비 11회"", ""link"": ""https://blog.naver.com/petua413/224297205540"", ""description"": ""그런 이기환의 말을 연로한 아버지에게는 차마 전하지 못하고 이기환이 <b>사과</b>를 했다고 거짓말을 하는 윤혜진의 동생. 이 장면이 미방분이라고 합니다. 드라마 전개에 꼭 넣어줬으면 좋았을 장면 같은데 말이죠.... "", ""bloggername"": ""내 안의 작은 행복"", ""bloggerlink"": ""blog.naver.com/petua413"", ""postdate"": ""20260526""}"
