canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,bloggername,bloggerlink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload
버터떡,preset,버터떡,04.21,https://blog.naver.com/dkk9212/224297223856,20260526,"시킨 <b>버터떡</b>과 연유추가, 그리고 이어진 서로를 향한 일과 삶, 취미, 좋아하는 음식, 여행, 좀 더 깊어진 대화는 가치관, 교육관, 삶의 시련 등 첫 만남의 자리에선 사실 안해도 될법한 얘기들이 오갔었는데... ",에겐동산,blog.naver.com/dkk9212,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,에겐동산,"시킨 <b>버터떡</b>과 연유추가, 그리고 이어진 서로를 향한 일과 삶, 취미, 좋아하는 음식, 여행, 좀 더 깊어진 대화는 가치관, 교육관, 삶의 시련 등 첫 만남의 자리에선 사실 안해도 될법한 얘기들이 오갔었는데... ","{""title"": ""04.21"", ""link"": ""https://blog.naver.com/dkk9212/224297223856"", ""description"": ""시킨 <b>버터떡</b>과 연유추가, 그리고 이어진 서로를 향한 일과 삶, 취미, 좋아하는 음식, 여행, 좀 더 깊어진 대화는 가치관, 교육관, 삶의 시련 등 첫 만남의 자리에선 사실 안해도 될법한 얘기들이 오갔었는데... "", ""bloggername"": ""에겐동산"", ""bloggerlink"": ""blog.naver.com/dkk9212"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,2026년 5월 4주 일상,https://blog.naver.com/mmuuuq/224297223486,20260526,메가 <b>버터떡</b>이 맛있다던데 그래서 생애 첫 <b>버터떡</b>을 메가로 먹었는데 뭐 나쁘지 않았다 <b>버터떡</b>이 원래 이런맛인가 요즘빠진 꿀배요구르트 어쩌구 이름이 너무 길다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈에띄게... ,뮤랑로그,blog.naver.com/mmuuuq,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,뮤랑로그,메가 <b>버터떡</b>이 맛있다던데 그래서 생애 첫 <b>버터떡</b>을 메가로 먹었는데 뭐 나쁘지 않았다 <b>버터떡</b>이 원래 이런맛인가 요즘빠진 꿀배요구르트 어쩌구 이름이 너무 길다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈에띄게... ,"{""title"": ""2026년 5월 4주 일상"", ""link"": ""https://blog.naver.com/mmuuuq/224297223486"", ""description"": ""메가 <b>버터떡</b>이 맛있다던데 그래서 생애 첫 <b>버터떡</b>을 메가로 먹었는데 뭐 나쁘지 않았다 <b>버터떡</b>이 원래 이런맛인가 요즘빠진 꿀배요구르트 어쩌구 이름이 너무 길다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 눈에띄게... "", ""bloggername"": ""뮤랑로그"", ""bloggerlink"": ""blog.naver.com/mmuuuq"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,01/ 뭐든 해낼 수 있다는 희망을 잃지 마시긔,https://blog.naver.com/hutop1a/224297222930,20260526,살까 고민..만 함 첫 떡! 동네떡집 사임당떡 맛도리 첫 노래방 혼자 잘 놀쥬 한국 바이브 잘 있었니... <b>버터떡</b> 요거 뭔가 계속 생각나는 맛.. 동생도 좋아해서 더 자주 삼 채식 식당에서 남자친구로(?) 육아... ,주절주접일기,blog.naver.com/hutop1a,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,주절주접일기,살까 고민..만 함 첫 떡! 동네떡집 사임당떡 맛도리 첫 노래방 혼자 잘 놀쥬 한국 바이브 잘 있었니... <b>버터떡</b> 요거 뭔가 계속 생각나는 맛.. 동생도 좋아해서 더 자주 삼 채식 식당에서 남자친구로(?) 육아... ,"{""title"": ""01/ 뭐든 해낼 수 있다는 희망을 잃지 마시긔"", ""link"": ""https://blog.naver.com/hutop1a/224297222930"", ""description"": ""살까 고민..만 함 첫 떡! 동네떡집 사임당떡 맛도리 첫 노래방 혼자 잘 놀쥬 한국 바이브 잘 있었니... <b>버터떡</b> 요거 뭔가 계속 생각나는 맛.. 동생도 좋아해서 더 자주 삼 채식 식당에서 남자친구로(?) 육아... "", ""bloggername"": ""주절주접일기"", ""bloggerlink"": ""blog.naver.com/hutop1a"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,"26.05.16~18 짧은 칭다오 여행! (샤오마이다오, 타이동 야시장... ",https://blog.naver.com/25_11/224297221063,20260526,시작된 <b>버터떡</b>의모험 ㄷ ㄷ 결론은 고속도로까지 타서 루씨허<b>버터떡</b> 샀고 (맛있음 그런데 차타고 와서까지 먹을정도는 XXX 배달 어플 미리 본인인증 해가서 배달시켜드세요) 몰에 있던 마트도 구경함 저 사진의... ,맛따라뿜빠라 ♪,blog.naver.com/25_11,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,맛따라뿜빠라 ♪,시작된 <b>버터떡</b>의모험 ㄷ ㄷ 결론은 고속도로까지 타서 루씨허<b>버터떡</b> 샀고 (맛있음 그런데 차타고 와서까지 먹을정도는 XXX 배달 어플 미리 본인인증 해가서 배달시켜드세요) 몰에 있던 마트도 구경함 저 사진의... ,"{""title"": ""26.05.16~18 짧은 칭다오 여행! (샤오마이다오, 타이동 야시장... "", ""link"": ""https://blog.naver.com/25_11/224297221063"", ""description"": ""시작된 <b>버터떡</b>의모험 ㄷ ㄷ 결론은 고속도로까지 타서 루씨허<b>버터떡</b> 샀고 (맛있음 그런데 차타고 와서까지 먹을정도는 XXX 배달 어플 미리 본인인증 해가서 배달시켜드세요) 몰에 있던 마트도 구경함 저 사진의... "", ""bloggername"": ""맛따라뿜빠라 ♪"", ""bloggerlink"": ""blog.naver.com/25_11"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,캘리포니아에 가서 캘리포니아 드림을 들을까 러브를 들을까... ,https://blog.naver.com/princess_ruby/224297219553,20260526,쿠앤크프라푸치노에 <b>버터떡</b> 아기다리고기다리던 테일러 LP 생일 기념으루 머 살까 하다가 테일러 LP 중에서 쇼걸 vs 러버 vs 1989(tv) 중에서 고민하다가 먼저 사고 싶은 걸로 선택해서 샀는데 너무 예뻐요..... 아직... ,From . . .★♡̴,blog.naver.com/princess_ruby,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,From . . .★♡̴,쿠앤크프라푸치노에 <b>버터떡</b> 아기다리고기다리던 테일러 LP 생일 기념으루 머 살까 하다가 테일러 LP 중에서 쇼걸 vs 러버 vs 1989(tv) 중에서 고민하다가 먼저 사고 싶은 걸로 선택해서 샀는데 너무 예뻐요..... 아직... ,"{""title"": ""캘리포니아에 가서 캘리포니아 드림을 들을까 러브를 들을까... "", ""link"": ""https://blog.naver.com/princess_ruby/224297219553"", ""description"": ""쿠앤크프라푸치노에 <b>버터떡</b> 아기다리고기다리던 테일러 LP 생일 기념으루 머 살까 하다가 테일러 LP 중에서 쇼걸 vs 러버 vs 1989(tv) 중에서 고민하다가 먼저 사고 싶은 걸로 선택해서 샀는데 너무 예뻐요..... 아직... "", ""bloggername"": ""From . . .★♡̴"", ""bloggerlink"": ""blog.naver.com/princess_ruby"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,[안산 고잔동 카페☕]늘얼웨이즈에서 어떤 디저트가 제일... ,https://blog.naver.com/rkgus402/224297219239,20260526,"마침 <b>버터떡</b>이 2개 묶음 4천원이길래 에그타르트랑 함께 주문해봤습니다~!! Na 크림라떼 6,000원 코코넛 카페라떼(블렌딩) 6,000원 에그타르트 3,800원 <b>버터떡</b>(2개/솔티캬라멜) 4,500원 개인적으로 <b>버터떡</b>이 가격이... ",내가 접수한 블로그,blog.naver.com/rkgus402,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,내가 접수한 블로그,"마침 <b>버터떡</b>이 2개 묶음 4천원이길래 에그타르트랑 함께 주문해봤습니다~!! Na 크림라떼 6,000원 코코넛 카페라떼(블렌딩) 6,000원 에그타르트 3,800원 <b>버터떡</b>(2개/솔티캬라멜) 4,500원 개인적으로 <b>버터떡</b>이 가격이... ","{""title"": ""[안산 고잔동 카페☕]늘얼웨이즈에서 어떤 디저트가 제일... "", ""link"": ""https://blog.naver.com/rkgus402/224297219239"", ""description"": ""마침 <b>버터떡</b>이 2개 묶음 4천원이길래 에그타르트랑 함께 주문해봤습니다~!! Na 크림라떼 6,000원 코코넛 카페라떼(블렌딩) 6,000원 에그타르트 3,800원 <b>버터떡</b>(2개/솔티캬라멜) 4,500원 개인적으로 <b>버터떡</b>이 가격이... "", ""bloggername"": ""내가 접수한 블로그"", ""bloggerlink"": ""blog.naver.com/rkgus402"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,여름이 오기 전이랄까,https://blog.naver.com/kxnii_/224297217786,20260526,맛있었디야 가족들과 회 먹으러 갔어요 서재민이 두쫀쿠 <b>버터떡</b> 사주심. 천사 인정할게요 그리구 임서랑 다우니 만나러 사진이 안 보여서 친구 스토리 끌고 옴 ㅠㅠ 임서를 너무 오랜만에 봤지만 여전한 그녀... ,0..,blog.naver.com/kxnii_,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,0..,맛있었디야 가족들과 회 먹으러 갔어요 서재민이 두쫀쿠 <b>버터떡</b> 사주심. 천사 인정할게요 그리구 임서랑 다우니 만나러 사진이 안 보여서 친구 스토리 끌고 옴 ㅠㅠ 임서를 너무 오랜만에 봤지만 여전한 그녀... ,"{""title"": ""여름이 오기 전이랄까"", ""link"": ""https://blog.naver.com/kxnii_/224297217786"", ""description"": ""맛있었디야 가족들과 회 먹으러 갔어요 서재민이 두쫀쿠 <b>버터떡</b> 사주심. 천사 인정할게요 그리구 임서랑 다우니 만나러 사진이 안 보여서 친구 스토리 끌고 옴 ㅠㅠ 임서를 너무 오랜만에 봤지만 여전한 그녀... "", ""bloggername"": ""0.."", ""bloggerlink"": ""blog.naver.com/kxnii_"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,"부모님,아이들데리고 가기좋은 정원있는 부산기장 초오록카페",https://blog.naver.com/yj0406_/224297217121,20260526,"카페모카는 ★★★★ <b>버터떡</b>은 배고프니깐 무조건 맛있고 정원의 나무들도, 테이블 의자 모두 적절하게 관리가 잘된듯 하다. 어디에서 찍어도 베스트 사진을 건질수 있는 핫스팟이구먼. 정원에서 더 뛰어놀고... ",출구없는매력♬♩♪♥,blog.naver.com/yj0406_,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,출구없는매력♬♩♪♥,"카페모카는 ★★★★ <b>버터떡</b>은 배고프니깐 무조건 맛있고 정원의 나무들도, 테이블 의자 모두 적절하게 관리가 잘된듯 하다. 어디에서 찍어도 베스트 사진을 건질수 있는 핫스팟이구먼. 정원에서 더 뛰어놀고... ","{""title"": ""부모님,아이들데리고 가기좋은 정원있는 부산기장 초오록카페"", ""link"": ""https://blog.naver.com/yj0406_/224297217121"", ""description"": ""카페모카는 ★★★★ <b>버터떡</b>은 배고프니깐 무조건 맛있고 정원의 나무들도, 테이블 의자 모두 적절하게 관리가 잘된듯 하다. 어디에서 찍어도 베스트 사진을 건질수 있는 핫스팟이구먼. 정원에서 더 뛰어놀고... "", ""bloggername"": ""출구없는매력♬♩♪♥"", ""bloggerlink"": ""blog.naver.com/yj0406_"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,성수 카페 ETF 베이커리 솔직후기 늦게가면 빵이없어요.,https://blog.naver.com/s2shake/224297216892,20260526,입구쪽에 <b>버터떡</b>이 590원이라고 쓰여있었는데 오픈할때만 먹을 수 있나봐요. 제가 갔을땐 하나도... 저렴한건 인정인데 안에 공기도 없고 버터향도 안나고 퍽퍽해서 먹다 말았어요. 베이커리류는 저렴한데... ,하트쉐이크의 블로그,blog.naver.com/s2shake,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,하트쉐이크의 블로그,입구쪽에 <b>버터떡</b>이 590원이라고 쓰여있었는데 오픈할때만 먹을 수 있나봐요. 제가 갔을땐 하나도... 저렴한건 인정인데 안에 공기도 없고 버터향도 안나고 퍽퍽해서 먹다 말았어요. 베이커리류는 저렴한데... ,"{""title"": ""성수 카페 ETF 베이커리 솔직후기 늦게가면 빵이없어요."", ""link"": ""https://blog.naver.com/s2shake/224297216892"", ""description"": ""입구쪽에 <b>버터떡</b>이 590원이라고 쓰여있었는데 오픈할때만 먹을 수 있나봐요. 제가 갔을땐 하나도... 저렴한건 인정인데 안에 공기도 없고 버터향도 안나고 퍽퍽해서 먹다 말았어요. 베이커리류는 저렴한데... "", ""bloggername"": ""하트쉐이크의 블로그"", ""bloggerlink"": ""blog.naver.com/s2shake"", ""postdate"": ""20260526""}"
버터떡,preset,버터떡,쿠모카페앤샵 운양동아이랑 운양동이색카페 희귀거미카페... ,https://blog.naver.com/somama86/224297215958,20260526,<b>버터떡</b> 프레즐 소금빵 크로플까지 음료 가격도 다른카페에 비해 저렴하더라구요! 아이들을 위한 뽀로로 음료수도 준비되어 있었답니다! 공간공간마다 이색 카페느낌이 물씬나는 디자인과 굿즈등이 있어서... ,소자매와 함께하는 소소하지만 의미있는 워킹맘일상,blog.naver.com/somama86,naver_blog,버터떡,canonical,1.0,2026-05-26T12:11:00.495845+00:00,0,0,0,0,소자매와 함께하는 소소하지만 의미있는 워킹맘일상,<b>버터떡</b> 프레즐 소금빵 크로플까지 음료 가격도 다른카페에 비해 저렴하더라구요! 아이들을 위한 뽀로로 음료수도 준비되어 있었답니다! 공간공간마다 이색 카페느낌이 물씬나는 디자인과 굿즈등이 있어서... ,"{""title"": ""쿠모카페앤샵 운양동아이랑 운양동이색카페 희귀거미카페... "", ""link"": ""https://blog.naver.com/somama86/224297215958"", ""description"": ""<b>버터떡</b> 프레즐 소금빵 크로플까지 음료 가격도 다른카페에 비해 저렴하더라구요! 아이들을 위한 뽀로로 음료수도 준비되어 있었답니다! 공간공간마다 이색 카페느낌이 물씬나는 디자인과 굿즈등이 있어서... "", ""bloggername"": ""소자매와 함께하는 소소하지만 의미있는 워킹맘일상"", ""bloggerlink"": ""blog.naver.com/somama86"", ""postdate"": ""20260526""}"
