canonical_keyword,keyword_set_mode,keyword,title,url,published_at,description,bloggername,bloggerlink,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload
우베,preset,우베,[공시] 공단기 모고 후기와 일상?,https://blog.naver.com/stoneprincess/224297241727,20260526,~~ 냠~ ㄹㅈㄷ 겁나 마싯다 뭔가 그 말차 쌉싸름한 맛은 덜한데 바닐라향도 나고 지이잉짜 부드럽고 마싯어요 나 이거 담에 갈 때는 한 3개는 사오려구요 맘같아선 30개 사오고싶엉ㅅ 여러분 <b>우베</b>는 무조건 투썸!... ,無題,blog.naver.com/stoneprincess,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,無題,~~ 냠~ ㄹㅈㄷ 겁나 마싯다 뭔가 그 말차 쌉싸름한 맛은 덜한데 바닐라향도 나고 지이잉짜 부드럽고 마싯어요 나 이거 담에 갈 때는 한 3개는 사오려구요 맘같아선 30개 사오고싶엉ㅅ 여러분 <b>우베</b>는 무조건 투썸!... ,"{""title"": ""[공시] 공단기 모고 후기와 일상?"", ""link"": ""https://blog.naver.com/stoneprincess/224297241727"", ""description"": ""~~ 냠~ ㄹㅈㄷ 겁나 마싯다 뭔가 그 말차 쌉싸름한 맛은 덜한데 바닐라향도 나고 지이잉짜 부드럽고 마싯어요 나 이거 담에 갈 때는 한 3개는 사오려구요 맘같아선 30개 사오고싶엉ㅅ 여러분 <b>우베</b>는 무조건 투썸!... "", ""bloggername"": ""無題"", ""bloggerlink"": ""blog.naver.com/stoneprincess"", ""postdate"": ""20260526""}"
우베,preset,우베,"청주 디저트 추천 수제케이크 맛집 율량동 '봄브레드' (종류, 가격)",https://blog.naver.com/bylee19/224297241605,20260526,"7,800원 <b>우베</b>치즈군고구마무스 7,800원 생일케이크 픽 추가 5,000원 짭짤이 감자치즈빵 3,800원 옥슈슈 3,500원 우리가 주문한 메뉴 오랜만에 골고루 케이크 주문했어요. 개인적으로 <b>우베</b>구마 너무 맛있었고... ",부엉쓰 일상 블로그,blog.naver.com/bylee19,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,부엉쓰 일상 블로그,"7,800원 <b>우베</b>치즈군고구마무스 7,800원 생일케이크 픽 추가 5,000원 짭짤이 감자치즈빵 3,800원 옥슈슈 3,500원 우리가 주문한 메뉴 오랜만에 골고루 케이크 주문했어요. 개인적으로 <b>우베</b>구마 너무 맛있었고... ","{""title"": ""청주 디저트 추천 수제케이크 맛집 율량동 '봄브레드' (종류, 가격)"", ""link"": ""https://blog.naver.com/bylee19/224297241605"", ""description"": ""7,800원 <b>우베</b>치즈군고구마무스 7,800원 생일케이크 픽 추가 5,000원 짭짤이 감자치즈빵 3,800원 옥슈슈 3,500원 우리가 주문한 메뉴 오랜만에 골고루 케이크 주문했어요. 개인적으로 <b>우베</b>구마 너무 맛있었고... "", ""bloggername"": ""부엉쓰 일상 블로그"", ""bloggerlink"": ""blog.naver.com/bylee19"", ""postdate"": ""20260526""}"
우베,preset,우베,[뉴욕 여행] 5월은 may죠 mayday는 도와달라는 뜻입니다... ,https://blog.naver.com/jsh042100/224297240291,20260526,이 날은 뉴요커 동생과 만나기로 한 날이라서 만났어염 나는 아아 시켰는데 얘는 에스프레소시킴 뭔 소주잔에 커피를 주네 아아는 보리차 수준으로 연했음 저도 유명한 <b>우베</b>크림 먹어봤떠연 약간 자색고구마... ,요즘에는별별별,blog.naver.com/jsh042100,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,요즘에는별별별,이 날은 뉴요커 동생과 만나기로 한 날이라서 만났어염 나는 아아 시켰는데 얘는 에스프레소시킴 뭔 소주잔에 커피를 주네 아아는 보리차 수준으로 연했음 저도 유명한 <b>우베</b>크림 먹어봤떠연 약간 자색고구마... ,"{""title"": ""[뉴욕 여행] 5월은 may죠 mayday는 도와달라는 뜻입니다... "", ""link"": ""https://blog.naver.com/jsh042100/224297240291"", ""description"": ""이 날은 뉴요커 동생과 만나기로 한 날이라서 만났어염 나는 아아 시켰는데 얘는 에스프레소시킴 뭔 소주잔에 커피를 주네 아아는 보리차 수준으로 연했음 저도 유명한 <b>우베</b>크림 먹어봤떠연 약간 자색고구마... "", ""bloggername"": ""요즘에는별별별"", ""bloggerlink"": ""blog.naver.com/jsh042100"", ""postdate"": ""20260526""}"
우베,preset,우베,대전 동구 낭월동 &lt;cafe 길우&gt;,https://blog.naver.com/bouna7/224297239598,20260526,"이건 블랙 사파이어 <b>우베</b> 빙수 생과일 인데요~ 신메뉴라고 사장님께서 추천 해 주셨어요!!! 너무 고급스럽고 맛있어서 한입에 다 헤치웠답니다~ (*길우 사장님, 다음에 또 추천 해 주세요!) 오늘도 어김없이 찰칵... ",지니의 하루,blog.naver.com/bouna7,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,지니의 하루,"이건 블랙 사파이어 <b>우베</b> 빙수 생과일 인데요~ 신메뉴라고 사장님께서 추천 해 주셨어요!!! 너무 고급스럽고 맛있어서 한입에 다 헤치웠답니다~ (*길우 사장님, 다음에 또 추천 해 주세요!) 오늘도 어김없이 찰칵... ","{""title"": ""대전 동구 낭월동 &lt;cafe 길우&gt;"", ""link"": ""https://blog.naver.com/bouna7/224297239598"", ""description"": ""이건 블랙 사파이어 <b>우베</b> 빙수 생과일 인데요~ 신메뉴라고 사장님께서 추천 해 주셨어요!!! 너무 고급스럽고 맛있어서 한입에 다 헤치웠답니다~ (*길우 사장님, 다음에 또 추천 해 주세요!) 오늘도 어김없이 찰칵... "", ""bloggername"": ""지니의 하루"", ""bloggerlink"": ""blog.naver.com/bouna7"", ""postdate"": ""20260526""}"
우베,preset,우베,압구정카페 도산공원카페 <b>우베</b>신메뉴 추천 노티드 청담,https://blog.naver.com/choibi_89/224297235177,20260526,요즘 말차 다음으로 디저트에서 많이 사용되는 재료가 <b>우베</b>인데 그래서 카페나 베이커리에 가면 신메뉴로 으베 디저트를 많이 선보이고 있더라고요 압구정카페 압구정디저트로 유명한 노티드에서도 <b>우베</b>를... ,온세상 신나는 이야기,blog.naver.com/choibi_89,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,온세상 신나는 이야기,요즘 말차 다음으로 디저트에서 많이 사용되는 재료가 <b>우베</b>인데 그래서 카페나 베이커리에 가면 신메뉴로 으베 디저트를 많이 선보이고 있더라고요 압구정카페 압구정디저트로 유명한 노티드에서도 <b>우베</b>를... ,"{""title"": ""압구정카페 도산공원카페 <b>우베</b>신메뉴 추천 노티드 청담"", ""link"": ""https://blog.naver.com/choibi_89/224297235177"", ""description"": ""요즘 말차 다음으로 디저트에서 많이 사용되는 재료가 <b>우베</b>인데 그래서 카페나 베이커리에 가면 신메뉴로 으베 디저트를 많이 선보이고 있더라고요 압구정카페 압구정디저트로 유명한 노티드에서도 <b>우베</b>를... "", ""bloggername"": ""온세상 신나는 이야기"", ""bloggerlink"": ""blog.naver.com/choibi_89"", ""postdate"": ""20260526""}"
우베,preset,우베,충북대 맛집 카페 포케 맛있는 읍천리382 충북대점 다이어트,https://blog.naver.com/lululu5432/224297234419,20260526,"특히 요즘 유행하는 <b>우베</b>라떼까지 종류가 많아서 고르는 재미가 있었어요!!! 특히, 샐러드 메뉴가 정말 다양하더라고요!!! 무러 먹을까 고민하다가 오늘은 닭가슴살 포케 샐러드 (12600원), 치킨텐더 포케... ",룰라,blog.naver.com/lululu5432,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,룰라,"특히 요즘 유행하는 <b>우베</b>라떼까지 종류가 많아서 고르는 재미가 있었어요!!! 특히, 샐러드 메뉴가 정말 다양하더라고요!!! 무러 먹을까 고민하다가 오늘은 닭가슴살 포케 샐러드 (12600원), 치킨텐더 포케... ","{""title"": ""충북대 맛집 카페 포케 맛있는 읍천리382 충북대점 다이어트"", ""link"": ""https://blog.naver.com/lululu5432/224297234419"", ""description"": ""특히 요즘 유행하는 <b>우베</b>라떼까지 종류가 많아서 고르는 재미가 있었어요!!! 특히, 샐러드 메뉴가 정말 다양하더라고요!!! 무러 먹을까 고민하다가 오늘은 닭가슴살 포케 샐러드 (12600원), 치킨텐더 포케... "", ""bloggername"": ""룰라"", ""bloggerlink"": ""blog.naver.com/lululu5432"", ""postdate"": ""20260526""}"
우베,preset,우베,공주여행_아이들과 계룡산 동학사에서 부처님 오신 연휴를... ,https://blog.naver.com/becoming_mother/224297233518,20260526,산행 후엔 디저트 at 투썸플레이스 / <b>우베</b> 치즈케이크 동학사에 다녀오는 건 한 시간 정도 걸렸어요.... (이날 정말 더웠거든요.) 새로 나온 신상 케이크 있길래 맛봤는데 &lt;바스크 치즈케이크 <b>우베</b>&gt; <b>우베</b>가 뭔지는... ,"Bon voyage, Collect!",blog.naver.com/becoming_mother,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,"Bon voyage, Collect!",산행 후엔 디저트 at 투썸플레이스 / <b>우베</b> 치즈케이크 동학사에 다녀오는 건 한 시간 정도 걸렸어요.... (이날 정말 더웠거든요.) 새로 나온 신상 케이크 있길래 맛봤는데 &lt;바스크 치즈케이크 <b>우베</b>&gt; <b>우베</b>가 뭔지는... ,"{""title"": ""공주여행_아이들과 계룡산 동학사에서 부처님 오신 연휴를... "", ""link"": ""https://blog.naver.com/becoming_mother/224297233518"", ""description"": ""산행 후엔 디저트 at 투썸플레이스 / <b>우베</b> 치즈케이크 동학사에 다녀오는 건 한 시간 정도 걸렸어요.... (이날 정말 더웠거든요.) 새로 나온 신상 케이크 있길래 맛봤는데 &lt;바스크 치즈케이크 <b>우베</b>&gt; <b>우베</b>가 뭔지는... "", ""bloggername"": ""Bon voyage, Collect!"", ""bloggerlink"": ""blog.naver.com/becoming_mother"", ""postdate"": ""20260526""}"
우베,preset,우베,[부산 해운대] “라푀유 신세계백화점 센텀시티점” 빵지순례... ,https://blog.naver.com/gourmet_h/224297232110,20260526,"빵집 <b>우베</b> 크림 식빵 우유크림 식빵 크림이 들어간 실타래 식빵도 있는데 요즘 핫한 <b>우베</b> 크림, 우유 크림 두 종류가 있었어요 실타래 소금 크로와상 실타래 소금 식빵 <b>우베</b> 크림 실타래 식빵 명란 실타래 소금빵... ",작은 미식가의 일기✨,blog.naver.com/gourmet_h,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,작은 미식가의 일기✨,"빵집 <b>우베</b> 크림 식빵 우유크림 식빵 크림이 들어간 실타래 식빵도 있는데 요즘 핫한 <b>우베</b> 크림, 우유 크림 두 종류가 있었어요 실타래 소금 크로와상 실타래 소금 식빵 <b>우베</b> 크림 실타래 식빵 명란 실타래 소금빵... ","{""title"": ""[부산 해운대] “라푀유 신세계백화점 센텀시티점” 빵지순례... "", ""link"": ""https://blog.naver.com/gourmet_h/224297232110"", ""description"": ""빵집 <b>우베</b> 크림 식빵 우유크림 식빵 크림이 들어간 실타래 식빵도 있는데 요즘 핫한 <b>우베</b> 크림, 우유 크림 두 종류가 있었어요 실타래 소금 크로와상 실타래 소금 식빵 <b>우베</b> 크림 실타래 식빵 명란 실타래 소금빵... "", ""bloggername"": ""작은 미식가의 일기✨"", ""bloggerlink"": ""blog.naver.com/gourmet_h"", ""postdate"": ""20260526""}"
우베,preset,우베,!?,https://blog.naver.com/yeeebeen/224297232852,20260526,너무 이뻐 죽겠어~ 호접 미래 내 부케로 당첨이야 정말 샘플에는 내가 좋아하는 꽃만 넣기 어느 날의 마감 준비 <b>우베</b>가 유행이길래 왜이렇게 맛있는건데 ~ 유행할만 해  거울이 덩그러니-있길래 찍어봄 가격표... ,on.odi,blog.naver.com/yeeebeen,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,on.odi,너무 이뻐 죽겠어~ 호접 미래 내 부케로 당첨이야 정말 샘플에는 내가 좋아하는 꽃만 넣기 어느 날의 마감 준비 <b>우베</b>가 유행이길래 왜이렇게 맛있는건데 ~ 유행할만 해  거울이 덩그러니-있길래 찍어봄 가격표... ,"{""title"": ""!?"", ""link"": ""https://blog.naver.com/yeeebeen/224297232852"", ""description"": ""너무 이뻐 죽겠어~ 호접 미래 내 부케로 당첨이야 정말 샘플에는 내가 좋아하는 꽃만 넣기 어느 날의 마감 준비 <b>우베</b>가 유행이길래 왜이렇게 맛있는건데 ~ 유행할만 해  거울이 덩그러니-있길래 찍어봄 가격표... "", ""bloggername"": ""on.odi"", ""bloggerlink"": ""blog.naver.com/yeeebeen"", ""postdate"": ""20260526""}"
우베,preset,우베,삼성역 단체회식 맛집 할매기름집 삼성점 가성비 야장 술집 후기,https://blog.naver.com/flower_cy/224297227507,20260526,"기존 막걸리집 느낌보다는 트렌디하게 재해석한 느낌이라 무조건 만족할 수밖에 없는 삼성역 맛집이에유..♥️ 전 뿐만 아니라 막걸리도 <b>우베</b>막걸리, 말차막걸리, 국순당 쌀 막걸리, 송명섭막걸리, 복순도가... ",제로는 못말려,blog.naver.com/flower_cy,naver_blog,우베,canonical,1.0,2026-05-26T12:33:02.670659+00:00,0,0,0,0,제로는 못말려,"기존 막걸리집 느낌보다는 트렌디하게 재해석한 느낌이라 무조건 만족할 수밖에 없는 삼성역 맛집이에유..♥️ 전 뿐만 아니라 막걸리도 <b>우베</b>막걸리, 말차막걸리, 국순당 쌀 막걸리, 송명섭막걸리, 복순도가... ","{""title"": ""삼성역 단체회식 맛집 할매기름집 삼성점 가성비 야장 술집 후기"", ""link"": ""https://blog.naver.com/flower_cy/224297227507"", ""description"": ""기존 막걸리집 느낌보다는 트렌디하게 재해석한 느낌이라 무조건 만족할 수밖에 없는 삼성역 맛집이에유..♥️ 전 뿐만 아니라 막걸리도 <b>우베</b>막걸리, 말차막걸리, 국순당 쌀 막걸리, 송명섭막걸리, 복순도가... "", ""bloggername"": ""제로는 못말려"", ""bloggerlink"": ""blog.naver.com/flower_cy"", ""postdate"": ""20260526""}"
