canonical_keyword,keyword_set_mode,keyword,video_id,title,published_at,view_count,like_count,comment_count,url,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload,description,originallink,bloggername,bloggerlink
우베,preset,우베,tRgHLDEOcvY,우베 크런치볼 #shorts,2026-05-26T11:03:41Z,444.0,1.0,0.0,https://www.youtube.com/watch?v=tRgHLDEOcvY,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,444,1,0,1,민 min,#shorts,"{""kind"": ""youtube#video"", ""etag"": ""GRP2TcL9RQZQux4hMQBmDd0PYzw"", ""id"": ""tRgHLDEOcvY"", ""snippet"": {""publishedAt"": ""2026-05-26T11:03:41Z"", ""channelId"": ""UC2gug-gaiKCBPFKdAAe9h1g"", ""title"": ""우베 크런치볼 #shorts"", ""description"": ""#shorts"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/tRgHLDEOcvY/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/tRgHLDEOcvY/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/tRgHLDEOcvY/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/tRgHLDEOcvY/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/tRgHLDEOcvY/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""민 min"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""우베 크런치볼 #shorts"", ""description"": ""#shorts""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""444"", ""likeCount"": ""1"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
우베,preset,우베,9LHDA61WZwo,My first ever Ube Cheese Pandesal #fypyoutube #fypシ #fypシ゚viral,2026-05-26T10:20:19Z,416.0,1.0,0.0,https://www.youtube.com/watch?v=9LHDA61WZwo,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,416,1,0,1,Simply Rie,,"{""kind"": ""youtube#video"", ""etag"": ""S_9RzOL67bjT2oDIOohdU0nLq7s"", ""id"": ""9LHDA61WZwo"", ""snippet"": {""publishedAt"": ""2026-05-26T10:20:19Z"", ""channelId"": ""UCxg6ypTA8I7_2E53SHQh_lg"", ""title"": ""My first ever Ube Cheese Pandesal #fypyoutube #fypシ #fypシ゚viral"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/9LHDA61WZwo/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/9LHDA61WZwo/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/9LHDA61WZwo/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/9LHDA61WZwo/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/9LHDA61WZwo/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""Simply Rie"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ja"", ""localized"": {""title"": ""My first ever Ube Cheese Pandesal #fypyoutube #fypシ #fypシ゚viral"", ""description"": """"}, ""defaultAudioLanguage"": ""en""}, ""statistics"": {""viewCount"": ""416"", ""likeCount"": ""1"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
우베,preset,우베,t77KE44fTBo,비주얼 충격! 편의점 보라색 떡의 정체??!! #우베,2026-05-26T10:00:38Z,1486.0,57.0,4.0,https://www.youtube.com/watch?v=t77KE44fTBo,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,1486,57,4,61,간니닌니 패밀리,,"{""kind"": ""youtube#video"", ""etag"": ""eU9xwDcAhLb2Ctx2wvRSSaqVzoI"", ""id"": ""t77KE44fTBo"", ""snippet"": {""publishedAt"": ""2026-05-26T10:00:38Z"", ""channelId"": ""UCucybMZtilvYSg2_f3eAIHg"", ""title"": ""비주얼 충격! 편의점 보라색 떡의 정체??!! #우베"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/t77KE44fTBo/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/t77KE44fTBo/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/t77KE44fTBo/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/t77KE44fTBo/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/t77KE44fTBo/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""간니닌니 패밀리"", ""categoryId"": ""24"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""비주얼 충격! 편의점 보라색 떡의 정체??!! #우베"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""1486"", ""likeCount"": ""57"", ""favoriteCount"": ""0"", ""commentCount"": ""4""}}",,,,
우베,preset,우베,RtNLdEvIUVw,My Filipina Made Delicious Ube Coffee Cake #filipinofood #filipinodessert #filipinocooks,2026-05-26T09:26:56Z,0.0,0.0,0.0,https://www.youtube.com/watch?v=RtNLdEvIUVw,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,0,0,0,0,Kevin & Jam's vlog,My Filipina wife made a delicious Ube coffee cake. She can cook almost anything. #coffeecake #filipinofood #filipinodessert #filipinocuisine #delicious,"{""kind"": ""youtube#video"", ""etag"": ""5lsNVxZDDJ0kzQO_kzaR1gQluQ8"", ""id"": ""RtNLdEvIUVw"", ""snippet"": {""publishedAt"": ""2026-05-26T09:26:56Z"", ""channelId"": ""UCj_EnNydbJCBefDP5Kzxd7Q"", ""title"": ""My Filipina Made Delicious Ube Coffee Cake #filipinofood #filipinodessert #filipinocooks"", ""description"": ""My Filipina wife made a delicious Ube coffee cake. She can cook almost anything. #coffeecake #filipinofood #filipinodessert #filipinocuisine #delicious"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/RtNLdEvIUVw/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/RtNLdEvIUVw/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/RtNLdEvIUVw/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/RtNLdEvIUVw/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/RtNLdEvIUVw/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""Kevin & Jam's vlog"", ""categoryId"": ""19"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""en-US"", ""localized"": {""title"": ""My Filipina Made Delicious Ube Coffee Cake #filipinofood #filipinodessert #filipinocooks"", ""description"": ""My Filipina wife made a delicious Ube coffee cake. She can cook almost anything. #coffeecake #filipinofood #filipinodessert #filipinocuisine #delicious""}, ""defaultAudioLanguage"": ""en-US""}, ""statistics"": {""viewCount"": ""0"", ""likeCount"": ""0"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
우베,preset,우베,k7-r1tTJ7a0,연세우유 우베 생크림빵 #cu편의점 #신메뉴 #연세우유,2026-05-26T09:00:16Z,1.0,0.0,0.0,https://www.youtube.com/watch?v=k7-r1tTJ7a0,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,1,0,0,0,산만한 흐주,#asmr #mukbang #우베,"{""kind"": ""youtube#video"", ""etag"": ""PV5V-vvfSVvA2ZI7IiSYKUKJX6U"", ""id"": ""k7-r1tTJ7a0"", ""snippet"": {""publishedAt"": ""2026-05-26T09:00:16Z"", ""channelId"": ""UCsbAdaRJIwMwPtmfutaUV9A"", ""title"": ""연세우유 우베 생크림빵 #cu편의점 #신메뉴 #연세우유"", ""description"": ""#asmr #mukbang #우베"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/k7-r1tTJ7a0/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/k7-r1tTJ7a0/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/k7-r1tTJ7a0/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/k7-r1tTJ7a0/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/k7-r1tTJ7a0/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""산만한 흐주"", ""tags"": [""cu편의점"", ""신메뉴"", ""asmr"", ""연세우유"", ""우베"", ""생크림빵"", ""우베생크림빵"", ""연세우유우베생크림빵""], ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""연세우유 우베 생크림빵 #cu편의점 #신메뉴 #연세우유"", ""description"": ""#asmr #mukbang #우베""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""1"", ""likeCount"": ""0"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
우베,preset,우베,bImElAsFlX0,요즘 카페마다 보이는 보라색의 정체,2026-05-26T08:30:22Z,931.0,6.0,0.0,https://www.youtube.com/watch?v=bImElAsFlX0,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,931,6,0,6,썰템방,"해당 영상의 관련 제품은 프로필 링크 클릭하셔서 028번 확인하시면 됩니다 :)

카페 말차 다음은 우베라고?
투썸 3일 만에 비커피 음료 1위 찍은 그 재료.

🟣 우베가 몸에 좋은 이유
✔ 안토시아닌 — 강력한 항산화 효과
✔ 식이섬유 풍부 — 장 건강에 도움
✔ 콜레스테롤 수치 저하에 도움
✔ 만성 염증 억제 효과
✔ 카페인 없음 — 누구나 부담 없이

🟣 우베 라떼 홈카페 레시피
1. 우베 파우더 1~2스푼 + 따뜻한 물 30ml 잘 녹이기
2. 우유를 데우거나 (핫) 얼음 넣거나 (아이스) 취향대로
3. 우유 위에 우베 베이스 부어주면 끝

💡 연유 추가하면 더 진하고 달달해요!

#우베 #우베라떼 #카페트렌드 #홈카페 #쇼핑쇼츠","{""kind"": ""youtube#video"", ""etag"": ""MvrvmjJsb2fsIIJ0rVMvNp9F9Vg"", ""id"": ""bImElAsFlX0"", ""snippet"": {""publishedAt"": ""2026-05-26T08:30:22Z"", ""channelId"": ""UCKlt4SLC3Aj2aDC454ccl3w"", ""title"": ""요즘 카페마다 보이는 보라색의 정체"", ""description"": ""해당 영상의 관련 제품은 프로필 링크 클릭하셔서 028번 확인하시면 됩니다 :)\n\n카페 말차 다음은 우베라고?\n투썸 3일 만에 비커피 음료 1위 찍은 그 재료.\n\n🟣 우베가 몸에 좋은 이유\n✔ 안토시아닌 — 강력한 항산화 효과\n✔ 식이섬유 풍부 — 장 건강에 도움\n✔ 콜레스테롤 수치 저하에 도움\n✔ 만성 염증 억제 효과\n✔ 카페인 없음 — 누구나 부담 없이\n\n🟣 우베 라떼 홈카페 레시피\n1. 우베 파우더 1~2스푼 + 따뜻한 물 30ml 잘 녹이기\n2. 우유를 데우거나 (핫) 얼음 넣거나 (아이스) 취향대로\n3. 우유 위에 우베 베이스 부어주면 끝\n\n💡 연유 추가하면 더 진하고 달달해요!\n\n#우베 #우베라떼 #카페트렌드 #홈카페 #쇼핑쇼츠"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/bImElAsFlX0/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/bImElAsFlX0/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/bImElAsFlX0/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/bImElAsFlX0/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/bImElAsFlX0/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""썰템방"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""요즘 카페마다 보이는 보라색의 정체"", ""description"": ""해당 영상의 관련 제품은 프로필 링크 클릭하셔서 028번 확인하시면 됩니다 :)\n\n카페 말차 다음은 우베라고?\n투썸 3일 만에 비커피 음료 1위 찍은 그 재료.\n\n🟣 우베가 몸에 좋은 이유\n✔ 안토시아닌 — 강력한 항산화 효과\n✔ 식이섬유 풍부 — 장 건강에 도움\n✔ 콜레스테롤 수치 저하에 도움\n✔ 만성 염증 억제 효과\n✔ 카페인 없음 — 누구나 부담 없이\n\n🟣 우베 라떼 홈카페 레시피\n1. 우베 파우더 1~2스푼 + 따뜻한 물 30ml 잘 녹이기\n2. 우유를 데우거나 (핫) 얼음 넣거나 (아이스) 취향대로\n3. 우유 위에 우베 베이스 부어주면 끝\n\n💡 연유 추가하면 더 진하고 달달해요!\n\n#우베 #우베라떼 #카페트렌드 #홈카페 #쇼핑쇼츠""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""931"", ""likeCount"": ""6"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
우베,preset,우베,4azSH1uNDyk,트레이더스 가시면 ‘이것’ 제발 꼭 드세요 #우베선데이아이스크림 #트레이더스신상,2026-05-26T08:17:19Z,1337.0,7.0,1.0,https://www.youtube.com/watch?v=4azSH1uNDyk,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,1337,7,1,8,방구석마트모아,"트레이더스 가면 ‘이것’ 제발 꼭 드세요!!

지난번 난리 났던 우베라떼에 이어서
이번엔 푸드코트에 우베 선데이가 나왔어요! 💜

가격은 단돈 2,500원인데 퀄리티가 미쳤습니다..🔥
무려 상하목장 우유로 만든 아이스크림이라
특유의 부드럽고 쫀쫀한 우유 풍미가 대박인데,
그 위에 고소달달한 보라색 우베 시럽이 듬뿍! 🍦

조합이 너무 좋아서 솔직히 전 우베라떼보다
이게 훨씬 더 맛있더라고요? (진심 백 퍼센트)

이번 주말에 트레이더스 쇼핑 가시면
푸드코트 들러서 1인 1아이스크림 필수입니다 🏃‍♂️💨

————————————————
✨ 더 많은 신상 정보는 @방구석마트모아 팔로우!
————————————————

#트레이더스신상 #우베선데이 #트레이더스추천 #이마트트레이더스  #트레이더스푸드코트","{""kind"": ""youtube#video"", ""etag"": ""4JvIFoX9T7TELwn3NBlWK_FRggk"", ""id"": ""4azSH1uNDyk"", ""snippet"": {""publishedAt"": ""2026-05-26T08:17:19Z"", ""channelId"": ""UCTMiV48tczGnygwwdXG3uow"", ""title"": ""트레이더스 가시면 ‘이것’ 제발 꼭 드세요 #우베선데이아이스크림 #트레이더스신상"", ""description"": ""트레이더스 가면 ‘이것’ 제발 꼭 드세요!!\n\n지난번 난리 났던 우베라떼에 이어서\n이번엔 푸드코트에 우베 선데이가 나왔어요! 💜\n\n가격은 단돈 2,500원인데 퀄리티가 미쳤습니다..🔥\n무려 상하목장 우유로 만든 아이스크림이라\n특유의 부드럽고 쫀쫀한 우유 풍미가 대박인데,\n그 위에 고소달달한 보라색 우베 시럽이 듬뿍! 🍦\n\n조합이 너무 좋아서 솔직히 전 우베라떼보다\n이게 훨씬 더 맛있더라고요? (진심 백 퍼센트)\n\n이번 주말에 트레이더스 쇼핑 가시면\n푸드코트 들러서 1인 1아이스크림 필수입니다 🏃‍♂️💨\n\n————————————————\n✨ 더 많은 신상 정보는 @방구석마트모아 팔로우!\n————————————————\n\n#트레이더스신상 #우베선데이 #트레이더스추천 #이마트트레이더스  #트레이더스푸드코트"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/4azSH1uNDyk/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/4azSH1uNDyk/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/4azSH1uNDyk/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/4azSH1uNDyk/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/4azSH1uNDyk/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""방구석마트모아"", ""tags"": [""트레이더스"", ""트레이더스신상"", ""신상"", ""마트신상"", ""트레이더스추천템"", ""이마트트레이더스""], ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""트레이더스 가시면 ‘이것’ 제발 꼭 드세요 #우베선데이아이스크림 #트레이더스신상"", ""description"": ""트레이더스 가면 ‘이것’ 제발 꼭 드세요!!\n\n지난번 난리 났던 우베라떼에 이어서\n이번엔 푸드코트에 우베 선데이가 나왔어요! 💜\n\n가격은 단돈 2,500원인데 퀄리티가 미쳤습니다..🔥\n무려 상하목장 우유로 만든 아이스크림이라\n특유의 부드럽고 쫀쫀한 우유 풍미가 대박인데,\n그 위에 고소달달한 보라색 우베 시럽이 듬뿍! 🍦\n\n조합이 너무 좋아서 솔직히 전 우베라떼보다\n이게 훨씬 더 맛있더라고요? (진심 백 퍼센트)\n\n이번 주말에 트레이더스 쇼핑 가시면\n푸드코트 들러서 1인 1아이스크림 필수입니다 🏃‍♂️💨\n\n————————————————\n✨ 더 많은 신상 정보는 @방구석마트모아 팔로우!\n————————————————\n\n#트레이더스신상 #우베선데이 #트레이더스추천 #이마트트레이더스  #트레이더스푸드코트""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""1337"", ""likeCount"": ""7"", ""favoriteCount"": ""0"", ""commentCount"": ""1""}}",,,,
우베,preset,우베,9auVpPdtq8I,Ube Milk Shake easy recipe,2026-05-26T06:12:01Z,24.0,1.0,0.0,https://www.youtube.com/watch?v=9auVpPdtq8I,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,24,1,0,1,Jamaica Bacus,,"{""kind"": ""youtube#video"", ""etag"": ""r0LhnF3dQucMqmNN42d5mzlObrs"", ""id"": ""9auVpPdtq8I"", ""snippet"": {""publishedAt"": ""2026-05-26T06:12:01Z"", ""channelId"": ""UClD0J80YBnWm1NH5s5P7mbg"", ""title"": ""Ube Milk Shake easy recipe"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/9auVpPdtq8I/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/9auVpPdtq8I/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/9auVpPdtq8I/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/9auVpPdtq8I/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/9auVpPdtq8I/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""Jamaica Bacus"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""en"", ""localized"": {""title"": ""Ube Milk Shake easy recipe"", ""description"": """"}, ""defaultAudioLanguage"": ""und""}, ""statistics"": {""viewCount"": ""24"", ""likeCount"": ""1"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
우베,preset,우베,7ahjlrrYUQI,Ube chips,2026-05-26T05:43:14Z,303.0,4.0,0.0,https://www.youtube.com/watch?v=7ahjlrrYUQI,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,303,4,0,4,Khru Jhane Mix Vlog,,"{""kind"": ""youtube#video"", ""etag"": ""Py8FuLCLj-9QQlGmSaPtI226z6o"", ""id"": ""7ahjlrrYUQI"", ""snippet"": {""publishedAt"": ""2026-05-26T05:43:14Z"", ""channelId"": ""UCAIAw1cF-vbK9nx3UtQz7bw"", ""title"": ""Ube chips"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/7ahjlrrYUQI/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/7ahjlrrYUQI/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/7ahjlrrYUQI/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/7ahjlrrYUQI/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/7ahjlrrYUQI/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""Khru Jhane Mix Vlog"", ""categoryId"": ""24"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""th"", ""localized"": {""title"": ""Ube chips"", ""description"": """"}, ""defaultAudioLanguage"": ""en""}, ""statistics"": {""viewCount"": ""303"", ""likeCount"": ""4"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
우베,preset,우베,yzBhEhE4qUs,Hopia ube flavor at saka mongo,2026-05-26T04:45:08Z,71.0,1.0,0.0,https://www.youtube.com/watch?v=yzBhEhE4qUs,youtube,우베,canonical,1.0,2026-05-26T11:37:41.982600+00:00,71,1,0,1,Ms Chel TV,,"{""kind"": ""youtube#video"", ""etag"": ""c6wWyP66TQwJClkj2ZbJoT477Ag"", ""id"": ""yzBhEhE4qUs"", ""snippet"": {""publishedAt"": ""2026-05-26T04:45:08Z"", ""channelId"": ""UCEqupfE4iA1T9ToTwIelSjQ"", ""title"": ""Hopia ube flavor at saka mongo"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/yzBhEhE4qUs/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/yzBhEhE4qUs/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/yzBhEhE4qUs/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/yzBhEhE4qUs/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/yzBhEhE4qUs/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""Ms Chel TV"", ""categoryId"": ""19"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""en"", ""localized"": {""title"": ""Hopia ube flavor at saka mongo"", ""description"": """"}, ""defaultAudioLanguage"": ""und""}, ""statistics"": {""viewCount"": ""71"", ""likeCount"": ""1"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}",,,,
