canonical_keyword,keyword_set_mode,keyword,video_id,title,published_at,view_count,like_count,comment_count,url,source,term,term_type,term_weight,collected_at,views,likes,comments,engagements,author,snippet,raw_payload
왁뿌볼,preset,왁뿌볼,DTJUWbO_3zU,왁뿌볼 사러 나가는 메이크업 🍋 #세터데이스킨 #협찬 #메이크업,2026-06-14T04:08:43Z,10,0,0,https://www.youtube.com/watch?v=DTJUWbO_3zU,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,10,0,0,0,마미니 mamini,,"{""kind"": ""youtube#video"", ""etag"": ""dbVsM2z1TKEF5KviApZUc7Avf8E"", ""id"": ""DTJUWbO_3zU"", ""snippet"": {""publishedAt"": ""2026-06-14T04:08:43Z"", ""channelId"": ""UCOkql4U7kspnooyFZX48uGg"", ""title"": ""왁뿌볼 사러 나가는 메이크업 🍋 #세터데이스킨 #협찬 #메이크업"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/DTJUWbO_3zU/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/DTJUWbO_3zU/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/DTJUWbO_3zU/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/DTJUWbO_3zU/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/DTJUWbO_3zU/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""마미니 mamini"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""왁뿌볼 사러 나가는 메이크업 🍋 #세터데이스킨 #협찬 #메이크업"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""10"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}"
왁뿌볼,preset,왁뿌볼,vvtTQWU7lmQ,왁뿌볼도 있고 짱부부도 있는 완구시장,2026-06-14T04:02:25Z,322,2,0,https://www.youtube.com/watch?v=vvtTQWU7lmQ,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,322,2,0,2,방랑객 까를라,#창신동문구완구시장,"{""kind"": ""youtube#video"", ""etag"": ""Bjc-Uxnxkf0romPC9X8-OzyYTf4"", ""id"": ""vvtTQWU7lmQ"", ""snippet"": {""publishedAt"": ""2026-06-14T04:02:25Z"", ""channelId"": ""UC9AiSjQNSs3pinwbtf2YYyA"", ""title"": ""왁뿌볼도 있고 짱부부도 있는 완구시장"", ""description"": ""#창신동문구완구시장"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/vvtTQWU7lmQ/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/vvtTQWU7lmQ/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/vvtTQWU7lmQ/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/vvtTQWU7lmQ/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/vvtTQWU7lmQ/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""방랑객 까를라"", ""categoryId"": ""19"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""왁뿌볼도 있고 짱부부도 있는 완구시장"", ""description"": ""#창신동문구완구시장""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""322"", ""likeCount"": ""2"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}"
왁뿌볼,preset,왁뿌볼,7e8StlVEU8w,✨크런치 도넛 왁뿌볼 ASMR✨Crunchy Donut Wax Ball ASMR #toyasmr,2026-06-14T04:02:06Z,266,4,2,https://www.youtube.com/watch?v=7e8StlVEU8w,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,266,4,2,6,주황스마일,"재밌게 보셨으면 구독과 좋아요 눌러주세요👍🏻🩵🫶🏻

#왁뿌 #왁뿌볼 #말랑이 #스퀴시 #스트레스볼 #asmr #toys #toyasmr","{""kind"": ""youtube#video"", ""etag"": ""yoKx64qCkFuRfZhxet6SFOKh9aY"", ""id"": ""7e8StlVEU8w"", ""snippet"": {""publishedAt"": ""2026-06-14T04:02:06Z"", ""channelId"": ""UCUuYAz4Az-unFEmeT8uPoYg"", ""title"": ""✨크런치 도넛 왁뿌볼 ASMR✨Crunchy Donut Wax Ball ASMR #toyasmr"", ""description"": ""재밌게 보셨으면 구독과 좋아요 눌러주세요👍🏻🩵🫶🏻\n\n#왁뿌 #왁뿌볼 #말랑이 #스퀴시 #스트레스볼 #asmr #toys #toyasmr"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/7e8StlVEU8w/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/7e8StlVEU8w/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/7e8StlVEU8w/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/7e8StlVEU8w/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/7e8StlVEU8w/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""주황스마일"", ""tags"": [""왁뿌"", ""왁뿌볼"", ""asmr"", ""toyasmr"", ""키덜트"", ""장난감"", ""말랑이"", ""스퀴시""], ""categoryId"": ""24"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""✨크런치 도넛 왁뿌볼 ASMR✨Crunchy Donut Wax Ball ASMR #toyasmr"", ""description"": ""재밌게 보셨으면 구독과 좋아요 눌러주세요👍🏻🩵🫶🏻\n\n#왁뿌 #왁뿌볼 #말랑이 #스퀴시 #스트레스볼 #asmr #toys #toyasmr""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""266"", ""likeCount"": ""4"", ""favoriteCount"": ""0"", ""commentCount"": ""2""}}"
왁뿌볼,preset,왁뿌볼,C8FrO9JgGI8,가성비 청사과왁뿌볼 ‘청사과왁스모찌🍏' #왁뿌 #왁뿌볼 #말랑이 #슬랑이 #asmr,2026-06-14T03:47:22Z,733,5,0,https://www.youtube.com/watch?v=C8FrO9JgGI8,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,733,5,0,5,코코네놀이터kocoslime,,"{""kind"": ""youtube#video"", ""etag"": ""ZsFWdq1hSJtochwdLqfhao3qu0w"", ""id"": ""C8FrO9JgGI8"", ""snippet"": {""publishedAt"": ""2026-06-14T03:47:22Z"", ""channelId"": ""UC6Npn9jTeVl0u1l1zidfLsQ"", ""title"": ""가성비 청사과왁뿌볼 ‘청사과왁스모찌🍏' #왁뿌 #왁뿌볼 #말랑이 #슬랑이 #asmr"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/C8FrO9JgGI8/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/C8FrO9JgGI8/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/C8FrO9JgGI8/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/C8FrO9JgGI8/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/C8FrO9JgGI8/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""코코네놀이터kocoslime"", ""categoryId"": ""24"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""가성비 청사과왁뿌볼 ‘청사과왁스모찌🍏' #왁뿌 #왁뿌볼 #말랑이 #슬랑이 #asmr"", ""description"": """"}, ""defaultAudioLanguage"": ""en""}, ""statistics"": {""viewCount"": ""733"", ""likeCount"": ""5"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}"
왁뿌볼,preset,왁뿌볼,LQR5_YWvmhI,[shorts] no.41 - 왁뿌볼 첫 도전 결과는...?🤣 창신동 완구거리 쇼핑,2026-06-14T03:20:29Z,523,5,0,https://www.youtube.com/watch?v=LQR5_YWvmhI,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,523,5,0,5,쿠누네 가족 이야기 ,"* 2026.6.13.토 

창신동 완구거리에서 왁뿌볼, 말랑이 쇼핑하고 왔어요✨

처음 해보는 왁뿌볼은 생각보다 쉽지 않았지만😅
무지개 말랑이와 사장님 추천 청사과 말랑이까지 대만족!

결국 또 사러 가야겠네요😂

#창신동완구거리 #왁뿌볼 #말랑이 #말랑이언박싱
#ASMR #무지개말랑이 #청사과왁뿌볼 #완구거리","{""kind"": ""youtube#video"", ""etag"": ""g2jq4I_HN4-nrQnV2nEDnfT9Mjs"", ""id"": ""LQR5_YWvmhI"", ""snippet"": {""publishedAt"": ""2026-06-14T03:20:29Z"", ""channelId"": ""UC_9kxtCExdRCgvsCp_QJBWQ"", ""title"": ""[shorts] no.41 - 왁뿌볼 첫 도전 결과는...?🤣 창신동 완구거리 쇼핑"", ""description"": ""* 2026.6.13.토 \n\n창신동 완구거리에서 왁뿌볼, 말랑이 쇼핑하고 왔어요✨\n\n처음 해보는 왁뿌볼은 생각보다 쉽지 않았지만😅\n무지개 말랑이와 사장님 추천 청사과 말랑이까지 대만족!\n\n결국 또 사러 가야겠네요😂\n\n#창신동완구거리 #왁뿌볼 #말랑이 #말랑이언박싱\n#ASMR #무지개말랑이 #청사과왁뿌볼 #완구거리"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/LQR5_YWvmhI/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/LQR5_YWvmhI/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/LQR5_YWvmhI/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/LQR5_YWvmhI/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/LQR5_YWvmhI/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""쿠누네 가족 이야기 "", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""[shorts] no.41 - 왁뿌볼 첫 도전 결과는...?🤣 창신동 완구거리 쇼핑"", ""description"": ""* 2026.6.13.토 \n\n창신동 완구거리에서 왁뿌볼, 말랑이 쇼핑하고 왔어요✨\n\n처음 해보는 왁뿌볼은 생각보다 쉽지 않았지만😅\n무지개 말랑이와 사장님 추천 청사과 말랑이까지 대만족!\n\n결국 또 사러 가야겠네요😂\n\n#창신동완구거리 #왁뿌볼 #말랑이 #말랑이언박싱\n#ASMR #무지개말랑이 #청사과왁뿌볼 #완구거리""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""523"", ""likeCount"": ""5"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}"
왁뿌볼,preset,왁뿌볼,4k7pZw1I-ek,현대인의 스트레스는 왁뿌볼로 뿌셔! 왁뿌볼 200% 즐기는 방법 #왁뿌볼 #브이로그 #vlog #스트레스해소 #뿌셔뿌셔,2026-06-14T03:00:30Z,0,0,0,https://www.youtube.com/watch?v=4k7pZw1I-ek,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,0,0,0,0,필카피카(Filcapika),,"{""kind"": ""youtube#video"", ""etag"": ""Wwfj68Z0JgX4D10UrAMtpfXimDQ"", ""id"": ""4k7pZw1I-ek"", ""snippet"": {""publishedAt"": ""2026-06-14T03:00:30Z"", ""channelId"": ""UC10JalYipxkEKRoXhqWV9Ng"", ""title"": ""현대인의 스트레스는 왁뿌볼로 뿌셔! 왁뿌볼 200% 즐기는 방법 #왁뿌볼 #브이로그 #vlog #스트레스해소 #뿌셔뿌셔"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/4k7pZw1I-ek/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/4k7pZw1I-ek/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/4k7pZw1I-ek/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/4k7pZw1I-ek/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/4k7pZw1I-ek/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""필카피카(Filcapika)"", ""categoryId"": ""26"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""현대인의 스트레스는 왁뿌볼로 뿌셔! 왁뿌볼 200% 즐기는 방법 #왁뿌볼 #브이로그 #vlog #스트레스해소 #뿌셔뿌셔"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""0"", ""likeCount"": ""0"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}"
왁뿌볼,preset,왁뿌볼,wxJAPJ7SkUQ,“나도 드디어 왁뿌볼 터지기구했다냐옹”만두말랑,2026-06-14T02:15:12Z,580,5,0,https://www.youtube.com/watch?v=wxJAPJ7SkUQ,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,580,5,0,5,"밤우유,밤곰",,"{""kind"": ""youtube#video"", ""etag"": ""NrAc3_DlZhEKCnO4HhQqsjhKm0o"", ""id"": ""wxJAPJ7SkUQ"", ""snippet"": {""publishedAt"": ""2026-06-14T02:15:12Z"", ""channelId"": ""UC9cJp7JHcwLi3bu4MERuvCg"", ""title"": ""“나도 드디어 왁뿌볼 터지기구했다냐옹”만두말랑"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/wxJAPJ7SkUQ/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/wxJAPJ7SkUQ/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/wxJAPJ7SkUQ/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/wxJAPJ7SkUQ/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/wxJAPJ7SkUQ/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""밤우유,밤곰"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""“나도 드디어 왁뿌볼 터지기구했다냐옹”만두말랑"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""580"", ""likeCount"": ""5"", ""favoriteCount"": ""0""}}"
왁뿌볼,preset,왁뿌볼,I0q-frwl-1c,왁스로 만든 왁뿌볼,2026-06-14T01:54:04Z,479,6,0,https://www.youtube.com/watch?v=I0q-frwl-1c,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,479,6,0,6,카피바라 좋아하는 사람,,"{""kind"": ""youtube#video"", ""etag"": ""EPucz5-0ScoDQ3DTu3GGYdAH-bw"", ""id"": ""I0q-frwl-1c"", ""snippet"": {""publishedAt"": ""2026-06-14T01:54:04Z"", ""channelId"": ""UC-ccxuHRpDk0o-ztpAi9w4w"", ""title"": ""왁스로 만든 왁뿌볼"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/I0q-frwl-1c/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/I0q-frwl-1c/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/I0q-frwl-1c/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/I0q-frwl-1c/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/I0q-frwl-1c/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""카피바라 좋아하는 사람"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""왁스로 만든 왁뿌볼"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""479"", ""likeCount"": ""6"", ""favoriteCount"": ""0""}}"
왁뿌볼,preset,왁뿌볼,tJ6v1n5Gy3A,왁뿌볼,2026-06-14T01:45:33Z,291,16,22,https://www.youtube.com/watch?v=tJ6v1n5Gy3A,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,291,16,22,38,김로리,"왁뿌볼도 요즘 유행이라길래 영상으로 만듬
#병맛 #왁뿌볼","{""kind"": ""youtube#video"", ""etag"": ""gtWCYeaCa0u8T7Mhd1RFY_cNyS8"", ""id"": ""tJ6v1n5Gy3A"", ""snippet"": {""publishedAt"": ""2026-06-14T01:45:33Z"", ""channelId"": ""UC9pLmO20LJj40xZSEi7ODQA"", ""title"": ""왁뿌볼"", ""description"": ""왁뿌볼도 요즘 유행이라길래 영상으로 만듬\n#병맛 #왁뿌볼"", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/tJ6v1n5Gy3A/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/tJ6v1n5Gy3A/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/tJ6v1n5Gy3A/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/tJ6v1n5Gy3A/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/tJ6v1n5Gy3A/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""김로리"", ""tags"": [""왁뿌볼""], ""categoryId"": ""23"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""왁뿌볼"", ""description"": ""왁뿌볼도 요즘 유행이라길래 영상으로 만듬\n#병맛 #왁뿌볼""}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""291"", ""likeCount"": ""16"", ""favoriteCount"": ""0"", ""commentCount"": ""22""}}"
왁뿌볼,preset,왁뿌볼,5mKntmOHsE0,무한 왁뿌볼,2026-06-14T01:36:52Z,1086,6,0,https://www.youtube.com/watch?v=5mKntmOHsE0,youtube,왁뿌볼,canonical,1.0,2026-06-14T04:32:08.673355+00:00,1086,6,0,6,루피의 하루!!,,"{""kind"": ""youtube#video"", ""etag"": ""OogwUMhptZw1yoR8to4ZmN3wxAs"", ""id"": ""5mKntmOHsE0"", ""snippet"": {""publishedAt"": ""2026-06-14T01:36:52Z"", ""channelId"": ""UCCh2p6JtNJzzSi_o6KQXU3Q"", ""title"": ""무한 왁뿌볼"", ""description"": """", ""thumbnails"": {""default"": {""url"": ""https://i.ytimg.com/vi/5mKntmOHsE0/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/5mKntmOHsE0/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/5mKntmOHsE0/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/5mKntmOHsE0/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/5mKntmOHsE0/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}, ""channelTitle"": ""루피의 하루!!"", ""categoryId"": ""22"", ""liveBroadcastContent"": ""none"", ""defaultLanguage"": ""ko"", ""localized"": {""title"": ""무한 왁뿌볼"", ""description"": """"}, ""defaultAudioLanguage"": ""ko""}, ""statistics"": {""viewCount"": ""1086"", ""likeCount"": ""6"", ""favoriteCount"": ""0"", ""commentCount"": ""0""}}"
