date,trend_index,mention_index,view_index,engagement_index,source_index
2026-04-27,15.0,20.0,0.0,0.0,50.0
2026-04-28,0.0,0.0,0.0,0.0,0.0
2026-04-29,25.0,40.0,0.0,0.0,50.0
2026-04-30,15.0,20.0,0.0,0.0,50.0
2026-05-01,55.0,100.0,0.0,0.0,50.0
2026-05-02,39.3,40.0,37.0,0.0,100.0
2026-05-03,0.0,0.0,0.0,0.0,0.0
2026-05-04,15.0,20.0,0.0,0.0,50.0
2026-05-05,45.0,80.0,0.0,0.0,50.0
2026-05-06,25.0,40.0,0.0,0.0,50.0
2026-05-07,55.0,20.0,100.0,100.0,50.0
2026-05-08,15.0,20.0,0.0,0.0,50.0
2026-05-09,25.0,40.0,0.0,0.0,50.0
2026-05-10,15.0,20.0,0.0,0.0,50.0
2026-05-11,15.0,20.0,0.0,0.0,50.0
2026-05-12,15.0,20.0,0.0,0.0,50.0
2026-05-13,35.0,60.0,0.0,0.0,50.0
2026-05-14,25.0,40.0,0.0,0.0,50.0
2026-05-15,0.0,0.0,0.0,0.0,0.0
2026-05-16,25.0,40.0,0.0,0.0,50.0
2026-05-17,15.0,20.0,0.0,0.0,50.0
2026-05-18,0.0,0.0,0.0,0.0,0.0
2026-05-19,15.0,20.0,0.0,0.0,50.0
2026-05-20,65.3,60.0,88.9,20.8,100.0
2026-05-21,55.0,100.0,0.0,0.0,50.0
2026-05-22,47.2,20.0,96.5,53.8,50.0
2026-05-23,0.0,0.0,0.0,0.0,0.0
2026-05-24,35.0,60.0,0.0,0.0,50.0
2026-05-25,25.0,40.0,0.0,0.0,50.0
2026-05-26,25.0,40.0,0.0,0.0,50.0
