date,trend_index,mention_index,view_index,engagement_index,source_index
2026-02-26,45.2,4.5,86.7,75.5,100.0
2026-02-27,37.5,9.0,68.0,40.5,100.0
2026-02-28,52.8,11.9,93.8,88.9,100.0
2026-03-01,34.5,6.0,62.2,39.6,100.0
2026-03-02,33.1,6.0,60.0,34.4,100.0
2026-03-03,49.3,14.9,83.8,72.7,100.0
2026-03-04,42.9,14.9,70.6,51.9,100.0
2026-03-05,36.9,4.5,69.3,49.0,100.0
2026-03-06,41.7,9.0,74.3,57.5,100.0
2026-03-07,25.7,1.5,53.5,10.5,100.0
2026-03-08,30.4,4.5,60.1,21.1,100.0
2026-03-09,42.7,6.0,79.2,66.3,100.0
2026-03-10,36.9,4.5,65.6,54.8,100.0
2026-03-11,32.0,4.5,57.6,35.9,100.0
2026-03-12,40.3,4.5,76.2,60.4,100.0
2026-03-13,43.7,4.5,81.7,73.8,100.0
2026-03-14,42.3,3.0,78.3,75.0,100.0
2026-03-15,31.7,3.0,58.2,37.7,100.0
2026-03-16,42.4,6.0,80.5,61.8,100.0
2026-03-17,42.9,7.5,78.2,63.9,100.0
2026-03-18,42.7,7.5,76.1,66.7,100.0
2026-03-19,36.3,4.5,68.4,46.8,100.0
2026-03-20,40.0,9.0,72.0,50.4,100.0
2026-03-21,35.7,3.0,70.1,44.5,100.0
2026-03-22,30.2,3.0,54.2,34.1,100.0
2026-03-23,46.6,11.9,87.8,57.9,100.0
2026-03-24,42.0,10.4,72.3,58.0,100.0
2026-03-25,43.6,7.5,77.2,70.5,100.0
2026-03-26,46.6,13.4,78.1,68.8,100.0
2026-03-27,47.8,7.5,90.2,76.5,100.0
2026-03-28,33.4,3.0,67.0,34.4,100.0
2026-03-29,39.9,9.0,74.4,45.7,100.0
2026-03-30,0.0,0.0,0.0,0.0,0.0
2026-03-31,30.7,4.5,58.7,25.3,100.0
2026-04-01,42.9,10.4,70.9,66.4,100.0
2026-04-02,31.7,3.0,60.3,34.1,100.0
2026-04-03,43.2,7.5,79.4,63.9,100.0
2026-04-04,28.4,1.5,50.9,32.9,100.0
2026-04-05,0.0,0.0,0.0,0.0,0.0
2026-04-06,37.2,4.5,71.1,47.7,100.0
2026-04-07,41.9,7.5,77.7,58.1,100.0
2026-04-08,34.7,4.5,66.1,39.4,100.0
2026-04-09,0.0,0.0,0.0,0.0,0.0
2026-04-10,39.0,7.5,68.8,53.7,100.0
2026-04-11,0.0,0.0,0.0,0.0,0.0
2026-04-12,38.9,4.5,69.5,61.6,100.0
2026-04-13,36.0,1.5,64.5,61.0,100.0
2026-04-14,41.8,4.5,80.7,62.9,100.0
2026-04-15,30.4,3.0,58.8,28.2,100.0
2026-04-16,33.0,1.5,64.0,41.7,100.0
2026-04-17,35.1,3.0,68.2,43.6,100.0
2026-04-18,34.5,3.0,68.3,39.4,100.0
2026-04-19,29.5,3.0,56.2,26.6,100.0
2026-04-20,46.8,3.0,94.5,77.9,100.0
2026-04-21,53.3,7.5,98.1,100.0,100.0
2026-04-22,37.8,1.5,72.6,59.0,100.0
2026-04-23,32.1,1.5,60.9,41.2,100.0
2026-04-24,35.3,1.5,66.5,53.0,100.0
2026-04-25,21.7,1.5,43.9,0.0,100.0
2026-04-26,29.2,3.0,54.5,27.2,100.0
2026-04-27,40.4,4.5,76.5,60.6,100.0
2026-04-28,29.7,3.0,55.4,29.2,100.0
2026-04-29,31.4,3.0,59.5,33.5,100.0
2026-04-30,31.1,3.0,59.8,31.3,100.0
2026-05-01,27.0,1.5,51.2,23.0,100.0
2026-05-02,0.0,0.0,0.0,0.0,0.0
2026-05-03,50.8,4.5,100.0,90.4,100.0
2026-05-04,35.7,3.0,68.8,46.8,100.0
2026-05-05,26.5,1.5,51.9,18.7,100.0
2026-05-06,44.7,4.5,83.7,76.8,100.0
2026-05-07,29.8,3.0,58.6,24.6,100.0
2026-05-08,0.0,0.0,0.0,0.0,0.0
2026-05-09,0.0,0.0,0.0,0.0,0.0
2026-05-10,28.9,1.5,52.0,34.4,100.0
2026-05-11,26.3,1.5,53.1,15.4,100.0
2026-05-12,40.6,4.5,75.6,63.3,100.0
2026-05-13,27.3,1.5,52.9,22.1,100.0
2026-05-14,35.7,6.0,67.8,38.4,100.0
2026-05-15,0.0,0.0,0.0,0.0,0.0
2026-05-16,38.2,1.5,74.4,59.1,100.0
2026-05-17,0.0,0.0,0.0,0.0,0.0
2026-05-18,30.2,1.5,60.2,29.2,100.0
2026-05-19,0.0,0.0,0.0,0.0,0.0
2026-05-20,0.0,0.0,0.0,0.0,0.0
2026-05-21,40.2,1.5,77.7,66.9,100.0
2026-05-22,36.6,4.5,70.7,44.6,100.0
2026-05-23,0.0,0.0,0.0,0.0,0.0
2026-05-24,0.0,0.0,0.0,0.0,0.0
2026-05-25,34.6,49.3,0.0,0.0,100.0
2026-05-26,60.0,100.0,0.0,0.0,100.0
